set,openalex,cites_all,year,title,authors,venue,doi,arxiv,oa_url,abstract
info_HRY20_and_OY02,W4406666663,HRY20;OY02;RHY22,2025,Convergence Analyses of Davis–Yin Splitting via Scaled Relative Graphs,Jong Min Lee; Soheun Yi; Ernest K. Ryu,SIAM Journal on Optimization,10.1137/23m1621320,,,"Abstract. Davis–Yin splitting (DYS) has found a wide range of applications in optimization, but its linear rates of convergence have not been studied extensively. The scaled relative graph (SRG) simplifies the convergence analysis of operator splitting methods by mapping the action of the operator to the complex plane, but the prior SRG theory did not fully apply to the DYS operator. In this work, we formalize an SRG theory for the DYS operator and use it to obtain tighter contraction factors."
info_PAT21_and_HRY20,W3194304051,HRY20;PAT21;RHY22,2022,A rolled-off passivity theorem,Thomas Chaffey,Systems & Control Letters,10.1016/j.sysconle.2022.105198,2108.07634,https://www.sciencedirect.com/science/article/pii/S0167691122000421/pdf,"Given two nonlinear systems which only violate incremental passivity when their incremental gains are sufficiently small, we give a condition for their negative feedback interconnection to have finite incremental gain, which generalizes the incremental small gain and incremental passivity theorems. The property may be determined graphically by plotting the Scaled Relative Graphs (SRGs) of the systems, which provides engineering significance to the mathematical result."
info_PAT21_and_HRY20,W3184506730,HRY20;PAT21;RHY22,2023,Graphical Nonlinear System Analysis,Thomas Chaffey; Fulvio Forni; Rodolphe Sepulchre,IEEE Transactions on Automatic Control,10.1109/tac.2023.3234016,2107.11272,https://arxiv.org/pdf/2107.11272,"We use the recently introduced concept of a scaled relative graph (SRG) to develop a graphical analysis of input–output properties of feedback systems. The SRG of a nonlinear operator generalizes the Nyquist diagram of an LTI system. In the spirit of classical control theory, important robustness indicators of nonlinear feedback systems are measured as distances between SRGs."
info_CY15_and_OY02,W2175165459,CY15;OY02,2015,Preconditioning of a Generalized Forward-Backward Splitting and Application to Optimization on Graphs,Hugo Raguet; Loïc Landrieu,SIAM Journal on Imaging Sciences,10.1137/15m1018253,,https://hal.science/hal-01144566v3/file/PGFB-preprint.pdf,"We present a preconditioning of a generalized forward-backward splitting algorithm for finding a zero of a sum of maximally monotone operators $\sum_{i=1}^{n} A_i + B$ with $B$ cocoercive, involving only the computation of $B$ and of the resolvent of each $A_i$ separately. This allows us in particular to minimize functionals of the form $\sum_{i=1}^n g_i + f$ with $f$ smooth, using only the gradient of $f$ and the proximity operator of each $g_i$ separately. By adapting the underlying metric, such preconditioning can serve two practical purposes: first, it might accelerate the convergence or, second, it might simplify the computation of the resolvent of $A_i$ for some $i$. In addition, in many cases of interest, our preconditioning strategy allows the economy of storage and computation concerning some auxiliary variables. In particular, we show how this approach can handle large-scale, nonsmooth, convex optimization problems structured on graphs, which arise in many image processing or learning applications, and that it compares favorably to alternatives in the literature."
info_CY15_and_OY02,W2594914074,CY15;OY02,2017,Nonexpansiveness of a linearized augmented Lagrangian operator for hierarchical convex optimization,Masao Yamagishi; Isao Yamada,Inverse Problems,10.1088/1361-6420/33/4/044003,,https://iopscience.iop.org/article/10.1088/1361-6420/33/4/044003/pdf,"Abstract Hierarchical convex optimization concerns two-stage optimization problems: the first stage problem is a convex optimization; the second stage problem is the minimization of a convex function over the solution set of the first stage problem. For the hierarchical convex optimization, the hybrid steepest descent method (HSDM) can be applied, where the solution set of the first stage problem must be expressed as the fixed point set of a certain nonexpansive operator. In this paper, we propose a nonexpansive operator that yields a computationally efficient update when it is plugged into the HSDM. The proposed operator is inspired by the update of the linearized augmented Lagrangian method. It is applicable to characterize the solution set of recent sophisticated convex optimization problems found in the context of inverse problems, where the sum of multiple proximable convex functions involving linear operators must be minimized to incorporate preferable properties into the minimizers. For such a problem formulation, there has not yet been reported any nonexpansive operator that yields an update free from the inversions of linear operators in cases where it is utilized in the HSDM. Unlike previously known nonexpansive operators, the proposed operator yields an inversion-free update in such cases. As an application of the proposed operator plugged into the HSDM, we also present, in the context of the so-called superiorization, an algorithmic solution to a convex optimization problem over the generalized convex feasible set where the intersection of the hard constraints is not necessarily simple."
info_CY15_and_OY02,W2704581149,CY15;OY02,2017,Accelerating the hybrid steepest descent method for affinely constrained convex composite minimization tasks,Konstantinos Slavakis; Isao Yamada; Shunsuke Ono,,10.1109/icassp.2017.7953050,,,"The hybrid steepest descent method (HSDM) [Yamada, '01] was introduced as a low-computational complexity tool for solving convex variational-inequality problems over the fixed-point set of non-expansive mappings in Hilbert spaces. Motivated by results on decentralized optimization, this study introduces an HSDM variant that extends, for the first time, the applicability of HSDM to affinely constrained composite convex minimization tasks over Euclidean spaces; the same class of problems solved by the popular alternating direction method of multipliers and primal-dual methods. The proposed scheme shows desirable attributes for large-scale optimization tasks that have not been met, partly or all-together, in any other member of the HSDM family of algorithms: tunable computational complexity, a step-size parameter which stays constant over recursions, promoting thus acceleration of convergence, no boundedness constraints on iterates and/or gradients, and the ability to deal with convex losses which comprise a smooth and a non-smooth part, where the smooth part is only required to have a Lipschitz-continuous derivative. Convergence guarantees and rates are established. Numerical tests on synthetic data and on colored-image inpainting underline the rich potential of the proposed scheme for large-scale optimization tasks."
info_CY15_and_OY02,W2509744852,CY15;OY02,2018,Inducing strong convergence into the asymptotic behaviour of proximal splitting algorithms in Hilbert spaces,Radu Ioan Boţ; Ernö Robert Csetnek; Dennis Meier,Optimization methods & software,10.1080/10556788.2018.1457151,1609.01627,https://www.tandfonline.com/doi/pdf/10.1080/10556788.2018.1457151?needAccess=true,"Proximal splitting algorithms for monotone inclusions (and convex optimization problems) in Hilbert spaces share the common feature to guarantee for the generated sequences in general weak convergence to a solution. In order to achieve strong convergence, one usually needs to impose more restrictive properties for the involved operators, like strong monotonicity (respectively, strong convexity for optimization problems). In this paper, we propose a modified Krasnosel'skiĭ-Mann algorithm in connection with the determination of a fixed point of a nonexpansive mapping and show strong convergence of the iteratively generated sequence to the minimal norm solution of the problem. Relying on this, we derive a forward-backward and a Douglas-Rachford algorithm, both endowed with Tikhonov regularization terms, which generate iterates that strongly converge to the minimal norm solution of the set of zeros of the sum of two maximally monotone operators. Furthermore, we formulate strong convergent primal-dual algorithms of forward-backward and Douglas-Rachford-type for highly structured monotone inclusion problems involving parallel-sums and compositions with linear operators. The resulting iterative schemes are particularized to the solving of convex minimization problems. The theoretical results are illustrated by numerical experiments on the split feasibility problem in infinite dimensional spaces."
info_CY15_and_OY02,W2964137109,CY15;OY02,2018,Local linear convergence analysis of Primal–Dual splitting methods,Jingwei Liang; Jalal Fadili; Gabriel Peyré,Optimization,10.1080/02331934.2018.1426584,,,"In this paper, we study the local linear convergence properties of a versatile class of Primal–Dual splitting methods for minimizing composite non-smooth convex optimization problems. Under the assumption that the non-smooth components of the problem are partly smooth relative to smooth manifolds, we present a unified local convergence analysis framework for these methods. More precisely, in our framework, we first show that (i) the sequences generated by Primal–Dual splitting methods identify a pair of primal and dual smooth manifolds in a finite number of iterations, and then (ii) enter a local linear convergence regime, which is characterized based on the structure of the underlying active smooth manifolds. We also show how our results for Primal–Dual splitting can be specialized to cover existing ones on Forward–Backward splitting and Douglas–Rachford splitting/ADMM (alternating direction methods of multipliers). Moreover, based on these obtained local convergence analysis result, several practical acceleration techniques are discussed. To exemplify the usefulness of the obtained result, we consider several concrete numerical experiments arising from fields including signal/image processing, inverse problems and machine learning. The demonstration not only verifies the local linear convergence behaviour of Primal–Dual splitting methods, but also the insights on how to accelerate them in practice."
info_CY15_and_OY02,W2963289483,CY15;OY02,2018,Fejér-monotone hybrid steepest descent method for affinely constrained and composite convex minimization tasks,Konstantinos Slavakis; Isao Yamada,Optimization,10.1080/02331934.2018.1505885,,,"This paper introduces the Fejér-monotone hybrid steepest descent method (FM-HSDM), a new member to the HSDM family of algorithms, for solving affinely constrained minimization tasks in real Hilbert spaces, where convex smooth and non-smooth losses compose the objective function. FM-HSDM offers sequences of estimates which converge weakly and, under certain hypotheses, strongly to solutions of the task at hand. In contrast to its HSDM's precursors, FM-HSDM enjoys Fejér monotonicity, the step-size parameter stays constant across iterations to promote convergence speed-ups of the sequence of estimates to a minimizer, while only Lipschitzian continuity, and not strong monotonicity, of the derivative of the smooth-loss function is needed to ensure convergence. FM-HSDM utilizes fixed-point theory, variational inequalities and affine-nonexpansive mappings to accommodate affine constraints in a more versatile way than state-of-the-art primal–dual techniques and the alternating direction method of multipliers do. Recursions can be tuned to score low computational footprints, well-suited for large-scale optimization tasks, without compromising convergence guarantees. Results on the rate of convergence to an optimal point are also presented. Finally, numerical tests on synthetic data are used to validate the theoretical findings."
info_CY15_and_OY02,W2983140143,CY15;OY02,2019,Hierarchical Convex Optimization by the Hybrid Steepest Descent Method with Proximal Splitting Operators—Enhancements of SVM and Lasso,Isao Yamada; Masao Yamagishi,,10.1007/978-3-030-25939-6_16,2206.15019,https://arxiv.org/pdf/2206.15019,
info_CY15_and_OY02,W2911999126,CY15;OY02,2019,Iterative Methods for Computing the Resolvent of Composed Operators in Hilbert Spaces,Yixuan Yang; Yuchao Tang; Chuanxi Zhu,Mathematics,10.3390/math7020131,,https://doi.org/10.3390/math7020131,"The resolvent is a fundamental concept in studying various operator splitting algorithms. In this paper, we investigate the problem of computing the resolvent of compositions of operators with bounded linear operators. First, we discuss several explicit solutions of this resolvent operator by taking into account additional constraints on the linear operator. Second, we propose a fixed point approach for computing this resolvent operator in a general case. Based on the Krasnoselskii–Mann algorithm for finding fixed points of non-expansive operators, we prove the strong convergence of the sequence generated by the proposed algorithm. As a consequence, we obtain an effective iterative algorithm for solving the scaled proximity operator of a convex function composed by a linear operator, which has wide applications in image restoration and image reconstruction problems. Furthermore, we propose and study iterative algorithms for studying the resolvent operator of a finite sum of maximally monotone operators as well as the proximal operator of a finite sum of proper, lower semi-continuous convex functions."
info_CY15_and_OY02,W2994365220,CY15;OY02,2019,Tight Coefficients of Averaged Operators via Scaled Relative Graph,Xinmeng Huang; Ernest K. Ryu; Wotao Yin,arXiv (Cornell University),10.48550/arxiv.1912.01593,1912.01593,https://arxiv.org/pdf/1912.01593,"Many iterative methods in optimization are fixed-point iterations with averaged operators. As such methods converge at an $\mathcal{O}(1/k)$ rate with the constant determined by the averagedness coefficient, establishing small averagedness coefficients for operators is of broad interest. In this paper, we show that the averagedness coefficients of the composition of averaged operators by Ogura and Yamada (Numer Func Anal Opt 32(1--2):113--137, 2002) and the three-operator splitting by Davis and Yin (Set-Valued Var Anal 25(4):829--858, 2017) are tight. The analysis relies on the scaled relative graph, a geometric tool recently proposed by Ryu, Hannah, and Yin (arXiv:1902.09788, 2019)."
info_CY15_and_OY02,W2982087216,CY15;OY02,2019,Linearly involved generalized Moreau enhanced models and their proximal splitting algorithm under overall convexity condition,Jiro Abe; Masao Yamagishi; Isao Yamada,Inverse Problems,10.1088/1361-6420/ab551e,1910.10337,https://arxiv.org/pdf/1910.10337,"Abstract The convex envelopes of the direct discrete measures, for the sparsity of vectors or for the low-rankness of matrices, have been utilized extensively as practical penalties in order to compute a globally optimal solution of the corresponding regularized least-squares models. Motivated mainly by the ideas in Zhang (2010 Ann. Stat . 38 894–942; Selesnick 2017 IEEE Trans. Signal Process . 65 4481–94; Yin et al 2019 IEEE Trans. Signal Process . 67 2595–607) to exploit nonconvex penalties in the regularized least-squares models without losing their overall convexities, this paper presents the linearly involved generalized Moreau enhanced (LiGME) model as a unified extension of such utilizations of nonconvex penalties. The proposed model can admit multiple nonconvex penalties without losing its overall convexity and thus is applicable to much broader scenarios in the sparsity-rank-aware signal processing. Under the general overall-convexity condition of the LiGME model, we also present a novel proximal splitting type algorithm of guaranteed convergence to a globally optimal solution. Numerical experiments in typical examples of the sparsity-rank-aware signal processing demonstrate the effectiveness of the LiGME models and the proposed proximal splitting algorithm."
info_CY15_and_OY02,W2942720534,CY15;OY02,2019,Iterative Methods for Computing the Resolvent of the Sum of a Maximal Monotone Operator and Composite Operator with Applications,Bao Chen; Yuchao Tang,Mathematical Problems in Engineering,10.1155/2019/7376263,,http://downloads.hindawi.com/journals/mpe/2019/7376263.pdf,"Total variation image denoising models have received considerable attention in the last two decades. To solve constrained total variation image denoising problems, we utilize the computation of a resolvent operator, which consists of a maximal monotone operator and a composite operator. More precisely, the composite operator consists of a maximal monotone operator and a bounded linear operator. Based on recent work, in this paper we propose a fixed‐point approach for computing this resolvent operator. Under mild conditions on the iterative parameters, we prove strong convergence of the iterative sequence, which is based on the classical Krasnoselskii–Mann algorithm in general Hilbert spaces. As a direct application, we obtain an effective iterative algorithm for solving the proximity operator of the sum of two convex functions, one of which is the composition of a convex function with a linear transformation. Numerical experiments on image denoising are presented to illustrate the efficiency and effectiveness of the proposed iterative algorithm. In particular, we report the numerical results for the proposed algorithm with different step sizes and relaxation parameters."
info_CY15_and_OY02,W2889868692,CY15;OY02,2019,Convergence analysis of a variable metric forward–backward splitting algorithm with applications,Fuying Cui; Yuchao Tang; Chuanxi Zhu,Journal of Inequalities and Applications,10.1186/s13660-019-2097-4,1809.06525,https://journalofinequalitiesandapplications.springeropen.com/track/pdf/10.1186/s13660-019-2097-4,"The forward–backward splitting algorithm is a popular operator-splitting method for solving monotone inclusion of the sum of a maximal monotone operator and an inverse strongly monotone operator. In this paper, we present a new convergence analysis of a variable metric forward–backward splitting algorithm with extended relaxation parameters in real Hilbert spaces. We prove that this algorithm is weakly convergent when certain weak conditions are imposed upon the relaxation parameters. Consequently, we recover the forward–backward splitting algorithm with variable step sizes. As an application, we obtain a variable metric forward–backward splitting algorithm for solving the minimization problem of the sum of two convex functions, where one of them is differentiable with a Lipschitz continuous gradient. Furthermore, we discuss the applications of this algorithm to the fundamental of the variational inequalities problem, constrained convex minimization problem, and split feasibility problem. Numerical experimental results on LASSO problem in statistical learning demonstrate the effectiveness of the proposed iterative algorithm."
info_CY15_and_OY02,W3027187496,CY15;OY02,2020,On the optimal relaxation parameters of Krasnosel'ski–Mann iteration,Songnian He; Qiao‐Li Dong; Hanlin Tian; Xiaohuan Li,Optimization,10.1080/02331934.2020.1767101,,,"This paper is devoted to the optimal selection of the relaxation parameter sequence for Krasnosel'ski–Mann iteration. Firstly, we establish the optimal relaxation parameter sequence of the Krasnosel'ski–Mann iteration, with which the algorithm is proved to achieve the optimal convergence rate. Then we present an approximation to the optimal relaxation parameter sequence since the optimal relaxation parameter sequence involves fixed points of the operators and can't be used in actual computing. Thirdly, we apply our results to the operators splitting method, such as forward–backward splitting methods and Douglas–Rachford splitting method. Finally, numerical experiments are provided to illustrate that Krasnosel'ski–Mann iteration and the relaxed projected method with our proposed relaxation parameter sequence behave better than others."
info_CY15_and_OY02,W3024233472,CY15;OY02,2020,Tight coefficients of averaged operators via scaled relative graph,Xinmeng Huang; Ernest K. Ryu; Wotao Yin,Journal of Mathematical Analysis and Applications,10.1016/j.jmaa.2020.124211,,,
info_CY15_and_OY02,W2998099872,CY15;OY02,2021,On compositions of special cases of Lipschitz continuous operators,Pontus Giselsson; Walaa M. Moursi,Fixed Point Theory and Algorithms for Sciences and Engineering,10.1186/s13663-021-00709-0,,https://fixedpointtheoryandapplications.springeropen.com/track/pdf/10.1186/s13663-021-00709-0,"Many iterative optimization algorithms involve compositions of special cases of Lipschitz continuous operators, namely firmly nonexpansive, averaged, and nonexpansive operators. The structure and properties of the compositions are of particular importance in the proofs of convergence of such algorithms. In this paper, we systematically study the compositions of further special cases of Lipschitz continuous operators. Applications of our results include compositions of scaled conically nonexpansive mappings, as well as the Douglas-Rachford and forward-backward operators, when applied to solve certain structured monotone inclusion and optimization problems. Several examples illustrate and tighten our conclusions."
info_CY15_and_OY02,W3190203171,CY15;OY02,2021,A Primal-Dual Forward-Backward Splitting Algorithm for Distributed Convex Optimization,Huaqing Li; Enbing Su; Chengbo Wang; Jiawei Liu; Zuqing Zheng; Zheng Wang,IEEE Transactions on Emerging Topics in Computational Intelligence,10.1109/tetci.2021.3098831,,,"Motivated by modern large-scale information processing problems in engineering, this paper concentrates on studying distributed constrained convex optimization problems over a connected undirected network. The problem involves a sum of a differentiable convex function with Lipschitz continuous gradient and two non-smooth convex functions with a linear operator. To solve such a problem, we propose a novel distributed primal-dual forward-backward splitting algorithm, called D-PDFBS. Each agent locally computes the Lipschitz continuous gradient and two proximal operators, and exchanges information with its neighbors. D-PDFBS adopts non-identical stepsizes, and we reveal the relationship between selection of stepsizes and parameters of objective functions. The simulation results verify the feasibility of D-PDFBS and the correctness of theoretical findings."
info_CY15_and_OY02,W2982400852,CY15;OY02,2021,Conical averagedness and convergence analysis of fixed point algorithms,Sedi Bartz; Minh N. Dao; Hung M. Phan,Journal of Global Optimization,10.1007/s10898-021-01057-4,1910.14185,https://link.springer.com/content/pdf/10.1007/s10898-021-01057-4.pdf,
info_CY15_and_OY02,W3197261235,CY15;OY02,2021,"A generalized forward-backward splitting operator: nonexpansiveness, convergence rates and applications",Feng Xue,arXiv (Cornell University),,2109.02064,http://export.arxiv.org/pdf/2109.02064,"In this paper, we consider a generalized forward-backward splitting (G-FBS) operator for solving the monotone inclusions, and analyze its nonexpansive properties in a context of arbitrary variable metric. Then, for the associated fixed-point iterations (i.e. the G-FBS algorithms), the global ergodic and pointwise convergence rates of metric distance are obtained from the nonexpansiveness. The convergence in terms of objective function value is also investigated, when the G-FBS operator is applied to a minimization problem. A main contribution of this paper is to show that the G-FBS operator provides a simplifying and unifying framework to model and analyze a great variety of operator splitting algorithms, where the convergence behaviours can be easily described by the fixed-point construction of this simple operator."
info_CY15_and_OY02,W2916081703,CY15;HRY20;OY02,2021,Scaled relative graphs: nonexpansive operators via 2D Euclidean geometry,Ernest K. Ryu; Robert Hannah; Wotao Yin,Mathematical Programming,10.1007/s10107-021-01639-w,1902.09788,https://arxiv.org/pdf/1902.09788,
info_CY15_and_OY02,W4285242719,CY15;OY02,2022,A constrained LiGME model and its proximal splitting algorithm under overall convexity condition,,Journal of Applied and Numerical Optimization,10.23952/jano.4.2022.2.09,,http://jano.biemdas.com/issues/JANO2022-2-9.pdf,"The convex optimization has been used for modeling of many estimation problems in data science and engineering, where convex constraint sets in such a model express respectively a priori knowledge regarding a certain unknown vector to be estimated.The LiGME model was established recently in [J.Abe, M. Yamagishi, I. Yamada, Linearly involved generalized Moreau enhanced models and their proximal splitting algorithm under overall convexity condition, Inverse Probl.36 (2020), 035012] for a sound utilization of linearly involved regularizers closer to certain ideal discrete measures, for sparsity as well as for low-rankness, than their convex envelopes.Despite of the nonconvexity of linearly involved regularizers, the LiGME model can keep the overall convexity of its optimization model with a strategic parameter tuning.In this paper, for flexible exploitation of multiple convex constraint sets, we propose a constrained LiGME (cLiGME) model as an enhancement of the original LiGME model.Within the frame of convex optimization, the proposed cLiGME model can promote such desired features more strategically than standard models using convex regularizers, as well as can admit multiple linearly involved convex indicator functions for hard constraints.We also propose a proximal splitting type algorithm for the cLiGME model and demonstrate its effectiveness with a simple numerical experiment.The cLiGME model can be seen as an integration of central ideas in the LiGME model and the set theoretic estimation."
info_CY15_and_OY02,W4311351505,CY15;OY02,2022,A generalized forward–backward splitting operator: degenerate analysis and applications,Feng Xue,Computational and Applied Mathematics,10.1007/s40314-022-02143-3,,,
info_CY15_and_OY02,W4320488867,CY15;OY02,2023,A Unified Design of Generalized Moreau Enhancement Matrix for Sparsity Aware LiGME Models,Yang Chen; Masao YAMAGISHI; Isao Yamada,IEICE Transactions on Fundamentals of Electronics Communications and Computer Sciences,10.1587/transfun.2022eap1118,,https://www.jstage.jst.go.jp/article/transfun/E106.A/8/E106.A_2022EAP1118/_pdf,"In this paper, we propose a unified algebraic design of the generalized Moreau enhancement matrix (GME matrix) for the Linearly involved Generalized-Moreau-Enhanced (LiGME) model. The LiGME model has been established as a framework to construct linearly involved nonconvex regularizers for sparsity (or low-rank) aware estimation, where the design of GME matrix is a key to guarantee the overall convexity of the model. The proposed design is applicable to general linear operators involved in the regularizer of the LiGME model, and does not require any eigendecomposition or iterative computation. We also present an application of the LiGME model with the proposed GME matrix to a group sparsity aware least squares estimation problem. Numerical experiments demonstrate the effectiveness of the proposed GME matrix in the LiGME model."
info_CY15_and_OY02,W4410934744,CY15;OY02,2025,An LiGME Regularizer of Designated Isolated Minimizers — An Application to Discrete-Valued Signal Estimation,Satoshi Shoji; Wataru Yata; Keita Kume; Isao Yamada,IEICE Transactions on Fundamentals of Electronics Communications and Computer Sciences,10.1587/transfun.2025eap1035,,https://www.jstage.jst.go.jp/article/transfun/advpub/0/advpub_2025EAP1035/_pdf,"For a regularized least squares estimation of discrete-valued signals, we propose a Linearly involved Generalized Moreau Enhanced (LiGME) regularizer, as a nonconvex regularizer, of designated isolated minimizers. The proposed regularizer is designed as a Generalized Moreau Enhancement (GME) of the so-called sum-of-absolute-values (SOAV) convex regularizer. Every candidate vector in the discrete-valued set is aimed to be assigned to an isolated local minimizer of the proposed regularizer while the overall convexity of the regularized least squares model is maintained. Moreover, a global minimizer of the proposed model can be approximated iteratively by using a variant of the constrained LiGME (cLiGME) algorithm. To enhance the accuracy of the proposed estimation, we also propose a pair of simple modifications, called respectively an iterative reweighting and a generalized superiorization. Numerical experiments demonstrate the effectiveness of the proposed model and algorithms in a scenario of multiple-input multiple-output (MIMO) signal detection."
info_CY15_and_OY02,W4416571947,CY15;OY02,2025,Distributed Primal-Dual Forward-Backward Splitting Algorithm for Nonsmooth Composite Optimization,Huaqing Li; Qingguo Lü; Dawen Xia; Xin Wang; Zheng Wang; Lifeng Zheng,Computational intelligence methods and applications,10.1007/978-981-95-0911-9_6,,,
