openalex,cites,year,title,authors,venue,doi,arxiv,type,cited_by,oa_url,abstract
W2982087216,CY15;OY02,2019,Linearly involved generalized Moreau enhanced models and their proximal splitting algorithm under overall convexity condition,Jiro Abe; Masao Yamagishi; Isao Yamada,Inverse Problems,10.1088/1361-6420/ab551e,1910.10337,article,44,https://arxiv.org/pdf/1910.10337,"Abstract The convex envelopes of the direct discrete measures, for the sparsity of vectors or for the low-rankness of matrices, have been utilized extensively as practical penalties in order to compute a globally optimal solution of the corresponding regularized least-squares models. Motivated mainly by the ideas in Zhang (2010 Ann. Stat . 38 894–942; Selesnick 2017 IEEE Trans. Signal Process . 65 4481–94; Yin et al 2019 IEEE Trans. Signal Process . 67 2595–607) to exploit nonconvex penalties in the regularized least-squares models without losing their overall convexities, this paper presents the linearly involved generalized Moreau enhanced (LiGME) model as a unified extension of such utilizations of nonconvex penalties. The proposed model can admit multiple nonconvex penalties without losing its overall convexity and thus is applicable to much broader scenarios in the sparsity-rank-aware signal processing. Under the general overall-convexity condition of the LiGME model, we also present a novel proximal splitting type algorithm of guaranteed convergence to a globally optimal solution. Numerical experiments in typical examples of the sparsity-rank-aware signal processing demonstrate the effectiveness of the LiGME models and the proposed proximal splitting algorithm."
W2889868692,CY15;OY02,2019,Convergence analysis of a variable metric forward–backward splitting algorithm with applications,Fuying Cui; Yuchao Tang; Chuanxi Zhu,Journal of Inequalities and Applications,10.1186/s13660-019-2097-4,1809.06525,article,8,https://journalofinequalitiesandapplications.springeropen.com/track/pdf/10.1186/s13660-019-2097-4,"The forward–backward splitting algorithm is a popular operator-splitting method for solving monotone inclusion of the sum of a maximal monotone operator and an inverse strongly monotone operator. In this paper, we present a new convergence analysis of a variable metric forward–backward splitting algorithm with extended relaxation parameters in real Hilbert spaces. We prove that this algorithm is weakly convergent when certain weak conditions are imposed upon the relaxation parameters. Consequently, we recover the forward–backward splitting algorithm with variable step sizes. As an application, we obtain a variable metric forward–backward splitting algorithm for solving the minimization problem of the sum of two convex functions, where one of them is differentiable with a Lipschitz continuous gradient. Furthermore, we discuss the applications of this algorithm to the fundamental of the variational inequalities problem, constrained convex minimization problem, and split feasibility problem. Numerical experimental results on LASSO problem in statistical learning demonstrate the effectiveness of the proposed iterative algorithm."
W2942720534,CY15;OY02,2019,Iterative Methods for Computing the Resolvent of the Sum of a Maximal Monotone Operator and Composite Operator with Applications,Bao Chen; Yuchao Tang,Mathematical Problems in Engineering,10.1155/2019/7376263,,article,8,http://downloads.hindawi.com/journals/mpe/2019/7376263.pdf,"Total variation image denoising models have received considerable attention in the last two decades. To solve constrained total variation image denoising problems, we utilize the computation of a resolvent operator, which consists of a maximal monotone operator and a composite operator. More precisely, the composite operator consists of a maximal monotone operator and a bounded linear operator. Based on recent work, in this paper we propose a fixed‐point approach for computing this resolvent operator. Under mild conditions on the iterative parameters, we prove strong convergence of the iterative sequence, which is based on the classical Krasnoselskii–Mann algorithm in general Hilbert spaces. As a direct application, we obtain an effective iterative algorithm for solving the proximity operator of the sum of two convex functions, one of which is the composition of a convex function with a linear transformation. Numerical experiments on image denoising are presented to illustrate the efficiency and effectiveness of the proposed iterative algorithm. In particular, we report the numerical results for the proposed algorithm with different step sizes and relaxation parameters."
W2983140143,CY15;OY02,2019,Hierarchical Convex Optimization by the Hybrid Steepest Descent Method with Proximal Splitting Operators—Enhancements of SVM and Lasso,Isao Yamada; Masao Yamagishi,,10.1007/978-3-030-25939-6_16,2206.15019,book-chapter,7,https://arxiv.org/pdf/2206.15019,
W2911999126,CY15;OY02,2019,Iterative Methods for Computing the Resolvent of Composed Operators in Hilbert Spaces,Yixuan Yang; Yuchao Tang; Chuanxi Zhu,Mathematics,10.3390/math7020131,,article,4,https://doi.org/10.3390/math7020131,"The resolvent is a fundamental concept in studying various operator splitting algorithms. In this paper, we investigate the problem of computing the resolvent of compositions of operators with bounded linear operators. First, we discuss several explicit solutions of this resolvent operator by taking into account additional constraints on the linear operator. Second, we propose a fixed point approach for computing this resolvent operator in a general case. Based on the Krasnoselskii–Mann algorithm for finding fixed points of non-expansive operators, we prove the strong convergence of the sequence generated by the proposed algorithm. As a consequence, we obtain an effective iterative algorithm for solving the scaled proximity operator of a convex function composed by a linear operator, which has wide applications in image restoration and image reconstruction problems. Furthermore, we propose and study iterative algorithms for studying the resolvent operator of a finite sum of maximally monotone operators as well as the proximal operator of a finite sum of proper, lower semi-continuous convex functions."
W2994365220,CY15;OY02,2019,Tight Coefficients of Averaged Operators via Scaled Relative Graph,Xinmeng Huang; Ernest K. Ryu; Wotao Yin,arXiv (Cornell University),10.48550/arxiv.1912.01593,1912.01593,preprint,0,https://arxiv.org/pdf/1912.01593,"Many iterative methods in optimization are fixed-point iterations with averaged operators. As such methods converge at an $\mathcal{O}(1/k)$ rate with the constant determined by the averagedness coefficient, establishing small averagedness coefficients for operators is of broad interest. In this paper, we show that the averagedness coefficients of the composition of averaged operators by Ogura and Yamada (Numer Func Anal Opt 32(1--2):113--137, 2002) and the three-operator splitting by Davis and Yin (Set-Valued Var Anal 25(4):829--858, 2017) are tight. The analysis relies on the scaled relative graph, a geometric tool recently proposed by Ryu, Hannah, and Yin (arXiv:1902.09788, 2019)."
W3024233472,CY15;OY02,2020,Tight coefficients of averaged operators via scaled relative graph,Xinmeng Huang; Ernest K. Ryu; Wotao Yin,Journal of Mathematical Analysis and Applications,10.1016/j.jmaa.2020.124211,,article,12,,
W3027187496,CY15;OY02,2020,On the optimal relaxation parameters of Krasnosel'ski–Mann iteration,Songnian He; Qiao‐Li Dong; Hanlin Tian; Xiaohuan Li,Optimization,10.1080/02331934.2020.1767101,,article,10,,"This paper is devoted to the optimal selection of the relaxation parameter sequence for Krasnosel'ski–Mann iteration. Firstly, we establish the optimal relaxation parameter sequence of the Krasnosel'ski–Mann iteration, with which the algorithm is proved to achieve the optimal convergence rate. Then we present an approximation to the optimal relaxation parameter sequence since the optimal relaxation parameter sequence involves fixed points of the operators and can't be used in actual computing. Thirdly, we apply our results to the operators splitting method, such as forward–backward splitting methods and Douglas–Rachford splitting method. Finally, numerical experiments are provided to illustrate that Krasnosel'ski–Mann iteration and the relaxed projected method with our proposed relaxation parameter sequence behave better than others."
W3047002475,CY15;HRY20,2021,Fixed Point Strategies in Data Science,Patrick L. Combettes; Jean‐Christophe Pesquet,IEEE Transactions on Signal Processing,10.1109/tsp.2021.3069677,2008.02260,article,100,https://arxiv.org/pdf/2008.02260,"The goal of this article is to promote the use of fixed point strategies in data science by showing that they provide a simplifying and unifying framework to model, analyze, and solve a great variety of problems. They are seen to constitute a natural environment to explain the behavior of advanced convex optimization methods as well as of recent nonlinear methods in data science which are formulated in terms of paradigms that go beyond minimization concepts and involve constructs such as Nash equilibria or monotone inclusions. We review the pertinent tools of fixed point theory and describe the main state-of-the-art algorithms for provenly convergent fixed point construction. We also incorporate additional ingredients such as stochasticity, block-implementations, and non-Euclidean metrics, which provide further enhancements. Applications to signal and image processing, machine learning, statistics, neural networks, and inverse problems are discussed."
W3190203171,CY15;OY02,2021,A Primal-Dual Forward-Backward Splitting Algorithm for Distributed Convex Optimization,Huaqing Li; Enbing Su; Chengbo Wang; Jiawei Liu; Zuqing Zheng; Zheng Wang,IEEE Transactions on Emerging Topics in Computational Intelligence,10.1109/tetci.2021.3098831,,article,20,,"Motivated by modern large-scale information processing problems in engineering, this paper concentrates on studying distributed constrained convex optimization problems over a connected undirected network. The problem involves a sum of a differentiable convex function with Lipschitz continuous gradient and two non-smooth convex functions with a linear operator. To solve such a problem, we propose a novel distributed primal-dual forward-backward splitting algorithm, called D-PDFBS. Each agent locally computes the Lipschitz continuous gradient and two proximal operators, and exchanges information with its neighbors. D-PDFBS adopts non-identical stepsizes, and we reveal the relationship between selection of stepsizes and parameters of objective functions. The simulation results verify the feasibility of D-PDFBS and the correctness of theoretical findings."
W2982400852,CY15;OY02,2021,Conical averagedness and convergence analysis of fixed point algorithms,Sedi Bartz; Minh N. Dao; Hung M. Phan,Journal of Global Optimization,10.1007/s10898-021-01057-4,1910.14185,article,6,https://link.springer.com/content/pdf/10.1007/s10898-021-01057-4.pdf,
W2998099872,CY15;OY02,2021,On compositions of special cases of Lipschitz continuous operators,Pontus Giselsson; Walaa M. Moursi,Fixed Point Theory and Algorithms for Sciences and Engineering,10.1186/s13663-021-00709-0,,article,11,https://fixedpointtheoryandapplications.springeropen.com/track/pdf/10.1186/s13663-021-00709-0,"Many iterative optimization algorithms involve compositions of special cases of Lipschitz continuous operators, namely firmly nonexpansive, averaged, and nonexpansive operators. The structure and properties of the compositions are of particular importance in the proofs of convergence of such algorithms. In this paper, we systematically study the compositions of further special cases of Lipschitz continuous operators. Applications of our results include compositions of scaled conically nonexpansive mappings, as well as the Douglas-Rachford and forward-backward operators, when applied to solve certain structured monotone inclusion and optimization problems. Several examples illustrate and tighten our conclusions."
W3197261235,CY15;OY02,2021,"A generalized forward-backward splitting operator: nonexpansiveness, convergence rates and applications",Feng Xue,arXiv (Cornell University),,2109.02064,preprint,0,http://export.arxiv.org/pdf/2109.02064,"In this paper, we consider a generalized forward-backward splitting (G-FBS) operator for solving the monotone inclusions, and analyze its nonexpansive properties in a context of arbitrary variable metric. Then, for the associated fixed-point iterations (i.e. the G-FBS algorithms), the global ergodic and pointwise convergence rates of metric distance are obtained from the nonexpansiveness. The convergence in terms of objective function value is also investigated, when the G-FBS operator is applied to a minimization problem. A main contribution of this paper is to show that the G-FBS operator provides a simplifying and unifying framework to model and analyze a great variety of operator splitting algorithms, where the convergence behaviours can be easily described by the fixed-point construction of this simple operator."
W4213422212,CY15;HRY20,2021,Notation and Mathematical Foundations,Qiao‐Li Dong; Yeol Je Cho; Songnian He; Pãnos M. Pardalos; Themistocles M. Rassias,SpringerBriefs in optimization,10.1007/978-3-030-91654-1_2,,book-chapter,0,,
W3136646910,HRY20;RHY22,2021,Scaled relative graphs for system analysis,Thomas Chaffey; Fulvio Forni; Rodolphe Sepulchre,2021 60th IEEE Conference on Decision and Control (CDC),10.1109/cdc45484.2021.9683092,2103.13971,conference-paper,3,https://arxiv.org/pdf/2103.13971,"Scaled relative graphs were recently introduced to analyze the convergence of optimization algorithms using two dimensional Euclidean geometry. In this paper, we connect scaled relative graphs to the classical theory of input/output systems. It is shown that the Nyquist diagram of an LTI system on L2is the convex hull of its scaled relative graph under a particular change of coordinates. The SRG may be used to visualize approximations of static nonlinearities such as the describing function and quadratic constraints, allowing system properties to be verified or disproved. Interconnections of systems correspond to graphical manipulations of their SRGs. This is used to provide a simple, graphical proof of the classical incremental passivity theorem."
W4285242719,CY15;OY02,2022,A constrained LiGME model and its proximal splitting algorithm under overall convexity condition,,Journal of Applied and Numerical Optimization,10.23952/jano.4.2022.2.09,,article,20,http://jano.biemdas.com/issues/JANO2022-2-9.pdf,"The convex optimization has been used for modeling of many estimation problems in data science and engineering, where convex constraint sets in such a model express respectively a priori knowledge regarding a certain unknown vector to be estimated.The LiGME model was established recently in [J.Abe, M. Yamagishi, I. Yamada, Linearly involved generalized Moreau enhanced models and their proximal splitting algorithm under overall convexity condition, Inverse Probl.36 (2020), 035012] for a sound utilization of linearly involved regularizers closer to certain ideal discrete measures, for sparsity as well as for low-rankness, than their convex envelopes.Despite of the nonconvexity of linearly involved regularizers, the LiGME model can keep the overall convexity of its optimization model with a strategic parameter tuning.In this paper, for flexible exploitation of multiple convex constraint sets, we propose a constrained LiGME (cLiGME) model as an enhancement of the original LiGME model.Within the frame of convex optimization, the proposed cLiGME model can promote such desired features more strategically than standard models using convex regularizers, as well as can admit multiple linearly involved convex indicator functions for hard constraints.We also propose a proximal splitting type algorithm for the cLiGME model and demonstrate its effectiveness with a simple numerical experiment.The cLiGME model can be seen as an integration of central ideas in the LiGME model and the set theoretic estimation."
W4311351505,CY15;OY02,2022,A generalized forward–backward splitting operator: degenerate analysis and applications,Feng Xue,Computational and Applied Mathematics,10.1007/s40314-022-02143-3,,article,6,,
W4315489145,HRY20;RHY22,2022,Circuit Model Reduction with Scaled Relative Graphs,Thomas Chaffey; Alberto Padoan,2022 IEEE 61st Conference on Decision and Control (CDC),10.1109/cdc51059.2022.9993357,,conference-paper,2,,"Continued fractions are classical representations of complex objects (for example, real numbers) as sums and inverses of simpler objects (for example, integers). The analogy in linear circuit theory is a chain of series/parallel one-ports: the port behavior is a continued fraction containing the port behaviors of its elements. Truncating a continued fraction is a classical method of approximation, which corresponds to deleting the circuit elements furthest from the port. We apply this idea to chains of series/parallel one-ports composed of arbitrary nonlinear relations. This gives a model reduction method which automatically preserves properties such as incremental positivity. The Scaled Relative Graph (SRG) gives a graphical representation of the original and truncated port behaviors. The difference of these SRGs gives a bound on the approximation error, which is shown to be competitive with existing methods."
W4320488867,CY15;OY02,2023,A Unified Design of Generalized Moreau Enhancement Matrix for Sparsity Aware LiGME Models,Yang Chen; Masao YAMAGISHI; Isao Yamada,IEICE Transactions on Fundamentals of Electronics Communications and Computer Sciences,10.1587/transfun.2022eap1118,,article,10,https://www.jstage.jst.go.jp/article/transfun/E106.A/8/E106.A_2022EAP1118/_pdf,"In this paper, we propose a unified algebraic design of the generalized Moreau enhancement matrix (GME matrix) for the Linearly involved Generalized-Moreau-Enhanced (LiGME) model. The LiGME model has been established as a framework to construct linearly involved nonconvex regularizers for sparsity (or low-rank) aware estimation, where the design of GME matrix is a key to guarantee the overall convexity of the model. The proposed design is applicable to general linear operators involved in the regularizer of the LiGME model, and does not require any eigendecomposition or iterative computation. We also present an application of the LiGME model with the proposed GME matrix to a group sparsity aware least squares estimation problem. Numerical experiments demonstrate the effectiveness of the proposed GME matrix in the LiGME model."
W3216707186,PAT21;RHY22,2023,Monotone One-Port Circuits,Thomas Chaffey; Rodolphe Sepulchre,IEEE Transactions on Automatic Control,10.1109/tac.2023.3274690,2111.15407,article,0,https://arxiv.org/pdf/2111.15407,"Maximal monotonicity is explored as a generalization of the linear theory of passivity, aiming at an algorithmic input/output analysis of physical models. The theory is developed for maximal monotone one-port circuits, formed by the series and parallel interconnection of basic elements. These circuits generalize passive linear, time-invariant (LTI) transfer functions. Periodic input signals are shown to be mapped to periodic output signals, and these input–output behaviors can be efficiently computed using a maximal monotone splitting algorithm, which decomposes the computation according to the circuit topology. A new splitting algorithm is presented, which applies to any monotone one-port circuit defined as a port interconnection of monotone elements."
W4399715761,HRY20;RHY22,2024,Scaled graphs for reset control system analysis,Sebastiaan van den Eijnden; Thomas Chaffey; Tom Oomen; W.P.M.H. Heemels,European Journal of Control,10.1016/j.ejcon.2024.101050,,article,11,https://doi.org/10.1016/j.ejcon.2024.101050,"Scaled graphs allow for graphical analysis of nonlinear systems, but are generally difficult to compute. The aim of this paper is to develop a method for approximating the scaled graph of reset controllers. A key ingredient in our approach is the generalized Kalman-Yakubovich-Popov lemma to determine input specific input–output properties of a reset controller in the time domain. By combining the obtained time domain properties to cover the full input space, an over-approximation of the scaled graph is constructed. Using this approximation, we establish a feedback interconnection result and provide connections to classical input–output analysis frameworks. Several examples show the relevance of the results for the analysis and design of reset control systems."
W4407811647,CY15;OY02,2025,PALADIN: a novel plug-and-play 3D CS-MRI reconstruction method,Jiemin Wu; Shi-Bai Yin; Tai-Xiang Jiang; Guisong Liu; Xi-Le Zhao,Inverse Problems,10.1088/1361-6420/adb8c6,,article,8,,"Abstract Compressive sensing magnetic resonance imaging (CS-MRI) accelerates data acquisition by reconstructing high-quality images from a limited set of k-space samples. To solve this ill-posed inverse problem, the plug-and-play (PnP) framework integrates image priors using convolutional neural network (CNN) denoisers. However, CNN denoisers often prioritize local details and may neglect broader degradation effects, leading to visually plausible but structurally inaccurate artifacts. Additionally, the theoretical convergence of PnP methods remains a significant challenge. In this work, we propose a novel method, Plug-And-pLAy 3D MRI recoNstruction, to bridge the gap between denoising and MRI reconstruction. Our model employs the tensor tubal nuclear norm (TNN) to capture intrinsic correlations in 3D MRI data. It also incorporates two implicit regularizers. The first leverages CNN denoisers to exploit image priors. The second, introduced here for the first time, is formulated as a CS-MRI reconstruction subproblem and solved using a deep learning-based method to preserve global spatial structure. We solve the proposed model using the alternating direction method of multipliers. We extend existing theoretical results to prove the algorithm’s convergence to a fixed point under reasonable assumptions. Experiments on two datasets with three sampling masks show that our method outperforms state-of-the-art MRI reconstruction methods. Ablation studies confirm that the TNN and the two implicit regularizers work together to improve reconstruction quality."
W4410934744,CY15;OY02,2025,An LiGME Regularizer of Designated Isolated Minimizers — An Application to Discrete-Valued Signal Estimation,Satoshi Shoji; Wataru Yata; Keita Kume; Isao Yamada,IEICE Transactions on Fundamentals of Electronics Communications and Computer Sciences,10.1587/transfun.2025eap1035,,article,1,https://www.jstage.jst.go.jp/article/transfun/advpub/0/advpub_2025EAP1035/_pdf,"For a regularized least squares estimation of discrete-valued signals, we propose a Linearly involved Generalized Moreau Enhanced (LiGME) regularizer, as a nonconvex regularizer, of designated isolated minimizers. The proposed regularizer is designed as a Generalized Moreau Enhancement (GME) of the so-called sum-of-absolute-values (SOAV) convex regularizer. Every candidate vector in the discrete-valued set is aimed to be assigned to an isolated local minimizer of the proposed regularizer while the overall convexity of the regularized least squares model is maintained. Moreover, a global minimizer of the proposed model can be approximated iteratively by using a variant of the constrained LiGME (cLiGME) algorithm. To enhance the accuracy of the proposed estimation, we also propose a pair of simple modifications, called respectively an iterative reweighting and a generalized superiorization. Numerical experiments demonstrate the effectiveness of the proposed model and algorithms in a scenario of multiple-input multiple-output (MIMO) signal detection."
W4416571947,CY15;OY02,2025,Distributed Primal-Dual Forward-Backward Splitting Algorithm for Nonsmooth Composite Optimization,Huaqing Li; Qingguo Lü; Dawen Xia; Xin Wang; Zheng Wang; Lifeng Zheng,Computational intelligence methods and applications,10.1007/978-981-95-0911-9_6,,book-chapter,0,,
W4413169546,OY02;RHY22,2025,Convergence analyses of Davis–Yin splitting via scaled relative graphs II: convex optimization problems,Soheun Yi; Ernest K. Ryu,Optimization,10.1080/02331934.2025.2544700,,article,1,,"The prior work of [SIAM J. Optim., 2025] used scaled relative graphs (SRG) to analyze the convergence of Davis–Yin splitting (DYS) iterations on monotone inclusion problems. In this work, we use this machinery to analyze DYS iterations on convex optimization problems and obtain state-of-the-art linear convergence rates."
W1546168022,OY02,2001,The Hybrid Steepest Descent Method for the Variational Inequality Problem Over the Intersection of Fixed Point Sets of Nonexpansive Mappings,Isao Yamada,Studies in computational mathematics,10.1016/s1570-579x(01)80028-8,,book-chapter,620,,
