key,new_vs_harvest,score,red_flag,families,via,title,year,authors,venue,doi,openalex,cited_by,abstract
10.48550/arxiv.1309.4709,True,5,False,I,forward:10.1007/BF02551235,The rate of linear convergence of the Douglas-Rachford algorithm for subspaces is the cosine of the Friedrichs angle,2013,Heinz H. Bauschke; Yunier Bello-Cruz; T. T. A. Nghia; Hung M. Phan; Xianfu Wang,arXiv (Cornell University),10.48550/arxiv.1309.4709,https://openalex.org/W2139454198,19,"The Douglas-Rachford splitting algorithm is a classical optimization method that has found many applications. When specialized to two normal cone operators, it yields an algorithm for finding a point in the intersection of two convex sets. This method for solving feasibility problems has attracted a lot of attention due to its good performance even in nonconvex settings. In this paper, we consider the Douglas-Rachford algorithm for finding a point in the intersection of two subspaces. We prove that the method converges strongly to the projection of the starting point onto the intersection. Moreover, if the sum of the two subspaces is closed, then the convergence is linear with the rate being the cosine of the Friedrichs angle between the subspaces. Our results improve upon existing results in three ways: First, we identify the location of the limit and thus reveal the method as a best approximation algorithm; second, we quantify the rate of convergence, and third, we carry out our analysis in general (possibly infinite-dimensional) Hilbert space. We also provide various examples as well as a comparison with the classical method of alternating projections."
10.1016/j.crma.2009.11.018,True,5,False,I,forward:10.1007/BF02551235,A generalization of the Friedrichs angle and the method of alternating projections,2009,Cătălin Badea; Sophie Grivaux; Vladimir Müller,Comptes Rendus Mathématique,10.1016/j.crma.2009.11.018,https://openalex.org/W2037072100,18,We present a generalization to an arbitrary number of subspaces of the cosine of the Friedrichs angle between two subspaces of a Hilbert space. This parameter is used to analyze the rate of convergence in the von Neumann–Halperin method of alternating projections.
10.1103/physrevlett.103.070504,True,5,False,K,forward:10.1109/18.796385,A Strong Converse for Classical Channel Coding Using Entangled Inputs,2009,Robert König; Stephanie Wehner,Physical Review Letters,10.1103/physrevlett.103.070504,https://openalex.org/W2090644485,103,"A fully general strong converse for channel coding states that when the rate of sending classical information exceeds the capacity of a quantum channel, the probability of correctly decoding goes to zero exponentially in the number of channel uses, even when we allow code states which are entangled across several uses of the channel. Such a statement was previously only known for classical channels and the quantum identity channel. By relating the problem to the additivity of minimum output entropies, we show that a strong converse holds for a large class of channels, including all unital qubit channels, the d-dimensional depolarizing channel and the Werner-Holevo channel. This further justifies the interpretation of the classical capacity as a sharp threshold for information transmission."
10.1088/1751-8113/42/50/504004,True,5,False,M,forward:10.1103/PhysRevB.73.094423,Renormalization and tensor product states in spin chains and lattices,2009,J Ignacio Cirac; Frank Verstraete,Journal of Physics A Mathematical and Theoretical,10.1088/1751-8113/42/50/504004,https://openalex.org/W2165008728,379,"We review different descriptions of many-body quantum systems in terms of tensor product states. We introduce several families of such states in terms of the known renormalization procedures, and show that they naturally arise in that context. We concentrate on matrix product states, tree tensor states, multiscale entanglement renormalization ansatz and projected entangled pair states. We highlight some of their properties, and show how they can be used to describe a variety of systems."
renormalizationandtensorproductstatesinspinchainsandlattices,True,5,False,M,forward:10.1103/PhysRevB.73.094423,Renormalization and tensor product states in spin chains and lattices,2009,"J. I. Cirac; Verstraete, F.",MPG.PuRe (Max Planck Society),,https://openalex.org/W3099568394,226,"We review different descriptions of many-body quantum systems in terms of tensor product states. We introduce several families of such states in terms of the known renormalization procedures, and show that they naturally arise in that context. We concentrate on matrix product states, tree tensor states, multiscale entanglement renormalization ansatz and projected entangled pair states. We highlight some of their properties, and show how they can be used to describe a variety of systems."
10.1137/07070111x,True,4,False,A;B,backward:10.1137/090764189;backward:10.1137/22M1473790;backward:10.48550/arXiv.2001.01191,Tensor Decompositions and Applications,2009,Tamara G. Kolda; Brett W. Bader,SIAM Review,10.1137/07070111x,https://openalex.org/W2024165284,10661,"Abstract. This survey provides an overview of higher-order tensor decompositions, their applications, and available software. A tensor is a multidimensional or [Formula: see text]-way array. Decompositions of higher-order tensors (i.e., [Formula: see text]-way arrays with [Formula: see text]) have applications in psychometrics, chemometrics, signal processing, numerical linear algebra, computer vision, numerical analysis, data mining, neuroscience, graph analysis, and elsewhere. Two particular tensor decompositions can be considered to be higher-order extensions of the matrix singular value decomposition: CANDECOMP/PARAFAC (CP) decomposes a tensor as a sum of rank-one tensors, and the Tucker decomposition is a higher-order form of principal component analysis. There are many other tensor decompositions, including INDSCAL, PARAFAC2, CANDELINC, DEDICOM, and PARATUCK2 as well as nonnegative variants of all of the above. The N-way Toolbox, Tensor Toolbox, and Multilinear Engine are examples of software packages for working with tensors."
10.1137/s0895479896305696,True,4,False,A,backward:10.1007/s40324-018-00184-5;backward:10.1137/090764189;backward:10.1137/22M1473790,A Multilinear Singular Value Decomposition,2000,Lieven De Lathauwer; Bart De Moor; Joos Vandewalle,SIAM Journal on Matrix Analysis and Applications,10.1137/s0895479896305696,https://openalex.org/W2013912476,4207,"We discuss a multilinear generalization of the singular value decomposition. There is a strong analogy between several properties of the matrix and the higher-order tensor decomposition; uniqueness, link with the matrix eigenvalue decomposition, first-order perturbation effects, etc., are analyzed. We investigate how tensor symmetries affect the decomposition and propose a multilinear generalization of the symmetric eigenvalue decomposition for pair-wise symmetric tensors."
10.1007/s00041-009-9094-9,True,4,False,A,backward:10.1007/s40324-018-00184-5;backward:10.1137/090764189;forward:10.1137/090764189,A New Scheme for the Tensor Representation,2009,Wolfgang Hackbusch; Simone Kühn,Journal of Fourier Analysis and Applications,10.1007/s00041-009-9094-9,https://openalex.org/W2088025933,464,"The paper presents a new scheme for the representation of tensors which is well-suited for high-order tensors. The construction is based on a hierarchy of tensor product subspaces spanned by orthonormal bases. The underlying binary tree structure makes it possible to apply standard Linear Algebra tools for performing arithmetical operations and for the computation of data-sparse approximations. In particular, a truncation algorithm can be implemented which is based on the standard matrix singular value decomposition (SVD) method."
10.1137/070688316,True,4,False,A,backward:10.1137/090764189,"A Newton–Grassmann Method for Computing the Best Multilinear Rank-$(r_1,$ $r_2,$ $r_3)$ Approximation of a Tensor",2009,Lars Eldén; Berkant Savas,SIAM Journal on Matrix Analysis and Applications,10.1137/070688316,https://openalex.org/W2036718271,154,"We derive a Newton method for computing the best rank-$(r_1,r_2,r_3)$ approximation of a given $J\times K\times L$ tensor $\mathcal{A}$. The problem is formulated as an approximation problem on a product of Grassmann manifolds. Incorporating the manifold structure into Newton's method ensures that all iterates generated by the algorithm are points on the Grassmann manifolds. We also introduce a consistent notation for matricizing a tensor, for contracted tensor products and some tensor-algebraic manipulations, which simplify the derivation of the Newton equations and enable straightforward algorithmic implementation. Experiments show a quadratic convergence rate for the Newton–Grassmann algorithm."
10.1002/gamm.201310004,True,4,False,A,forward:10.1137/090764189,A literature survey of low‐rank tensor approximation techniques,2013,Lars Grasedyck; Daniel Kreßner; Christine Tobler,GAMM-Mitteilungen,10.1002/gamm.201310004,https://openalex.org/W1967077133,587,"Abstract During the last years, low‐rank tensor approximation has been established as a new tool in scientific computing to address large‐scale linear and multilinear algebra problems, which would be intractable by classical techniques. This survey attempts to give a literature overview of current developments in this area, with an emphasis on function‐related tensors. (© 2013 WILEY‐VCH Verlag GmbH & Co. KGaA, Weinheim)"
10.48550/arxiv.1606.05535,True,4,False,A,forward:10.1137/090764189,Tensor Ring Decomposition,2016,Qibin Zhao; Guoxu Zhou; Shengli Xie; Liqing Zhang; Andrzej Cichocki,arXiv (Cornell University),10.48550/arxiv.1606.05535,https://openalex.org/W2431890537,304,"Tensor networks have in recent years emerged as the powerful tools for solving the large-scale optimization problems. One of the most popular tensor network is tensor train (TT) decomposition that acts as the building blocks for the complicated tensor networks. However, the TT decomposition highly depends on permutations of tensor dimensions, due to its strictly sequential multilinear products over latent cores, which leads to difficulties in finding the optimal TT representation. In this paper, we introduce a fundamental tensor decomposition model to represent a large dimensional tensor by a circular multilinear products over a sequence of low dimensional cores, which can be graphically interpreted as a cyclic interconnection of 3rd-order tensors, and thus termed as tensor ring (TR) decomposition. The key advantage of TR model is the circular dimensional permutation invariance which is gained by employing the trace operation and treating the latent cores equivalently. TR model can be viewed as a linear combination of TT decompositions, thus obtaining the powerful and generalized representation abilities. For optimization of latent cores, we present four different algorithms based on the sequential SVDs, ALS scheme, and block-wise ALS techniques. Furthermore, the mathematical properties of TR model are investigated, which shows that the basic multilinear algebra can be performed efficiently by using TR representaions and the classical tensor decompositions can be conveniently transformed into the TR representation. Finally, the experiments on both synthetic signals and real-world datasets were conducted to evaluate the performance of different algorithms."
10.1561/2200000067,True,4,False,A,forward:10.1137/090764189,Tensor Networks for Dimensionality Reduction and Large-Scale Optimizations Part 2 Applications and Future Perspectives,2017,Andrzej Cichocki; Anh-Huy Phan; Qibin Zhao; Namgil Lee; Ivan Oseledets; Masashi Sugiyama,Foundations and Trends® in Machine Learning,10.1561/2200000067,https://openalex.org/W2617994470,225,"Part 2 of this monograph builds on the introduction to tensor networks and their operations presented in Part 1. It focuses on tensor network models for super-compressed higher-order representation of data/parameters and related cost functions, while providing an outline of their applications in machine learning and data analytics. A particular emphasis is on the tensor train (TT) and Hierarchical Tucker (HT) decompositions, and their physically meaningful interpretations which reflect the scalability of the tensor network approach. Through a graphical approach, we also elucidate how, by virtue of the underlying low-rank tensor approximations and sophisticated contractions of core tensors, tensor networks have the ability to perform distributed computations on otherwise prohibitively large volumes of data/parameters, thereby alleviating or even eliminating the curse of dimensionality. The usefulness of this concept is illustrated over a number of applied areas, including generalized regression and classification (support tensor machines, canonical correlation analysis, higher order partial least squares), generalized eigenvalue decomposition, Riemannian optimization, and in the optimization of deep neural networks. Part 1 and Part 2 of this work can be used either as stand-alone separate texts, or indeed as a conjoint comprehensive review of the exciting field of low-rank tensor networks and tensor decompositions."
10.1137/090764189,True,4,False,A,backward:10.1137/22M1473790,Hierarchical Singular Value Decomposition of Tensors,2010,Lars Grasedyck,SIAM Journal on Matrix Analysis and Applications,10.1137/090764189,https://openalex.org/W2038198231,529,"We define the hierarchical singular value decomposition (SVD) for tensors of order $d\geq2$. This hierarchical SVD has properties like the matrix SVD (and collapses to the SVD in $d=2$), and we prove these. In particular, one can find low rank (almost) best approximations in a hierarchical format ($\mathcal{H}$-Tucker) which requires only $\mathcal{O}((d-1)k^3+dnk)$ parameters, where d is the order of the tensor, n the size of the modes, and k the (hierarchical) rank. The $\mathcal{H}$-Tucker format is a specialization of the Tucker format and it contains as a special case all (canonical) rank k tensors. Based on this new concept of a hierarchical SVD we present algorithms for hierarchical tensor calculations allowing for a rigorous error analysis. The complexity of the truncation (finding lower rank approximations to hierarchical rank k tensors) is in $\mathcal{O}((d-1)k^4+dnk^2)$ and the attainable accuracy is just 2–3 digits less than machine precision."
10.1063/5.0153870,True,4,False,A,forward:10.1137/22M1473790,Tree tensor network state approach for solving hierarchical equations of motion,2023,Yaling Ke,The Journal of Chemical Physics,10.1063/5.0153870,https://openalex.org/W4378953160,46,"The hierarchical equations of motion (HEOM) method is a numerically exact open quantum system dynamics approach. The method is rooted in an exponential expansion of the bath correlation function, which in essence strategically reshapes a continuous environment into a set of effective bath modes that allow for more efficient cutoff at finite temperatures. Based on this understanding, one can map the HEOM method into a Schrödinger-like equation, with a non-Hermitian super-Hamiltonian for an extended wave function being the tensor product of the central system wave function and the Fock state of these effective bath modes. In this work, we explore the possibility of representing the extended wave function as a tree tensor network state (TTNS) and the super-Hamiltonian as a tree tensor network operator of the same structure as the TTNS, as well as the application of a time propagation algorithm using the time-dependent variational principle. Our benchmark calculations based on the spin-boson model with a slow-relaxing bath show that the proposed HEOM+TTNS approach yields consistent results with those of the conventional HEOM method, while the computation is considerably sped up. In addition, the simulation with a genuine TTNS is four times faster than a one-dimensional matrix product state decomposition scheme."
10.1137/23m1565103,True,4,False,A,forward:10.1137/22M1473790,A Parallel Rank-Adaptive Integrator for Dynamical Low-Rank Approximation,2024,Gianluca Ceruti; Jonas Kusch; Christian Lubich,SIAM Journal on Scientific Computing,10.1137/23m1565103,https://openalex.org/W4396585880,26,"Abstract. This work introduces a parallel and rank-adaptive matrix integrator for dynamical low-rank approximation. The method is related to the previously proposed rank-adaptive basis update and Galerkin (BUG) integrator but differs significantly in that all arising differential equations, both for the basis and the Galerkin coefficients, are solved in parallel. Moreover, this approach eliminates the need for a potentially costly coefficient update with augmented basis matrices. The integrator also incorporates a new step rejection strategy that enhances the robustness of both the parallel integrator and the BUG integrator. By construction, the parallel integrator inherits the robust error bound of the BUG and projector-splitting integrators. Comparisons of the parallel and BUG integrators are presented by a series of numerical experiments which demonstrate the efficiency of the proposed method, for problems from radiative transfer and radiation therapy."
10.1103/physrevb.90.064425,True,4,False,B,backward:10.48550/arXiv.2001.01191,Algorithms for finite projected entangled pair states,2014,Michael Lubasch; J. I. Cirac; Mari Carmen Bañuls,Physical Review B,10.1103/physrevb.90.064425,https://openalex.org/W2136035771,211,"Projected entangled pair states (PEPS) are a promising ansatz for the study of strongly correlated quantum many-body systems in two dimensions. However, due to their high computational cost, developing and improving PEPS algorithms is necessary to make the ansatz widely usable in practice. Here we analyze several algorithmic aspects of the method. On the one hand, we quantify the connection between the correlation length of the PEPS and the accuracy of its approximate contraction and discuss how purifications can be used in the latter. On the other hand, we present algorithmic improvements for the update of the tensor that introduce drastic gains in the numerical conditioning and the efficiency of the algorithms. Finally, the state-of-the-art general PEPS code is benchmarked with the Heisenberg and quantum Ising models on lattices of up to $21\ifmmode\times\else\texttimes\fi{}21$ sites."
10.1088/1367-2630/16/3/033014,True,4,False,B,backward:10.48550/arXiv.2001.01191,Unifying projected entangled pair state contractions,2014,Michael Lubasch; J. I. Cirac; Mari Carmen Bañuls,New Journal of Physics,10.1088/1367-2630/16/3/033014,https://openalex.org/W2149354085,136,"The approximate contraction of a tensor network of projected entangled pair states (PEPS) is a fundamental ingredient of any PEPS algorithm, required for the optimization of the tensors in ground state search or time evolution, as well as for the evaluation of expectation values. An exact contraction is in general impossible, and the choice of the approximating procedure determines the efficiency and accuracy of the algorithm. We analyze different previous proposals for this approximation, and show that they can be understood via the form of their environment, i.e. the operator that results from contracting part of the network. This provides physical insight into the limitation of various approaches, and allows us to introduce a new strategy, based on the idea of clusters, that unifies previous methods. The resulting contraction algorithm interpolates naturally between the cheapest and most imprecise and the most costly and most precise method. We benchmark the different algorithms with finite PEPS, and show how the cluster strategy can be used for both the tensor optimization and the calculation of expectation values. Additionally, we discuss its applicability to the parallelization of PEPS and to infinite systems."
10.48550/arxiv.1801.02662,True,4,False,B,backward:10.48550/arXiv.2001.01191,Tensor network ranks,2018,Ke Ye; Lek‐Heng Lim,arXiv (Cornell University),10.48550/arxiv.1801.02662,https://openalex.org/W2783032531,22,"In problems involving approximation, completion, denoising, dimension reduction, estimation, interpolation, modeling, order reduction, regression, etc, we argue that the near-universal practice of assuming that a function, matrix, or tensor (which we will see are all the same object in this context) has \emph{low rank} may be ill-justified. There are many natural instances where the object in question has high rank with respect to the classical notions of rank: matrix rank, tensor rank, multilinear rank --- the latter two being the most straightforward generalizations of the former. To remedy this, we show that one may vastly expand these classical notions of ranks: Given any undirected graph $G$, there is a notion of $G$-rank associated with $G$, which provides us with as many different kinds of ranks as there are undirected graphs. In particular, the popular tensor network states in physics (e.g., \textsc{mps}, \textsc{ttns}, \textsc{peps}) may be regarded as functions of a specific $G$-rank for various choices of $G$. Among other things, we will see that a function, matrix, or tensor may have very high matrix, tensor, or multilinear rank and yet very low $G$-rank for some $G$. In fact the difference is in the orders of magnitudes and the gaps between $G$-ranks and these classical ranks are arbitrarily large for some important objects in computer science, mathematics, and physics. Furthermore, we show that there is a $G$ such that almost every tensor has $G$-rank exponentially lower than its rank or the dimension of its ambient space."
10.22331/q-2024-12-27-1580,True,4,False,B,forward:10.48550/arXiv.2001.01191,Approximate Contraction of Arbitrary Tensor Networks with a Flexible and Efficient Density Matrix Algorithm,2024,Linjian Ma; Matthew Fishman; E. Miles Stoudenmire; Edgar Solomonik,Quantum,10.22331/q-2024-12-27-1580,https://openalex.org/W4405847480,2,"Tensor network contractions are widely used in statistical physics, quantum computing, and computer science. We introduce a method to efficiently approximate tensor network contractions using low-rank approximations, where each intermediate tensor generated during the contractions is approximated as a low-rank binary tree tensor network. The proposed algorithm has the flexibility to incorporate a large portion of the environment when performing low-rank approximations, which can lead to high accuracy for a given rank. Here, the environment refers to the remaining set of tensors in the network, and low-rank approximations with larger environments can generally provide higher accuracy. For contracting tensor networks defined on lattices, the proposed algorithm can be viewed as a generalization of the standard boundary-based algorithms. In addition, the algorithm includes a cost-efficient density matrix algorithm for approximating a tensor network with a general graph structure into a tree structure, whose computational cost is asymptotically upper-bounded by that of the standard algorithm that uses canonicalization. Experimental results indicate that the proposed technique outperforms previously proposed approximate tensor network contraction algorithms for multiple problems in terms of both accuracy and efficiency."
