key,families,title,year,venue,doi
10.1109/tit.2009.2018325,K,Min- and Max-Relative Entropies and a New Entanglement Monotone,2009,IEEE Transactions on Information Theory,10.1109/tit.2009.2018325
10.1109/comst.2017.2786748,K,A Survey on Quantum Channel Capacities,2018,IEEE Communications Surveys & Tutorials,10.1109/comst.2017.2786748
asurveyonquantumchannelcapacities,K,A Survey on Quantum Channel Capacities,2018,Surrey Research Insight Open Access (The University of Surrey),
10.1103/physrevlett.117.020402,K,Relating the Resource Theories of Entanglement and Quantum Coherence,2016,Physical Review Letters,10.1103/physrevlett.117.020402
10.1007/s00220-011-1302-1,K,Faithful Squashed Entanglement,2011,Communications in Mathematical Physics,10.1007/s00220-011-1302-1
10.1088/0034-4885/75/4/046001,K,Quantum channels and their entropic characteristics,2012,Reports on Progress in Physics,10.1088/0034-4885/75/4/046001
10.1103/physreva.72.052317,K,Entanglement of assistance and multipartite state distillation,2005,Physical Review A,10.1103/physreva.72.052317
10.1109/tit.2004.839476,K,Remote Preparation of Quantum States,2005,IEEE Transactions on Information Theory,10.1109/tit.2004.839476
10.1103/physrevlett.93.230504,K,A Family of Quantum Protocols,2004,Physical Review Letters,10.1103/physrevlett.93.230504
10.1109/tit.2008.924726,K,Entanglement-Assisted Capacity of Quantum Multiple-Access Channels,2008,IEEE Transactions on Information Theory,10.1109/tit.2008.924726
aremotepreparationofquantumstates,K,A.: Remote preparation of quantum states,2003,Bristol Research (University of Bristol),
10.1145/3428218,K,Projection-based runtime assertions for testing and debugging Quantum programs,2020,Proceedings of the ACM on Programming Languages,10.1145/3428218
10.1109/tit.2012.2218792,K,Polar Codes for Classical-Quantum Channels,2012,IEEE Transactions on Information Theory,10.1109/tit.2012.2218792
continuityofquantummutualinformation,E,Continuity of quantum mutual information,2003,arXiv (Cornell University),
10.1103/physrevlett.109.120403,E,Reliable Quantum State Tomography,2012,Physical Review Letters,10.1103/physrevlett.109.120403
10.1038/s41534-023-00684-x,E,Advances in device-independent quantum key distribution,2023,npj Quantum Information,10.1038/s41534-023-00684-x
10.1038/nphys2747,E,An area law for entanglement from exponential decay of correlations,2013,Nature Physics,10.1038/nphys2747
10.48550/arxiv.1004.1641,E,The decoupling approach to quantum information theory,2010,arXiv (Cornell University),10.48550/arxiv.1004.1641
10.1103/physrevlett.119.120506,E,Quantum Communication Using Coherent Rejection Sampling,2017,Physical Review Letters,10.1103/physrevlett.119.120506
10.48550/arxiv.2011.04672,E,Principles of Quantum Communication Theory: A Modern Approach,2020,arXiv (Cornell University),10.48550/arxiv.2011.04672
10.1007/s00211-013-0544-6,A,$$L^{\infty }$$ estimation of tensor truncations,2013,Numerische Mathematik,10.1007/s00211-013-0544-6
10.1007/s10589-011-9401-7,I,On the effectiveness of projection methods for convex feasibility problems with linear inequality constraints,2011,Computational Optimization and Applications,10.1007/s10589-011-9401-7
10.1080/03081088308817526,I,A limit theorem for projections,1983,Linear and Multilinear Algebra,10.1080/03081088308817526
10.1145/125826.125848,H,The Omega test: a fast and practical integer programming algorithm for dependence analysis,1991,,10.1145/125826.125848
10.1017/s0960129511000119,H,Type classes for mathematics in type theory,2011,Mathematical Structures in Computer Science,10.1017/s0960129511000119
10.1145/3573105.3575671,H,Aesop: White-Box Best-First Proof Search for Lean,2023,,10.1145/3573105.3575671
10.1103/physrevlett.101.250602,B,Classical Simulation of Infinite-Size Quantum Lattice Systems in Two Spatial Dimensions,2008,Physical Review Letters,10.1103/physrevlett.101.250602
10.1103/physrevlett.116.247204,B,Obtaining Highly Excited Eigenstates of Many-Body Localized Hamiltonians by the Density Matrix Renormalization Group Approach,2016,Physical Review Letters,10.1103/physrevlett.116.247204
10.1103/physrevlett.124.037201,B,Isometric Tensor Network States in Two Dimensions,2020,Physical Review Letters,10.1103/physrevlett.124.037201
10.1103/physrevlett.118.017201,B,Finding Matrix Product State Representations of Highly Excited Eigenstates of Many-Body Localized Hamiltonians,2017,Physical Review Letters,10.1103/physrevlett.118.017201
10.1103/physrevlett.123.190501,B,General-Purpose Quantum Circuit Simulator with Projected Entangled-Pair States and the Quantum Supremacy Frontier,2019,Physical Review Letters,10.1103/physrevlett.123.190501
10.1103/physrevb.98.085155,B,"Gauge fixing, canonical forms, and optimal truncations in tensor networks with closed loops",2018,Physical review. B./Physical review. B,10.1103/physrevb.98.085155
10.48550/arxiv.cond-mat/0407066,B,Renormalization algorithms for Quantum-Many Body Systems in two and higher dimensions,2004,arXiv (Cornell University),10.48550/arxiv.cond-mat/0407066
10.48550/arxiv.1710.05867,B,Pareto-Efficient Quantum Circuit Simulation Using Tensor Contraction Deferral,2017,arXiv (Cornell University),10.48550/arxiv.1710.05867
10.3389/fams.2022.806549,B,"A Practical Guide to the Numerical Implementation of Tensor Networks I: Contractions, Decompositions, and Gauge Freedom",2022,Frontiers in Applied Mathematics and Statistics,10.3389/fams.2022.806549
10.1109/sc41405.2020.00028,B,Distributed-Memory DMRG via Sparse and Dense Parallel Tensor Contractions,2020,,10.1109/sc41405.2020.00028
10.5555/3433701.3433732,B,Distributed-Memory DMRG via Sparse and Dense Parallel Tensor Contractions,2020,arXiv (Cornell University),10.5555/3433701.3433732
10.1007/s10543-013-0454-0,A,A projector-splitting integrator for dynamical low-rank approximation,2013,BIT Numerical Mathematics,10.1007/s10543-013-0454-0
10.1103/physrevb.102.094315,A,Time-dependent variational principle with ancillary Krylov subspace,2020,Physical review. B./Physical review. B,10.1103/physrevb.102.094315
10.1007/s10543-024-01032-x,A,A robust second-order low-rank BUG integrator based on the midpoint rule,2024,BIT Numerical Mathematics,10.1007/s10543-024-01032-x
10.1016/j.jcp.2024.112757,A,Accelerating the simulation of kinetic shear Alfvén waves with a dynamical low-rank approximation,2024,Journal of Computational Physics,10.1016/j.jcp.2024.112757
10.1007/s10543-025-01073-w,A,Second-order robust parallel integrators for dynamical low-rank approximation,2025,BIT Numerical Mathematics,10.1007/s10543-025-01073-w
10.1021/acs.jctc.4c00751,A,Comparison of Matrix Product State and Multiconfiguration Time-Dependent Hartree Methods for Nonadiabatic Dynamics of Exciton Dissociation,2024,Journal of Chemical Theory and Computation,10.1021/acs.jctc.4c00751
10.1137/110836067,A;F;M,A New Truncation Strategy for the Higher-Order Singular Value Decomposition,2012,SIAM Journal on Scientific Computing,10.1137/110836067
10.1137/140953289,A;B;M,Alternating Minimal Energy Methods for Linear Systems in Higher Dimensions,2014,SIAM Journal on Scientific Computing,10.1137/140953289
10.1145/3278607,A;B,Tensor Completion Algorithms in Big Data Analytics,2019,ACM Transactions on Knowledge Discovery from Data,10.1145/3278607
10.1088/1741-2552/aab2f2,A;B,A review of classification algorithms for EEG-based brain–computer interfaces: a 10 year update,2018,Journal of Neural Engineering,10.1088/1741-2552/aab2f2
10.5075/epfl-thesis-6958,A;M,Riemannian Optimization for Solving High-Dimensional Problems with Low-Rank Tensor Structure,2016,Infoscience (Ecole Polytechnique Fédérale de Lausanne),10.5075/epfl-thesis-6958
10.48550/arxiv.1801.09414,C;G,CosFace: Large Margin Cosine Loss for Deep Face Recognition,2018,arXiv (Cornell University),10.48550/arxiv.1801.09414
10.5555/1046920.1088718,C;G,Clustering on the Unit Hypersphere using von Mises-Fisher Distributions,2005,MPG.PuRe (Max Planck Society),10.5555/1046920.1088718
10.1103/revmodphys.77.259,B;L;M,The density-matrix renormalization group,2005,Reviews of Modern Physics,10.1103/revmodphys.77.259
10.1016/j.chemolab.2011.09.001,A,Tensors-structured numerical methods in scientific computing: Survey on recent advances,2011,Chemometrics and Intelligent Laboratory Systems,10.1016/j.chemolab.2011.09.001
10.1109/tvcg.2019.2904063,A,TTHRESH: Tensor Compression for Multidimensional Visual Data,2019,IEEE Transactions on Visualization and Computer Graphics,10.1109/tvcg.2019.2904063
10.1137/15m1036919,A,Spectral Tensor-Train Decomposition,2016,SIAM Journal on Scientific Computing,10.1137/15m1036919
10.1109/access.2019.2949814,A,A Survey on Tensor Techniques and Applications in Machine Learning,2019,IEEE Access,10.1109/access.2019.2949814
10.1109/access.2019.2908207,A,Tensor-Based Channel Estimation for Massive MIMO-OFDM Systems,2019,IEEE Access,10.1109/access.2019.2908207
10.1103/physrevx.12.041018,A,Learning Feynman Diagrams with Tensor Trains,2022,Physical Review X,10.1103/physrevx.12.041018
10.1016/j.cam.2021.113972,A,Faster tensor train decomposition for sparse data,2021,Journal of Computational and Applied Mathematics,10.1016/j.cam.2021.113972
10.48550/arxiv.1406.2816,A,Computation of the Response Surface in the Tensor Train data format,2014,arXiv (Cornell University),10.48550/arxiv.1406.2816
10.1103/physrevresearch.7.023087,A,Two-particle calculations with quantics tensor trains: Solving the parquet equations,2025,Physical Review Research,10.1103/physrevresearch.7.023087
10.48550/arxiv.2207.06135,A,Learning Feynman Diagrams with Tensor Trains,2022,arXiv (Cornell University),10.48550/arxiv.2207.06135
10.48550/arxiv.1908.02721,A,Faster Tensor Train Decomposition for Sparse Data,2019,arXiv (Cornell University),10.48550/arxiv.1908.02721
10.48436/1h3fh-q1142,A,"Data for ""Two-particle calculations with quantics tensor trains -- solving the parquet equations""",2024,arXiv (Cornell University),10.48436/1h3fh-q1142
10.21468/scipostphys.19.2.038,A,Adaptive sampling-based optimization of quantics tensor trains for noisy functions: Applications to quantum simulations,2025,SciPost Physics,10.21468/scipostphys.19.2.038
10.1137/19m1246080,A,An Adaptive Stochastic Galerkin Tensor Train Discretization for Randomly Perturbed Domains,2020,SIAM/ASA Journal on Uncertainty Quantification,10.1137/19m1246080
10.1016/j.matcom.2017.10.009,A,Direct tensor-product solution of one-dimensional elliptic equations with parameter-dependent coefficients,2017,Mathematics and Computers in Simulation,10.1016/j.matcom.2017.10.009
10.1007/s10444-022-09925-7,A,Tensor rank bounds for point singularities in ℝ3,2022,Advances in Computational Mathematics,10.1007/s10444-022-09925-7
10.1002/nla.2289,A,On algorithms for and computing with the tensor ring decomposition,2020,Numerical Linear Algebra with Applications,10.1002/nla.2289
10.1007/s10092-021-00439-0,A,Low-rank tensor approximation of singularly perturbed boundary value problems in one dimension,2021,CALCOLO,10.1007/s10092-021-00439-0
10.1038/s41598-025-16905-6,A,"A fast, accurate and oscillation-free spectral collocation solver for high-dimensional transport problems",2026,Scientific Reports,10.1038/s41598-025-16905-6
10.1016/j.laa.2014.06.006,A,Quasioptimality of maximum-volume cross interpolation of tensors,2014,Linear Algebra and its Applications,10.1016/j.laa.2014.06.006
10.1017/s0962492922000125,A,Low-rank tensor methods for partial differential equations,2023,Acta Numerica,10.1017/s0962492922000125
10.1007/s10208-013-9187-3,A,Adaptive Near-Optimal Rank Tensor Approximation for High-Dimensional Operator Equations,2014,Foundations of Computational Mathematics,10.1007/s10208-013-9187-3
10.1016/j.jcp.2018.08.057,A,Parallel tensor methods for high-dimensional linear PDEs,2018,Journal of Computational Physics,10.1016/j.jcp.2018.08.057
sparselowrankapproximationofmultivariatefunctionsapplicationsinuncertaintyquantification,A,Sparse Low Rank Approximation of Multivariate Functions – Applications in Uncertainty Quantification,2014,HAL (Le Centre pour la Communication Scientifique Directe),
10.48550/arxiv.1711.10105,A,Tensor Completion Algorithms in Big Data Analytics,2017,arXiv (Cornell University),10.48550/arxiv.1711.10105
10.1103/prxquantum.4.010317,A,Density Matrix Renormalization Group with Tensor Processing Units,2023,PRX Quantum,10.1103/prxquantum.4.010317
10.1103/physreva.104.052204,A,Unveiling non-Markovian spacetime signaling in open quantum systems with long-range tensor network dynamics,2021,Physical Review A,10.1103/physreva.104.052204
10.1016/j.apm.2017.07.012,B,A new centrality measure of nodes in multilayer networks under the framework of tensor computation,2017,Applied Mathematical Modelling,10.1016/j.apm.2017.07.012
10.1615/int.j.uncertaintyquantification.2014010147,B,SPARSE MULTIRESOLUTION REGRESSION FOR UNCERTAINTY PROPAGATION,2014,International Journal for Uncertainty Quantification,10.1615/int.j.uncertaintyquantification.2014010147
10.1137/13091899x,B,A Least-Squares Method for Sparse Low Rank Approximation of Multivariate Functions,2015,SIAM/ASA Journal on Uncertainty Quantification,10.1137/13091899x
10.1371/journal.pbio.1000595,B,Genome-Wide and Phase-Specific DNA-Binding Rhythms of BMAL1 Control Circadian Output Functions in Mouse Liver,2011,PLoS Biology,10.1371/journal.pbio.1000595
10.1016/j.laa.2011.02.026,B,Derivatives for antisymmetric tensor powers and perturbation bounds,2011,Linear Algebra and its Applications,10.1016/j.laa.2011.02.026
10.1109/tcad.2016.2618879,B,Tensor Computation: A New Framework for High-Dimensional Problems in EDA,2016,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,10.1109/tcad.2016.2618879
10.1111/j.1365-2966.2008.14244.x,B,The fully connectedN-dimensional skeleton: probing the evolution of the cosmic web,2009,Monthly Notices of the Royal Astronomical Society,10.1111/j.1365-2966.2008.14244.x
10.1137/16m1074941,B,Interpolative Butterfly Factorization,2017,SIAM Journal on Scientific Computing,10.1137/16m1074941
10.1109/ojcoms.2024.3390000,B,Channel Coding Toward 6G: Technical Overview and Outlook,2024,IEEE Open Journal of the Communications Society,10.1109/ojcoms.2024.3390000
10.1186/1471-2148-3-3,B,Compensatory mutations cause excess of antagonistic epistasis in RNA secondary structure folding,2003,BMC Evolutionary Biology,10.1186/1471-2148-3-3
10.1155/2008/823695,B,Simultaneous Eye Tracking and Blink Detection with Interactive Particle Filters,2007,EURASIP Journal on Advances in Signal Processing,10.1155/2008/823695
10.1088/1748-9326/abd1a0,B,Globally prevalent land nitrogen memory amplifies water pollution following drought years,2020,Environmental Research Letters,10.1088/1748-9326/abd1a0
10.5194/acp-24-10617-2024,B,"Aerosol composition, air quality, and boundary layer dynamics in the urban background of Stuttgart in winter",2024,Atmospheric chemistry and physics,10.5194/acp-24-10617-2024
10.1002/cem.1079,B,A new holistic exploratory approach to Systems Biology by Near Infrared Spectroscopy evaluated by chemometrics and data inspection,2007,Journal of Chemometrics,10.1002/cem.1079
10.1002/mrm.21391,C,Sparse MRI: The application of compressed sensing for rapid MR imaging,2007,Magnetic Resonance in Medicine,10.1002/mrm.21391
10.18653/v1/p19-2057,C,Sentiment Classification Using Document Embeddings Trained with Cosine Similarity,2019,,10.18653/v1/p19-2057
10.1109/78.890324,C,Adaptive subspace detectors,2001,IEEE Transactions on Signal Processing,10.1109/78.890324
10.18653/v1/2022.acl-short.45,C,Problems with Cosine as a Measure of Embedding Similarity for High Frequency Words,2022,,10.18653/v1/2022.acl-short.45
10.1090/s0002-9947-1991-0989572-5,D,Random products of contractions in Banach spaces,1991,Transactions of the American Mathematical Society,10.1090/s0002-9947-1991-0989572-5
10.4230/lipics.mfcs.2016.19,D,On Degeneration of Tensors and Algebras,2016,arXiv (Cornell University),10.4230/lipics.mfcs.2016.19
10.1214/19-ejp342,D,On the stability of matrix-valued Riccati diffusions,2019,Electronic Journal of Probability,10.1214/19-ejp342
10.1137/17m1112303,D,A Practical Randomized CP Tensor Decomposition,2018,SIAM Journal on Matrix Analysis and Applications,10.1137/17m1112303
10.1002/hbm.20076,D,Formal characterization and extension of the linearized diffusion tensor model,2004,Human Brain Mapping,10.1002/hbm.20076
10.1002/mrm.21852,D,The tensor distribution function,2008,Magnetic Resonance in Medicine,10.1002/mrm.21852
10.1175/jpo-d-11-048.1,D,A Framework for Parameterizing Eddy Potential Vorticity Fluxes,2011,Journal of Physical Oceanography,10.1175/jpo-d-11-048.1
10.1007/s00440-014-0579-3,D,Concentration inequalities for non-Lipschitz functions with bounded derivatives of higher order,2014,Probability Theory and Related Fields,10.1007/s00440-014-0579-3
10.48550/arxiv.2203.15993,E,Improved Quantum Algorithms for Fidelity Estimation,2022,arXiv (Cornell University),10.48550/arxiv.2203.15993
10.1103/physreva.104.062602,E,Generalized measure of quantum Fisher information,2021,Physical Review A,10.1103/physreva.104.062602
10.1103/physrevlett.128.220502,E,Quantum Algorithm for Petz Recovery Channels and Pretty Good Measurements,2022,Physical Review Letters,10.1103/physrevlett.128.220502
10.1063/1.4936405,E,The smooth entropy formalism for von Neumann algebras,2015,Journal of Mathematical Physics,10.1063/1.4936405
10.1109/tit.2020.2981573,E,Partially Smoothed Information Measures,2020,IEEE Transactions on Information Theory,10.1109/tit.2020.2981573
10.4153/cjm-2011-007-5,E,On Best Proximity Points in Metric and Banach Spaces,2011,Canadian Journal of Mathematics,10.4153/cjm-2011-007-5
10.1184/r1/6721193,E,Quadric-Based Polygonal Surface Simplification,1999,KiltHub Repository,10.1184/r1/6721193
10.48550/arxiv.hep-th/9607134,E,The Metric on the Space of Yang-Mills Configurations,1996,arXiv (Cornell University),10.48550/arxiv.hep-th/9607134
10.1016/j.exmath.2018.01.002,E,On the Bures–Wasserstein distance between positive definite matrices,2018,Expositiones Mathematicae,10.1016/j.exmath.2018.01.002
10.1295/polymj.23.7,E,"Volume Contraction on Mixing in Poly(vinyl ethylene-co-1,4-butadiene)/Polyisoprene Blends",1991,Polymer Journal,10.1295/polymj.23.7
10.1029/1999tc001141,E,"Relations between hinterland and foreland shortening: Sevier orogeny, central North American Cordillera",2000,Tectonics,10.1029/1999tc001141
quantifyingtheinformativenessofsimilaritymeasurements,E,Quantifying the Informativeness of Similarity Measurements,2017,Research Explorer (The University of Manchester),
10.1214/aos/1031594728,F,Polynomial splines and their tensor products in extended linear modeling: 1994 Wald memorial lecture,1997,The Annals of Statistics,10.1214/aos/1031594728
10.3390/rs11040382,G,Infrared Small Target Detection Based on Partial Sum of the Tensor Nuclear Norm,2019,Remote Sensing,10.3390/rs11040382
10.1007/bf02392585,G,Subalgebras of C*-algebras III: Multivariable operator theory,1998,Acta Mathematica,10.1007/bf02392585
10.1007/978-981-19-9722-8,G,Sine Cosine Algorithm for Optimization,2023,SpringerBriefs in applied sciences and technology,10.1007/978-981-19-9722-8
10.48550/arxiv.1607.06520,G,Man is to Computer Programmer as Woman is to Homemaker? Debiasing Word Embeddings,2016,arXiv (Cornell University),10.48550/arxiv.1607.06520
10.3390/rs12030361,G,Filling Gaps of Monthly Terra/MODIS Daytime Land Surface Temperature Using Discrete Cosine Transform Method,2020,Remote Sensing,10.3390/rs12030361
10.5281/zenodo.20920816,H,"The Bost-Connes Modular Generator as a candidate Hilbert-Pólya Operator, formalized in Lean 4",2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.20920816
10.5281/zenodo.20916427,H,"The Bost-Connes Modular Generator as a candidate Hilbert-Pólya Operator, formalized in Lean 4",2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.20916427
10.5281/zenodo.20925877,H,"The Bost-Connes Modular Generator as a candidate Hilbert-Pólya Operator, formalized in Lean 4",2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.20925877
10.5281/zenodo.20916426,H,"The Bost-Connes Modular Generator as a candidate Hilbert-Pólya Operator, formalized in Lean 4",2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.20916426
leanquantumtowardaiassistedformalizationofquantuminformation,H,Lean-Quantum: Toward AI-Assisted Formalization of Quantum Information,2026,arXiv (Cornell University),
10.48550/arxiv.2607.05492,H,Lean-Quantum: Toward AI-Assisted Formalization of Quantum Information,2026,arXiv (Cornell University),10.48550/arxiv.2607.05492
arxiv:2606.19761,H,Finishing Oltean's Completeness Proof in Lean 4 for Hybrid Logic $L(\forall)$,2026,,
10.1103/physrevlett.87.040402,J,Observation of the Quantum Zeno and Anti-Zeno Effects in an Unstable System,2001,Physical Review Letters,10.1103/physrevlett.87.040402
10.1103/physrevlett.108.080501,J,Zeno Effect for Quantum Computation and Control,2012,Physical Review Letters,10.1103/physrevlett.108.080501
10.1088/1742-6596/196/1/012017,J,Quantum Zeno dynamics and quantum Zeno subspaces,2009,Journal of Physics Conference Series,10.1088/1742-6596/196/1/012017
10.1088/1475-7516/2007/03/012,J,Quantum Zeno effect and the impact of flavour in leptogenesis,2007,Journal of Cosmology and Astroparticle Physics,10.1088/1475-7516/2007/03/012
10.1103/physrevlett.118.260603,J,Extracting Work from Quantum Measurement in Maxwell’s Demon Engines,2017,Physical Review Letters,10.1103/physrevlett.118.260603
10.1103/physrevresearch.2.013095,J,Stabilizing open quantum batteries by sequential measurements,2020,Physical Review Research,10.1103/physrevresearch.2.013095
10.1140/epjd/e2020-100571-8,J,Simulating lattice gauge theories within quantum technologies,2020,The European Physical Journal D,10.1140/epjd/e2020-100571-8
10.1038/s42005-023-01331-9,J,Constrained optimization via quantum Zeno dynamics,2023,Communications Physics,10.1038/s42005-023-01331-9
10.22331/q-2020-07-06-289,J,Quantum Zeno Dynamics from General Quantum Operations,2020,Quantum,10.22331/q-2020-07-06-289
10.1103/physrevx.8.021005,J,Coherent Oscillations inside a Quantum Manifold Stabilized by Dissipation,2018,Physical Review X,10.1103/physrevx.8.021005
10.1088/0305-4470/30/4/031,J,Quantum Zeno effect and light - dark periods for a single atom,1997,Journal of Physics A Mathematical and General,10.1088/0305-4470/30/4/031
10.1103/75x7-5ysv,J,"Hybrid Cat-Transmon Architecture for Scalable, Hardware-Efficient Quantum Error Correction",2025,PRX Quantum,10.1103/75x7-5ysv
ahybriddynamicalsystemstheoryforleggedlocomotion,J,A Hybrid Dynamical Systems Theory for Legged Locomotion,2014,eScholarship (California Digital Library),
