key,families,title,year,venue,doi
10.1137/07070111x,A;B,Tensor Decompositions and Applications,2009,SIAM Review,10.1137/07070111x
10.1007/s00041-009-9094-9,A,A New Scheme for the Tensor Representation,2009,Journal of Fourier Analysis and Applications,10.1007/s00041-009-9094-9
10.1137/070688316,A,"A Newton–Grassmann Method for Computing the Best Multilinear Rank-$(r_1,$ $r_2,$ $r_3)$ Approximation of a Tensor",2009,SIAM Journal on Matrix Analysis and Applications,10.1137/070688316
10.1002/gamm.201310004,A,A literature survey of low‐rank tensor approximation techniques,2013,GAMM-Mitteilungen,10.1002/gamm.201310004
10.1080/03081080600743338,I,"Subspaces, angles and pairs of orthogonal projections",2006,Linear and Multilinear Algebra,10.1080/03081080600743338
10.1007/bf02551360,I,"Oblique projections: Formulas, algorithms, and error bounds",1989,Mathematics of Control Signals and Systems,10.1007/bf02551360
10.1098/rspa.2009.0202,K,The mother of all protocols: restructuring quantum information’s family tree,2009,Proceedings of the Royal Society A Mathematical Physical and Engineering Sciences,10.1098/rspa.2009.0202
10.1109/tit.2010.2053903,K,Entanglement-Assisted Communication of Classical and Quantum Information,2010,IEEE Transactions on Information Theory,10.1109/tit.2010.2053903
10.1145/2432622.2432625,K,"Testing Product States, Quantum Merlin-Arthur Games and Tensor Optimization",2013,Journal of the ACM,10.1145/2432622.2432625
10.1103/physrevb.90.064425,B,Algorithms for finite projected entangled pair states,2014,Physical Review B,10.1103/physrevb.90.064425
10.48550/arxiv.1801.02662,B,Tensor network ranks,2018,arXiv (Cornell University),10.48550/arxiv.1801.02662
10.22331/q-2024-12-27-1580,B,Approximate Contraction of Arbitrary Tensor Networks with a Flexible and Efficient Density Matrix Algorithm,2024,Quantum,10.22331/q-2024-12-27-1580
10.1137/090764189,A,Hierarchical Singular Value Decomposition of Tensors,2010,SIAM Journal on Matrix Analysis and Applications,10.1137/090764189
10.1063/5.0153870,A,Tree tensor network state approach for solving hierarchical equations of motion,2023,The Journal of Chemical Physics,10.1063/5.0153870
10.1137/23m1565103,A,A Parallel Rank-Adaptive Integrator for Dynamical Low-Rank Approximation,2024,SIAM Journal on Scientific Computing,10.1137/23m1565103
10.1002/qua.24898,A;M,Tensor product methods and entanglement optimization forab initioquantum chemistry,2015,International Journal of Quantum Chemistry,10.1002/qua.24898
10.1109/tcad.2014.2369505,A;B,Enabling High-Dimensional Hierarchical Uncertainty Quantification by ANOVA and Tensor-Train Decomposition,2014,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,10.1109/tcad.2014.2369505
10.2478/cmam-2011-0016,A;B,An Introduction to Hierarchical (H-) Rank and TT-Rank of Tensors with Examples,2011,Computational Methods in Applied Mathematics,10.2478/cmam-2011-0016
10.1103/physrevx.9.041017,G;L,A Universal Operator Growth Hypothesis,2019,Physical Review X,10.1103/physrevx.9.041017
10.1016/j.laa.2011.08.010,A,Black box approximation of tensors in hierarchical Tucker format,2011,Linear Algebra and its Applications,10.1016/j.laa.2011.08.010
10.1016/j.laa.2013.03.016,A,The geometry of algorithms using hierarchical tensors,2013,Linear Algebra and its Applications,10.1016/j.laa.2013.03.016
10.48550/arxiv.1509.05009,A,On the Expressive Power of Deep Learning: A Tensor Analysis,2015,arXiv (Cornell University),10.48550/arxiv.1509.05009
10.1002/nla.2174,A,Distributed hierarchical SVD in the Hierarchical Tucker format,2018,Numerical Linear Algebra with Applications,10.1002/nla.2174
10.48550/arxiv.1402.5649,A,Fast multidimensional convolution in low-rank formats via cross approximation,2014,arXiv (Cornell University),10.48550/arxiv.1402.5649
10.2478/cmam-2011-0015,A,Quantized-TT-Cayley Transform for Computing the Dynamics and the Spectrum of High-Dimensional Hamiltonians,2011,Computational Methods in Applied Mathematics,10.2478/cmam-2011-0015
10.1137/24m1687649,A,Error Analysis of the Gram Low-Rank Approximation (and Why it is Not as Unstable as One May Think),2025,SIAM Journal on Matrix Analysis and Applications,10.1137/24m1687649
tensorproductmethodsinnumericalsimulationofhighdimensionaldynamicalproblems,A,Tensor product methods in numerical simulation of high-dimensional dynamical problems,2014,Qucosa (Saxon State and University Library Dresden),
10.1002/nla.2158,A,On compact vector formats in the solution of the chemical master equation with backward differentiation,2018,Numerical Linear Algebra with Applications,10.1002/nla.2158
10.1371/journal.pcbi.1003359,A,Direct Solution of the Chemical Master Equation Using Quantized Tensor Trains,2014,PLoS Computational Biology,10.1371/journal.pcbi.1003359
10.48550/arxiv.1901.10719,A,Proper orthogonal decomposition (POD) combined with hierarchical tensor\n approximation (HTA) in the context of uncertain parameters,2019,arXiv (Cornell University),10.48550/arxiv.1901.10719
10.21468/scipostphys.8.2.024,A,Time dependent variational principle for tree Tensor Networks,2020,SciPost Physics,10.21468/scipostphys.8.2.024
10.21468/scipostphys.9.5.070,A,Studying dynamics in two-dimensional quantum lattices using tree tensor network states,2020,SciPost Physics,10.21468/scipostphys.9.5.070
10.1103/physrevb.105.214201,A,Adaptive-weighted tree tensor networks for disordered quantum many-body systems,2022,Physical review. B./Physical review. B,10.1103/physrevb.105.214201
10.1063/5.0218773,A,Optimal tree tensor network operators for tensor network simulations: Applications to open quantum systems,2024,The Journal of Chemical Physics,10.1063/5.0218773
10.1103/physreva.109.022420,A,Numerical simulation of long-range open quantum many-body dynamics with tree tensor networks,2024,Physical Review A,10.1103/physreva.109.022420
10.1103/physrevx.10.041040,A,Two-Dimensional Quantum-Link Lattice Quantum Electrodynamics at Finite Density,2020,Physical Review X,10.1103/physrevx.10.041040
10.1038/s41534-021-00443-w,A,Quantum-inspired machine learning on high-energy physics data,2021,Padua Research Archive (University of Padova),10.1038/s41534-021-00443-w
10.1103/8993-8xn5,A,Optimal symbolic construction of matrix product operators and tree tensor network operators,2025,Physical review. B./Physical review. B,10.1103/8993-8xn5
10.48550/arxiv.2410.03572,A,Compressing multivariate functions with tree tensor networks,2024,arXiv (Cornell University),10.48550/arxiv.2410.03572
10.48550/arxiv.2407.13249,A,PyTreeNet: A Python Library for easy Utilisation of Tree Tensor Networks,2024,arXiv (Cornell University),10.48550/arxiv.2407.13249
10.1016/j.jco.2013.10.001,A,Approximation rates for the hierarchical tensor format in periodic Sobolev spaces,2013,Journal of Complexity,10.1016/j.jco.2013.10.001
10.1017/s0962492911000055,A,Sparse tensor discretizations of high-dimensional parametric and stochastic PDEs,2011,Acta Numerica,10.1017/s0962492911000055
10.1137/21m1402170,A,Pricing High-Dimensional Bermudan Options with Hierarchical Tensor Formats,2023,SIAM Journal on Financial Mathematics,10.1137/21m1402170
10.1515/rnam-2013-0009,A,TT-GMRES: solution to a linear system in the structured tensor format,2013,Russian Journal of Numerical Analysis and Mathematical Modelling,10.1515/rnam-2013-0009
10.1137/17m1138881,A,A Hybrid Alternating Least Squares--TT-Cross Algorithm for Parametric PDEs,2019,SIAM/ASA Journal on Uncertainty Quantification,10.1137/17m1138881
10.2478/cmam-2011-0020,A,Preconditioned Low-Rank Methods for High-Dimensional Elliptic PDE Eigenvalue Problems,2011,Computational Methods in Applied Mathematics,10.2478/cmam-2011-0020
10.1093/imanum/drx052,A,Parametric PDEs: sparse or low-rank approximations?,2017,IMA Journal of Numerical Analysis,10.1093/imanum/drx052
10.48550/arxiv.2501.04157,A,Automatic partitioning for the low-rank integration of stochastic Boolean reaction networks,2025,arXiv (Cornell University),10.48550/arxiv.2501.04157
treetensornetworksinquantumchemistry,A,Tree tensor networks in quantum chemistry,2020,Ghent University Academic Bibliography (Ghent University),
10.48550/arxiv.2609.07319,A,Symmetry-resolved tree tensor network analysis of Bell-state discrimination with ancilla-assisted passive linear optics,2026,arXiv (Cornell University),10.48550/arxiv.2609.07319
10.3389/fams.2022.838601,A,ExaTN: Scalable GPU-Accelerated High-Performance Processing of General Tensor Networks at Exascale,2022,Frontiers in Applied Mathematics and Statistics,10.3389/fams.2022.838601
10.1007/s10915-025-03078-7,A,Automatic Partitioning for the Low-Rank Integration of Stochastic Boolean Reaction Networks,2025,Journal of Scientific Computing,10.1007/s10915-025-03078-7
simulatingnonmarkovianopenquantumdynamicsbyexploitingphysicsinformedneuralnetwork,A,Simulating non-Markovian open quantum dynamics by exploiting physics-informed neural network,2026,arXiv (Cornell University),
10.21468/scipostphys.19.4.111,B,Mutual multilinearity of nonequilibrium network currents,2025,SciPost Physics,10.21468/scipostphys.19.4.111
10.4007/annals.2003.158.635,B,Hochschild cohomology of factors with property Γ,2003,Annals of Mathematics,10.4007/annals.2003.158.635
10.48550/arxiv.1904.00808,B,Cheeger's differentiation theorem via the multilinear Kakeya inequality,2019,arXiv (Cornell University),10.48550/arxiv.1904.00808
10.1186/s13677-023-00586-5,B,Cloud-SMPC: two-round multilinear maps secure multiparty computation based on LWE assumption,2024,Journal of Cloud Computing Advances Systems and Applications,10.1186/s13677-023-00586-5
10.4208/cicp.oa-2017-0257,B,Recursive POD Expansion for the Advection-Diffusion-Reaction Equation,2018,Communications in Computational Physics,10.4208/cicp.oa-2017-0257
10.48550/arxiv.1706.05341,B,Taylor Expansions of the Value Function Associated with a Bilinear\n Optimal Control Problem,2017,arXiv (Cornell University),10.48550/arxiv.1706.05341
10.1214/14-aop919,B,On a functional contraction method,2015,The Annals of Probability,10.1214/14-aop919
10.48550/arxiv.1806.04553,B,Quantum Probability Estimation for Randomness with Quantum Side Information,2018,arXiv (Cornell University),10.48550/arxiv.1806.04553
10.1007/978-3-031-48621-0_14,B,Multilinear Schwartz-Zippel Mod N and Lattice-Based Succinct Arguments,2023,Lecture notes in computer science,10.1007/978-3-031-48621-0_14
10.48550/arxiv.1311.1616,B,Hardness Amplification and the Approximate Degree of Constant-Depth Circuits,2013,arXiv (Cornell University),10.48550/arxiv.1311.1616
10.5194/acp-19-11235-2019,B,Exploiting multi-wavelength aerosol absorption coefficients in a multi-time resolution source apportionment study to retrieve source-dependent absorption parameters,2019,Atmospheric chemistry and physics,10.5194/acp-19-11235-2019
10.1088/1475-7516/2004/08/009,C,The shape of non-Gaussianities,2004,Journal of Cosmology and Astroparticle Physics,10.1088/1475-7516/2004/08/009
10.1016/s0022-1236(03)00218-0,D,"Multilinear estimates for periodic KdV equations, and applications",2003,Journal of Functional Analysis,10.1016/s0022-1236(03)00218-0
10.1007/bf02392554,D,Polynomial growth estimates for multilinear singular integral operators,1987,Acta Mathematica,10.1007/bf02392554
10.1007/s00208-019-01816-5,D,Quantitative estimates and extrapolation for multilinear weight classes,2019,Mathematische Annalen,10.1007/s00208-019-01816-5
10.2989/16073606.2011.640459,D,Absolutely summing multilinear operators: a panorama,2011,Quaestiones Mathematicae,10.2989/16073606.2011.640459
10.4171/jems/458,D,Quantum expanders and geometry of operator spaces,2014,Journal of the European Mathematical Society,10.4171/jems/458
vectorvaluedbohnenblusthilleinequalities,D,Vector valued Bohnenblust-Hille inequalities,2013,Carl von Ossiezky University of Oldenburg,
10.48550/arxiv.1311.6747,D,Multilinear Embedding and Hardy's Inequality,2013,arXiv (Cornell University),10.48550/arxiv.1311.6747
10.4171/jems/1229,D,Multilinear duality and factorisation for Brascamp–Lieb-type inequalities,2022,Journal of the European Mathematical Society,10.4171/jems/1229
10.1215/20088752-2018-0026,D,On summability of multilinear operators and applications,2018,Annals of Functional Analysis,10.1215/20088752-2018-0026
10.48550/arxiv.1809.02449,D,Multilinear Duality and Factorisation for Brascamp-Lieb-type Inequalities with applications,2018,arXiv (Cornell University),10.48550/arxiv.1809.02449
10.1016/j.jfa.2015.07.001,D,Absolutely summing multilinear operators via interpolation,2015,Journal of Functional Analysis,10.1016/j.jfa.2015.07.001
10.48550/arxiv.1311.3177,D,Optimal Hardy-Littlewood type inequalities for polynomials and multilinear operators,2013,arXiv (Cornell University),10.48550/arxiv.1311.3177
10.1137/120867172,D,Total Generalized Variation in Diffusion Tensor Imaging,2013,SIAM Journal on Imaging Sciences,10.1137/120867172
10.48550/arxiv.1104.4879,D,Metrics with cone singularities along normal crossing divisors and\n holomorphic tensor fields,2011,arXiv (Cornell University),10.48550/arxiv.1104.4879
10.1007/s11511-006-0006-4,D,On the multilinear restriction and Kakeya conjectures,2006,Acta Mathematica,10.1007/s11511-006-0006-4
10.1016/j.jmaa.2009.04.021,D,Multilinear extrapolation and applications to the bilinear Hilbert transform,2009,Journal of Mathematical Analysis and Applications,10.1016/j.jmaa.2009.04.021
10.1090/s0002-9939-2010-10656-1,D,On multilinear determinant functionals,2010,Proceedings of the American Mathematical Society,10.1090/s0002-9939-2010-10656-1
10.1090/s0002-9939-04-07565-3,D,A multilinear generalisation of the Cauchy-Schwarz inequality,2004,Proceedings of the American Mathematical Society,10.1090/s0002-9939-04-07565-3
10.1007/s10240-003-0016-0,D,Determinantal probability measures,2003,Publications mathématiques de l IHÉS,10.1007/s10240-003-0016-0
10.1103/prxquantum.5.010314,E,Operational Metric for Quantum Chaos and the Corresponding Spatiotemporal-Entanglement Structure,2024,PRX Quantum,10.1103/prxquantum.5.010314
10.1007/s00023-023-01358-2,E,Random Tensor Networks with Non-trivial Links,2023,Annales Henri Poincaré,10.1007/s00023-023-01358-2
10.1088/1367-2630/12/12/123004,E,Linking a distance measure of entanglement to its convex roof,2010,New Journal of Physics,10.1088/1367-2630/12/12/123004
10.1007/jhep04(2015)163,E,Bulk locality and quantum error correction in AdS/CFT,2015,Journal of High Energy Physics,10.1007/jhep04(2015)163
10.48550/arxiv.1710.03663,E,Colored discrete spaces: higher dimensional combinatorial maps and quantum gravity,2017,arXiv (Cornell University),10.48550/arxiv.1710.03663
10.1016/j.cma.2019.112762,E,Sensitivity analysis of a strongly-coupled human-based electromechanical cardiac model: Effect of mechanical parameters on physiologically relevant biomarkers,2019,Computer Methods in Applied Mechanics and Engineering,10.1016/j.cma.2019.112762
10.1088/2058-9565/aaea94,F,Towards quantum machine learning with tensor networks,2018,Quantum Science and Technology,10.1088/2058-9565/aaea94
10.1007/jhep06(2015)149,F,Holographic quantum error-correcting codes: toy models for the bulk/boundary correspondence,2015,Journal of High Energy Physics,10.1007/jhep06(2015)149
10.48550/arxiv.2201.11729,F,Implicit Regularization in Hierarchical Tensor Factorization and Deep Convolutional Neural Networks,2022,arXiv (Cornell University),10.48550/arxiv.2201.11729
10.1214/aoap/1034968224,G,Logarithmic Sobolev inequalities for finite Markov chains,1996,The Annals of Applied Probability,10.1214/aoap/1034968224
10.48550/arxiv.1510.00504,G,Stable recovery of low-dimensional cones in Hilbert spaces: One RIP to\n rule them all,2015,arXiv (Cornell University),10.48550/arxiv.1510.00504
10.4007/annals.2013.177.1.1,G,Moser-Trudinger and Beckner-Onofri's inequalities on the CR sphere,2012,Annals of Mathematics,10.4007/annals.2013.177.1.1
10.1090/s0002-9947-03-03389-0,G,A unified approach to improved $L^p$ Hardy inequalities with best constants,2003,Transactions of the American Mathematical Society,10.1090/s0002-9947-03-03389-0
10.1109/access.2020.3002270,G,LinCos-Softmax: Learning Angle-Discriminative Face Representations With Linearity-Enhanced Cosine Logits,2020,IEEE Access,10.1109/access.2020.3002270
10.1002/hipo.22488,I,Hippocampal sharp wave‐ripple: A cognitive biomarker for episodic memory and planning,2015,Hippocampus,10.1002/hipo.22488
10.1523/jneurosci.15-01-00030.1995,I,Sharp wave-associated high-frequency oscillation (200 Hz) in the intact hippocampus: network and intracellular mechanisms,1995,Journal of Neuroscience,10.1523/jneurosci.15-01-00030.1995
10.1101/lm.73504,I,Hippocampal sharp wave bursts coincide with neocortical “up-state” transitions,2004,Learning & Memory,10.1101/lm.73504
10.1107/s1600576716008074,I,SHARP: a distributed GPU-based ptychographic solver,2016,Journal of Applied Crystallography,10.1107/s1600576716008074
10.48550/arxiv.1809.05858,I,The Method of Alternating Projections,2018,arXiv (Cornell University),10.48550/arxiv.1809.05858
10.1103/physrevx.9.031045,J,A Ten-Qubit Solid-State Spin Register with Quantum Memory up to One Minute,2019,Physical Review X,10.1103/physrevx.9.031045
10.1117/1.oe.61.8.081808,J,Visualizing quantum mechanics in an interactive simulation -- Virtual Lab by Quantum Flytrap,2022,arXiv (Cornell University),10.1117/1.oe.61.8.081808
10.1103/physrevx.14.021022,J,Testing the Quantumness of Gravity without Entanglement,2024,Physical Review X,10.1103/physrevx.14.021022
10.1088/1402-4896/ae7c3f,J,Hamiltonian simulation in Zeno subspaces,2026,Physica Scripta,10.1088/1402-4896/ae7c3f
10.1088/1367-2630/aa5cff,K,Rigidity of quantum steering and one-sided device-independent verifiable quantum computation,2017,New Journal of Physics,10.1088/1367-2630/aa5cff
10.1088/0034-4885/61/2/002,K,Quantum computing,1998,Reports on Progress in Physics,10.1088/0034-4885/61/2/002
10.1038/s41586-022-04891-y,K,A device-independent quantum key distribution system for distant users,2022,Nature,10.1038/s41586-022-04891-y
10.1086/424914,L,Response of Dark Matter Halos to Condensation of Baryons: Cosmological Simulations and Improved Adiabatic Contraction Model,2004,The Astrophysical Journal,10.1086/424914
10.1175/1520-0469(1999)056<1197:peaeca>2.0.co;2,L,"Polygonal Eyewalls, Asymmetric Eye Contraction, and Potential Vorticity Mixing in Hurricanes",1999,Journal of the Atmospheric Sciences,10.1175/1520-0469(1999)056<1197:peaeca>2.0.co;2
10.1007/s11207-014-0516-8,L,The Helioseismic and Magnetic Imager (HMI) Vector Magnetic Field Pipeline: Overview and Performance,2014,Solar Physics,10.1007/s11207-014-0516-8
10.1103/revmodphys.93.045003,A;L;M,"Matrix product states and projected entangled pair states: Concepts, symmetries, theorems",2021,Reviews of Modern Physics,10.1103/revmodphys.93.045003
overcomingthematrixproductstateencodingbarrierviadmrgguidedprobabilisticimaginarytimeevolution,M,Overcoming the Matrix-Product-State Encoding Barrier via DMRG-Guided Probabilistic Imaginary-Time Evolution,2026,arXiv (Cornell University),
10.48550/arxiv.2308.12358,M,An introduction to infinite projected entangled-pair state methods for variational ground state simulations using automatic differentiation,2023,arXiv (Cornell University),10.48550/arxiv.2308.12358
10.1103/physrevb.94.035133,M,Variational optimization with infinite projected entangled-pair states,2016,Physical review. B./Physical review. B,10.1103/physrevb.94.035133
10.48550/arxiv.2007.09827,N,Estimation for High-Dimensional Multi-Layer Generalized Linear Model -- Part II: The ML-GAMP Estimator,2020,arXiv (Cornell University),10.48550/arxiv.2007.09827
randomizedkaczmarzsolverfornoisylinearsystems,I,RANDOMIZED KACZMARZ SOLVER FOR NOISY LINEAR SYSTEMS,2009,,
10.1088/1367-2630/11/3/033003,J,Environment-assisted quantum transport,2009,New Journal of Physics,10.1088/1367-2630/11/3/033003
10.1103/physrevb.98.205136,J,Quantum Zeno effect and the many-body entanglement transition,2018,Physical review. B./Physical review. B,10.1103/physrevb.98.205136
10.1103/physrevb.100.134306,J,Measurement-driven entanglement transition in hybrid quantum circuits,2019,Physical review. B./Physical review. B,10.1103/physrevb.100.134306
environmentassistedquantumtransport,J,Environment-Assisted Quantum Transport,2008,Digital Access to Scholarship at Harvard (DASH) (Harvard University),
10.1103/physrevlett.100.090503,J,Protecting Entanglement via the Quantum Zeno Effect,2008,Physical Review Letters,10.1103/physrevlett.100.090503
10.1088/1751-8113/41/49/493001,J,Quantum Zeno dynamics: mathematical and physical aspects,2008,Journal of Physics A Mathematical and Theoretical,10.1088/1751-8113/41/49/493001
quantumzenodynamicsmathematicalandphysicalaspects,J,Quantum Zeno dynamics: mathematical and physical aspects,2012,,
10.1137/090748330,A,"Breaking the Curse of Dimensionality, Or How to Use SVD in Many Dimensions",2009,SIAM Journal on Scientific Computing,10.1137/090748330
10.1137/100818893,A;B,The Alternating Linear Scheme for Tensor Optimization in the Tensor Train Format,2012,SIAM Journal on Scientific Computing,10.1137/100818893
10.48550/arxiv.1403.2048,A,Era of Big Data Processing: A New Approach via Tensor Networks and Tensor Decompositions,2014,arXiv (Cornell University),10.48550/arxiv.1403.2048
10.1038/s41467-019-09039-7,A,Tensor network simulation of multi-environmental open quantum dynamics via machine learning and entanglement renormalisation,2019,Nature Communications,10.1038/s41467-019-09039-7
10.1007/s10208-016-9317-9,A,Tensor Networks and Hierarchical Tensors for the Solution of High-Dimensional Partial Differential Equations,2016,Foundations of Computational Mathematics,10.1007/s10208-016-9317-9
10.1007/s11425-012-4363-5,A,A projection method and Kronecker product preconditioner for solving Sylvester tensor equations,2012,Science China Mathematics,10.1007/s11425-012-4363-5
10.1007/s40314-023-02211-2,I,Low-rank nonnegative tensor approximation via alternating projections and sketching,2023,Computational and Applied Mathematics,10.1007/s40314-023-02211-2
10.1080/00018732.2021.1876991,M,Non-Hermitian physics,2020,Advances In Physics,10.1080/00018732.2021.1876991
10.1088/1751-8121/aa6dc3,M,Hand-waving and interpretive dance: an introductory course on tensor networks,2017,Journal of Physics A Mathematical and Theoretical,10.1088/1751-8121/aa6dc3
10.1103/physrevb.82.205105,M,Simulating strongly correlated quantum systems with tree tensor networks,2010,Physical Review B,10.1103/physrevb.82.205105
neuralnetworkquantumstatesstringbondstatesandchiraltopologicalstates,M,"Neural-Network Quantum States, String-Bond States, and Chiral Topological States",2018,Max Planck Digital Library,
10.1103/physrevlett.102.240603,M,Matrix Product States for Dynamical Simulation of Infinite Chains,2009,Physical Review Letters,10.1103/physrevlett.102.240603
10.1103/physreva.51.2738,K,Quantum coding,1995,Physical Review A,10.1103/physreva.51.2738
