key,families,title,year,venue,doi
10.1103/physrevlett.75.3537,M,Thermodynamic Limit of Density Matrix Renormalization,1995,Physical Review Letters,10.1103/physrevlett.75.3537
10.1103/physrev.150.321,M,One-Dimensional Chain of Anisotropic Spin-Spin Interactions. I. Proof of Bethe's Hypothesis for Ground State in a Finite System,1966,Physical Review,10.1103/physrev.150.321
10.1103/physrev.150.327,M,One-Dimensional Chain of Anisotropic Spin-Spin Interactions. II. Properties of the Ground-State Energy Per Lattice Site for an Infinite System,1966,Physical Review,10.1103/physrev.150.327
10.1023/b:joss.0000037230.37166.42,M,"Quantum Spin Chain, Toeplitz Determinants and the Fisher—Hartwig Conjecture",2004,Journal of Statistical Physics,10.1023/b:joss.0000037230.37166.42
10.1007/s00220-004-1087-6,M,Randomizing Quantum States: Constructions and Applications,2004,Communications in Mathematical Physics,10.1007/s00220-004-1087-6
10.1103/physrevlett.94.140601,M,Renormalization-Group Transformations on Quantum States,2005,Physical Review Letters,10.1103/physrevlett.94.140601
10.1103/physrevlett.93.140402,M,Locality in Quantum and Markov Dynamics on Lattices and Networks,2004,Physical Review Letters,10.1103/physrevlett.93.140402
10.1088/0305-4470/24/16/012,M,Equivalence and solution of anisotropic spin-1 models and generalized t-J fermion models in one dimension,1991,Journal of Physics A Mathematical and General,10.1088/0305-4470/24/16/012
10.1209/epl/i1998-00381-x,M,Equivalence of the variational matrix product method and the density matrix renormalization group applied to spin chains,1998,Europhysics Letters (EPL),10.1209/epl/i1998-00381-x
10.1002/(sici)1521-3889(199902)8:2<153::aid-andp153>3.0.co;2-n,M,Density-matrix spectra for integrable models,1999,Annalen der Physik,10.1002/(sici)1521-3889(199902)8:2<153::aid-andp153>3.0.co;2-n
10.1007/bf00399761,M,An application of Bell's inequalities to a quantum state extension problem,1989,Letters in Mathematical Physics,10.1007/bf00399761
10.1063/1.1712500,M,New Frontiers in Quantum Information With Atoms and Ions,2004,Physics Today,10.1063/1.1712500
10.1016/j.physleta.2003.12.018,M,Concurrence in the two-dimensional XXZ- and transverse field Ising-models,2003,Physics Letters A,10.1016/j.physleta.2003.12.018
10.1007/bf00406552,M,Abundance of translation invariant pure states on quantum spin chains,1992,Letters in Mathematical Physics,10.1007/bf00406552
10.1103/physreva.69.042320,M,Adiabatic time evolution in spin systems,2004,Physical Review A,10.1103/physreva.69.042320
10.1103/physrevb.64.214411,M,Exact diagonalization and quantum Monte Carlo study of the spin- 12 XXZ model on the square lattice,2001,"Physical review. B, Condensed matter",10.1103/physrevb.64.214411
10.1007/978-3-540-73086-6_12,M,The On-Line Encyclopedia of Integer Sequences,2007,Lecture notes in computer science,10.1007/978-3-540-73086-6_12
10.1016/j.aop.2010.09.012,A;M,The density-matrix renormalization group in the age of matrix product states,2010,Annals of Physics,10.1016/j.aop.2010.09.012
10.1080/00018730701223200,M,Ultracold atomic gases in optical lattices: mimicking condensed matter physics and beyond,2007,Advances In Physics,10.1080/00018730701223200
10.1103/revmodphys.89.025003,M,Quantum spin liquid states,2017,Reviews of Modern Physics,10.1103/revmodphys.89.025003
10.1088/1367-2630/11/5/055049,M,"Cold and ultracold molecules: science, technology and applications",2009,New Journal of Physics,10.1088/1367-2630/11/5/055049
10.1038/nphys1157,M,Measurement-based quantum computation,2009,Nature Physics,10.1038/nphys1157
10.1088/1751-8113/40/46/r01,M,Nonequilibrium steady states of matrix-product form: a solver's guide,2007,Journal of Physics A Mathematical and Theoretical,10.1088/1751-8113/40/46/r01
10.1126/science.aav9105,M,Observation of a symmetry-protected topological phase of interacting bosons with Rydberg atoms,2019,Science,10.1126/science.aav9105
10.1103/physrevlett.100.030504,M,Entropy Scaling and Simulability by Matrix Product States,2008,Physical Review Letters,10.1103/physrevlett.100.030504
10.1080/00018730600766432,M,New trends in density matrix renormalization,2006,Advances In Physics,10.1080/00018730600766432
10.1103/physrevb.98.235155,M,Exact excited states of nonintegrable models,2018,Physical review. B./Physical review. B,10.1103/physrevb.98.235155
10.1016/j.aop.2010.05.008,M,PEPS as ground states: Degeneracy and topology,2010,Annals of Physics,10.1016/j.aop.2010.05.008
10.1103/physrevlett.104.190405,M,Continuous Matrix Product States for Quantum Fields,2010,Physical Review Letters,10.1103/physrevlett.104.190405
10.1103/physrevlett.100.167202,M,String Order and Symmetries in Quantum Spin Lattices,2008,Physical Review Letters,10.1103/physrevlett.100.167202
10.1103/physrevlett.98.110503,M,Quantum Computational Complexity of the N -Representability Problem: QMA Complete,2007,Physical Review Letters,10.1103/physrevlett.98.110503
10.1103/physrevlett.116.150504,M,Distribution of Quantum Coherence in Multipartite Systems,2016,Physical Review Letters,10.1103/physrevlett.116.150504
10.1016/j.nuclphysb.2017.10.012,M,What is an integrable quench?,2017,Nuclear Physics B,10.1016/j.nuclphysb.2017.10.012
10.1103/physrevlett.114.220601,M,Variational Matrix Product Operators for the Steady State of Dissipative Quantum Systems,2015,Physical Review Letters,10.1103/physrevlett.114.220601
quantumtheoryofopensystems,K,Quantum theory of open systems,1976,,
10.1109/18.651037,K,The capacity of the quantum channel with general signal states,1998,IEEE Transactions on Information Theory,10.1109/18.651037
10.1103/physreva.56.131,K,Sending classical information via noisy quantum channels,1997,Physical Review A,10.1103/physreva.56.131
10.1007/978-1-4612-6371-5,K,An Invitation to C*-Algebras,1976,Graduate texts in mathematics,10.1007/978-1-4612-6371-5
10.1103/physreva.54.1869,K,Classical information capacity of a quantum channel,1996,Physical Review A,10.1103/physreva.54.1869
10.1007/978-3-642-66822-7,K,Coding Theorems of Information Theory,1978,,10.1007/978-3-642-66822-7
10.1109/tit.1954.1057459,K,A new basic theorem of information theory,1954,Transactions of the IRE Professional Group on Information Theory,10.1109/tit.1954.1057459
10.1109/18.796386,K,Strong converse to the quantum channel coding theorem,1999,IEEE Transactions on Information Theory,10.1109/18.796386
10.1007/978-3-662-00237-7,K,Coding Theorems of Information Theory,1964,,10.1007/978-3-662-00237-7
10.1016/0034-4877(77)90010-6,K,Problems in the mathematical theory of quantum communication channels,1977,Reports on Mathematical Physics,10.1016/0034-4877(77)90010-6
10.1109/isit.1998.708669,K,Coding theorems for quantum communication channels,2002,,10.1109/isit.1998.708669
10.1109/18.669165,K,Operational capacity and pseudoclassicality of a quantum channel,1998,IEEE Transactions on Information Theory,10.1109/18.669165
10.48550/arxiv.quant-ph/9809023,K,Coding Theorems for Quantum Channels,1998,arXiv (Cornell University),10.48550/arxiv.quant-ph/9809023
10.48550/arxiv.quant-ph/9907077,K,Coding Theorems of Quantum Information Theory,1999,arXiv (Cornell University),10.48550/arxiv.quant-ph/9907077
10.48550/arxiv.quant-ph/9705054,K,On Quantum Communication Channels with Constrained Inputs,1997,arXiv (Cornell University),10.48550/arxiv.quant-ph/9705054
10.48550/arxiv.quant-ph/9807008,K,Languages of Quantum Information Theory,1998,arXiv (Cornell University),10.48550/arxiv.quant-ph/9807008
10.1007/978-3-662-04209-0,K,The Physics of Quantum Information,2000,,10.1007/978-3-662-04209-0
10.1017/9781316848142,K,The Theory of Quantum Information,2018,Cambridge University Press eBooks,10.1017/9781316848142
10.1103/physreva.72.032317,K,"Quantum, classical, and total amount of correlations in a quantum state",2005,Physical Review A,10.1103/physreva.72.032317
10.1007/s00220-005-1317-6,K,The Capacity of a Quantum Channel for Simultaneous Transmission of Classical and Quantum Information,2005,Communications in Mathematical Physics,10.1007/s00220-005-1317-6
10.1109/18.985947,K,Strong converse for identification via quantum channels,2002,IEEE Transactions on Information Theory,10.1109/18.985947
10.1109/tit.2003.813556,E;K,General formulas for capacity of classical-quantum channels,2003,IEEE Transactions on Information Theory,10.1109/tit.2003.813556
10.1088/1367-2630/18/2/023045,K,The extraction of work from quantum coherence,2016,New Journal of Physics,10.1088/1367-2630/18/2/023045
10.3929/ethz-a-005115027,K,Security of quantum key distribution,2005,Repository for Publications and Research Data (ETH Zurich),10.3929/ethz-a-005115027
10.1007/s00220-006-0118-x,K,Quantum State Merging and Negative Information,2006,Communications in Mathematical Physics,10.1007/s00220-006-0118-x
10.1017/9781316809976.001,K,Preface to the Second Edition,2016,Cambridge University Press eBooks,10.1017/9781316809976.001
10.1109/tit.2009.2039166,E;K,The Quantum Capacity of Channels With Arbitrarily Correlated Noise,2010,IEEE Transactions on Information Theory,10.1109/tit.2009.2039166
10.1088/1367-2630/12/5/055020,K,A quantum central limit theorem for non-equilibrium systems: exact local relaxation of correlated states,2010,New Journal of Physics,10.1088/1367-2630/12/5/055020
10.1007/s11122-005-0002-x,K,Quantum privacy and quantum wiretap channels,2004,Problems of Information Transmission,10.1007/s11122-005-0002-x
10.1038/ncomms8908,K,Generic emergence of classical features in quantum Darwinism,2015,Nature Communications,10.1038/ncomms8908
10.1109/tit.2008.924665,K,Capacity theorems for quantum multiple-access channels: classical-quantum and quantum-quantum capacity regions,2008,IEEE Transactions on Information Theory,10.1109/tit.2008.924665
10.1103/physreva.68.042301,K,Classical data compression with quantum side information,2003,Physical Review A,10.1103/physreva.68.042301
10.1103/physrevlett.110.080501,K,Fundamental Bound on the Reliability of Quantum Information Transmission,2013,Physical Review Letters,10.1103/physrevlett.110.080501
10.1109/tit.2007.896874,K,Making Good Codes for Classical-Quantum Channel Coding via Quantum Hypothesis Testing,2007,IEEE Transactions on Information Theory,10.1109/tit.2007.896874
10.1007/s00220-017-2928-4,K,Strong Converse Exponent for Classical-Quantum Channel Coding,2017,Communications in Mathematical Physics,10.1007/s00220-017-2928-4
10.1119/1.1463744,E,Quantum Computation and Quantum Information,2002,American Journal of Physics,10.1119/1.1463744
10.1145/505482.505499,E,Quantum computation and quantum information,2001,ACM SIGSOFT Software Engineering Notes,10.1145/505482.505499
10.1007/978-3-662-12066-8,E,Information-Spectrum Methods in Information Theory,2003,Applications of mathematics,10.1007/978-3-662-12066-8
10.1103/physreva.71.062310,E,Distance measures to compare real and ideal quantum processes,2005,Physical Review A,10.1103/physreva.71.062310
informationspectrummethodsininformationtheory,E,Information-Spectrum Methods in Information Theory,2002,Medical Entomology and Zoology,
10.1109/tit.2009.2032797,E,A Fully Quantum Asymptotic Equipartition Property,2009,IEEE Transactions on Information Theory,10.1109/tit.2009.2032797
10.1109/tit.2006.889463,E,An Information-Spectrum Approach to Classical and Quantum Hypothesis Testing for Simple Hypotheses,2007,IEEE Transactions on Information Theory,10.1109/tit.2006.889463
10.1109/tit.2009.2018340,E,Smooth Entropies and the Quantum Information Spectrum,2009,IEEE Transactions on Information Theory,10.1109/tit.2009.2018340
10.1002/andp.19854970419,E,The Transition Probability for States of *‐Algebras,1985,Annalen der Physik,10.1002/andp.19854970419
10.48550/arxiv.0912.4495,E,Single-shot Quantum State Merging,2009,arXiv (Cornell University),10.48550/arxiv.0912.4495
10.48550/arxiv.quant-ph/0602112,E,Sine distance for quantum states,2006,arXiv (Cornell University),10.48550/arxiv.quant-ph/0602112
10.1103/revmodphys.91.025001,E,Quantum resource theories,2019,Reviews of Modern Physics,10.1103/revmodphys.91.025001
10.1080/00107514.2016.1201896,E,Quantum thermodynamics,2016,Contemporary Physics,10.1080/00107514.2016.1201896
10.1038/nphys1734,E,The uncertainty principle in the presence of quantum memory,2010,Nature Physics,10.1038/nphys1734
10.1103/physreva.85.010301,E,"One-sided device-independent quantum key distribution: Security, feasibility, and the connection with steering",2012,Physical Review A,10.1103/physreva.85.010301
10.1038/ncomms1631,E,Tight finite-key analysis for quantum cryptography,2012,Nature Communications,10.1038/ncomms1631
10.1103/physrevlett.106.110506,E,Uncertainty Relation for Smooth Entropies,2011,Physical Review Letters,10.1103/physrevlett.106.110506
10.1038/ncomms4732,E,Finite-key analysis for measurement-device-independent quantum key distribution,2014,Nature Communications,10.1038/ncomms4732
10.1007/978-3-319-21891-5,E,Quantum Information Processing with Finite Resources,2015,SpringerBriefs in mathematical physics,10.1007/978-3-319-21891-5
10.1109/tit.2011.2158473,E,Leftover Hashing Against Quantum Side Information,2011,IEEE Transactions on Information Theory,10.1109/tit.2011.2158473
10.1109/tit.2013.2276628,E,A Hierarchy of Information Quantities for Finite Block Length Analysis of Quantum Tasks,2013,IEEE Transactions on Information Theory,10.1109/tit.2013.2276628
10.1103/physrevlett.110.010503,E,Memory Attacks on Device-Independent Quantum Cryptography,2013,Physical Review Letters,10.1103/physrevlett.110.010503
ahierarchyofinformationquantitiesforfiniteblocklengthanalysisofquantumtasks,E,A hierarchy of information quantities for finite block length analysis of quantum tasks,2013,UTS ePRESS (University of Technology Sydney),
10.1137/100813683,E,Trevisan's Extractor in the Presence of Quantum Side Information,2012,SIAM Journal on Computing,10.1137/100813683
10.1038/s41567-020-01147-2,E,Device-independent randomness expansion against quantum side information,2021,Nature Physics,10.1038/s41567-020-01147-2
10.1109/tit.2013.2238656,E,Chain Rules for Smooth Min- and Max-Entropies,2013,IEEE Transactions on Information Theory,10.1109/tit.2013.2238656
10.1145/2885493,E,Robust Protocols for Securely Expanding Randomness and Distributing Keys Using Untrusted Quantum Devices,2016,Journal of the ACM,10.1145/2885493
10.1103/physrevapplied.12.024061,E,Unconditional Security of Sending or Not Sending Twin-Field Quantum Key Distribution with Finite Pulses,2019,Physical Review Applied,10.1103/physrevapplied.12.024061
10.1007/978-3-662-45608-8_22,E,Composable Security of Delegated Quantum Computation,2014,Lecture notes in computer science,10.1007/978-3-662-45608-8_22
10.26421/qic12.5-6-4,E,An intuitive proof of the data processing inequality,2012,Quantum Information and Computation,10.26421/qic12.5-6-4
10.1145/2591796.2591843,E,Robust protocols for securely expanding randomness and distributing keys using untrusted quantum devices,2014,,10.1145/2591796.2591843
10.1103/physrevlett.126.050503,E,Experimental Realization of Device-Independent Quantum Randomness Expansion,2021,Physical Review Letters,10.1103/physrevlett.126.050503
10.1103/physrevlett.117.260601,E,Axiomatic Relation between Thermodynamic and Information-Theoretic Entropies,2016,Physical Review Letters,10.1103/physrevlett.117.260601
10.1007/bf02612715,I,Decomposition through formalization in a product space,1984,Mathematical Programming,10.1007/bf02612715
10.1007/bf01697972,I,Generalization of the Trotter-Lie formula,1981,Integral Equations and Operator Theory,10.1007/bf01697972
10.1016/j.jat.2010.05.002,I,Slow convergence of sequences of linear operators II: Arbitrarily slow convergence,2010,Journal of Approximation Theory,10.1016/j.jat.2010.05.002
10.1007/3-540-45949-9,H,Isabelle/HOL: A Proof Assistant for Higher-Order Logic,2002,"Digital Access to Libraries (Université catholique de Louvain (UCL), l'Université de Namur (UNamur) and the Université Saint-Louis (USL-B))",10.1007/3-540-45949-9
10.1007/3-540-55602-8_217,H,PVS: A prototype verification system,1992,Lecture notes in computer science,10.1007/3-540-55602-8_217
10.1007/978-3-662-07964-5,H,Interactive Theorem Proving and Program Development,2004,Texts in theoretical computer science,10.1007/978-3-662-07964-5
interactivetheoremprovingandprogramdevelopmentcoqartthecalculusofinductiveconstructions,H,Interactive theorem proving and program development. Coq'Art: The Calculus of inductive constructions.,2004,HAL (Le Centre pour la Communication Scientifique Directe),
implementingmathematicswiththenuprlproofdevelopmentsystem,H,Implementing Mathematics with The Nuprl Proof Development System,1986,,
10.1145/75277.75283,H,How to make ad-hoc polymorphism less ad hoc,1989,,10.1145/75277.75283
10.1007/bfb0092872,H,A categorical approach to probability theory,1982,Lecture notes in mathematics,10.1007/bfb0092872
10.1007/978-3-319-21401-6_26,H,The Lean Theorem Prover (System Description),2015,Lecture notes in computer science,10.1007/978-3-319-21401-6_26
10.1007/978-3-540-71067-7_6,H,A Brief Overview of HOL4,2008,Lecture notes in computer science,10.1007/978-3-540-71067-7_6
10.1007/978-3-540-73595-3_13,H,Efficient E-Matching for SMT Solvers,2007,Lecture notes in computer science,10.1007/978-3-540-73595-3_13
10.1007/978-3-319-20615-8_17,H,Mizar: State-of-the-art and Beyond,2015,Lecture notes in computer science,10.1007/978-3-319-20615-8_17
10.1007/978-3-642-03359-9_4,H,HOL Light: An Overview,2009,Lecture notes in computer science,10.1007/978-3-642-03359-9_4
10.1007/s10817-013-9278-5,H,Extending Sledgehammer with SMT Solvers,2013,Journal of Automated Reasoning,10.1007/s10817-013-9278-5
10.6092/issn.1972-5787/1980,H,Mizar in a Nutshell,2010,DOAJ (DOAJ: Directory of Open Access Journals),10.6092/issn.1972-5787/1980
10.1007/bfb0028402,H,Type classes and overloading in higher-order logic,1997,Lecture notes in computer science,10.1007/bfb0028402
10.1007/978-3-642-03359-9_23,H,Packaging Mathematical Structures,2009,Lecture notes in computer science,10.1007/978-3-642-03359-9_23
10.1007/s10817-012-9250-9,H,The HOL Light Theory of Euclidean Space,2012,Journal of Automated Reasoning,10.1007/s10817-012-9250-9
10.6092/issn.1972-5787/4593,H,Hammering towards QED,2014,Radboud Repository (Radboud University),10.6092/issn.1972-5787/4593
10.1007/978-1-4757-3188-0,H,Computer-Aided Reasoning,2000,Advances in formal methods,10.1007/978-1-4757-3188-0
10.1145/3110278,H,A metaprogramming framework for formal verification,2017,Proceedings of the ACM on Programming Languages,10.1145/3110278
computeraidedreasoningacl2casestudies,H,Computer-aided reasoning : ACL2 case studies,2000,Medical Entomology and Zoology,
10.1007/3-540-48256-3_11,H,Locales A Sectioning Concept for Isabelle,1999,Lecture notes in computer science,10.1007/3-540-48256-3_11
10.1007/11541868_7,H,Proving Equalities in a Commutative Ring Done Right in Coq,2005,Lecture notes in computer science,10.1007/11541868_7
10.1007/bfb0040259,H,Inductively defined types in the Calculus of Constructions,1990,Lecture notes in computer science,10.1007/bfb0040259
10.1007/s11786-014-0181-1,H,Coquelicot: A User-Friendly Library of Real Analysis for Coq,2014,Mathematics in Computer Science,10.1007/s11786-014-0181-1
10.6092/issn.1972-5787/1979,H,An introduction to small scale reflection in Coq,2010,,10.6092/issn.1972-5787/1979
10.1080/00029890.1986.11971923,H,Fourier's Method of Linear Programming and its Dual,1986,American Mathematical Monthly,10.1080/00029890.1986.11971923
10.1007/978-3-540-74464-1_11,H,Constructive Type Classes in Isabelle,2007,Lecture notes in computer science,10.1007/978-3-540-74464-1_11
10.1007/978-3-540-24849-1_3,H,Locales and Locale Expressions in Isabelle/Isar,2004,Lecture notes in computer science,10.1007/978-3-540-24849-1_3
10.1007/978-3-642-03359-9_8,H,Hints in Unification,2009,Lecture notes in computer science,10.1007/978-3-642-03359-9_8
10.1007/978-3-319-20615-8_1,H,Mining the Archive of Formal Proofs,2015,Lecture notes in computer science,10.1007/978-3-319-20615-8_1
10.15439/2016f520,H,On algebraic hierarchies in mathematical repository of Mizar,2016,Annals of Computer Science and Information Systems,10.15439/2016f520
10.1007/978-3-642-22863-6_10,H,"Point-Free, Set-Free Concrete Linear Algebra",2011,Lecture notes in computer science,10.1007/978-3-642-22863-6_10
10.1007/s11786-008-0053-7,H,"ATP-based Cross-Verification of Mizar Proofs: Method, Systems, and First Experiments",2008,Mathematics in Computer Science,10.1007/s11786-008-0053-7
10.1145/2854065.2854070,H,Towards a Mizar environment for Isabelle: foundations and language,2016,,10.1145/2854065.2854070
10.15439/2017f289,H,Progress in the Independent Certiﬁcation of Mizar Mathematical Library in Isabelle,2017,Annals of Computer Science and Information Systems,10.15439/2017f289
10.6092/issn.1972-5787/8124,H,Formalization Techniques for Asymptotic Reasoning in Classical Analysis,2018,HAL (Le Centre pour la Communication Scientifique Directe),10.6092/issn.1972-5787/8124
10.1007/978-3-319-40229-1_8,H,Congruence Closure in Intensional Type Theory,2016,Lecture notes in computer science,10.1007/978-3-319-40229-1_8
10.1007/978-3-319-14125-1_1,H,Formalization and Execution of Linear Algebra: From Theorems to Algorithms,2014,Lecture notes in computer science,10.1007/978-3-319-14125-1_1
10.1145/3293880.3294089,H,A formal proof of Hensel's lemma over the p-adic integers,2019,,10.1145/3293880.3294089
ranknullitytheoreminlinearalgebra,H,Rank-Nullity Theorem in Linear Algebra.,2013,,
10.1007/3-540-58156-1_17,H,A mechanically proof-checked encyclopedia of mathematics: Should we build one? Can we?,1994,Lecture notes in computer science,10.1007/3-540-58156-1_17
10.4204/eptcs.290.6,H,"Technologies for ""Complete, Transparent & Interactive Models of Math"" in Education",2019,Electronic Proceedings in Theoretical Computer Science,10.4204/eptcs.290.6
10.1145/3293880.3294093,H,Smooth manifolds and types to sets for linear algebra in Isabelle/HOL,2019,,10.1145/3293880.3294093
topologicalfoundationsforaformaltheoryofmanifolds,H,Topological Foundations for a Formal Theory of Manifolds.,2016,Conference on Information and Knowledge Management,
10.4007/annals.2017.185.1.8,H,On large subsets of $\mathbb{F}_q^n$ with no three-term arithmetic progression,2016,Annals of Mathematics,10.4007/annals.2017.185.1.8
10.4007/annals.2019.190.3.6,H,Induced subgraphs of hypercubes and a proof of the Sensitivity Conjecture,2019,Annals of Mathematics,10.4007/annals.2019.190.3.6
10.1145/3372885.3373830,H,Formalising perfectoid spaces,2020,,10.1145/3372885.3373830
10.5281/zenodo.7118596,H,Mathematical Components,2022,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.7118596
10.4230/lipics.itp.2019.31,H,Verified Decision Procedures for Modal Logics.,2019,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),10.4230/lipics.itp.2019.31
10.2307/2322281,H,Fourier's Method of Linear Programming and Its Dual,1986,American Mathematical Monthly,10.2307/2322281
10.1145/3412932.3412935,H,Counting immutable beans,2019,,10.1145/3412932.3412935
10.4230/lipics.itp.2019.15,H,Formalizing the solution to the cap set problem,2019,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),10.4230/lipics.itp.2019.15
10.1145/3372885.3373826,H,A formal proof of the independence of the continuum hypothesis,2020,,10.1145/3372885.3373826
10.4230/lipics.itp.2019.19,H,A Formalization of Forcing and the Unprovability of the Continuum Hypothesis,2019,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),10.4230/lipics.itp.2019.19
10.4230/lipics.itp.2019.12,H,Formalizing Computability Theory via Partial Recursive Functions,2019,DROPS (Schloss Dagstuhl – Leibniz Center for Informatics),10.4230/lipics.itp.2019.12
10.4230/lipics.itcs.2020.56,H,Induced subgraphs of hypercubes and a proof of the Sensitivity Conjecture,2019,arXiv (Cornell University),10.4230/lipics.itcs.2020.56
10.48550/arxiv.1908.05647,H,Counting Immutable Beans: Reference Counting Optimized for Purely Functional Programming,2019,arXiv (Cornell University),10.48550/arxiv.1908.05647
10.1007/978-3-030-79876-5_37,H,The Lean 4 Theorem Prover and Programming Language,2021,Lecture notes in computer science,10.1007/978-3-030-79876-5_37
10.48550/arxiv.2109.00110,H,MiniF2F: a cross-system benchmark for formal Olympiad-level mathematics,2021,arXiv (Cornell University),10.48550/arxiv.2109.00110
10.1007/978-3-030-51054-1_1,H,Competing Inheritance Paths in Dependent Type Theory: A Case Study in Functional Analysis,2020,Lecture notes in computer science,10.1007/978-3-030-51054-1_1
10.1145/3437992.3439922,H,Formalizing category theory in Agda,2021,,10.1145/3437992.3439922
10.1090/bull/1832,H,Mathematics and the formal turn,2024,Bulletin of the American Mathematical Society,10.1090/bull/1832
10.1007/978-3-030-53518-6_16,H,Maintaining a Library of Formal Mathematics,2020,Lecture notes in computer science,10.1007/978-3-030-53518-6_16
10.1007/978-3-031-57262-3_10,H,"Trocq: Proof Transfer for Free, With or Without Univalence",2024,Lecture notes in computer science,10.1007/978-3-031-57262-3_10
10.1609/aaai.v38i16.29722,H,Beyond Attention: Breaking the Limits of Transformer Context Length with Recurrent Memory,2024,Proceedings of the AAAI Conference on Artificial Intelligence,10.1609/aaai.v38i16.29722
10.1145/3437992.3439917,H,A formal proof of PAC learnability for decision stumps,2021,,10.1145/3437992.3439917
10.1007/s10270-022-01063-4,H,The ForeMoSt approach to building valid model-based safety arguments,2022,Software & Systems Modeling,10.1007/s10270-022-01063-4
10.1145/3497775.3503675,H,A verified algebraic representation of cairo program execution,2022,,10.1145/3497775.3503675
10.1080/10586458.2021.1983489,H,Schemes in Lean,2021,Experimental Mathematics,10.1080/10586458.2021.1983489
10.1090/bull/1839,H,Machine Learning and Information Theory Concepts towards an AI Mathematician,2024,Bulletin of the American Mathematical Society,10.1090/bull/1839
10.1090/bull/1831,H,Abstraction boundaries and spec driven development in pure mathematics,2024,Bulletin of the American Mathematical Society,10.1090/bull/1831
10.1145/3573105.3575688,H,Formalising the h-Principle and Sphere Eversion,2023,,10.1145/3573105.3575688
10.1007/978-3-031-43513-3_10,H,Machine-Learned Premise Selection for Lean,2023,Lecture notes in computer science,10.1007/978-3-031-43513-3_10
10.1145/3437992.3439919,H,Formalizing the ring of Witt vectors,2021,,10.1145/3437992.3439919
10.1007/978-3-031-98682-6_10,H,Lean-Auto: An Interface Between Lean 4 and Automated Theorem Provers,2025,Lecture notes in computer science,10.1007/978-3-031-98682-6_10
10.62056/angy4fe-3,H,Understanding binary-Goppa decoding,2024,IACR Communications in Cryptology,10.62056/angy4fe-3
10.1145/3573105.3575682,H,Formalized Class Group Computations and Integral Points on Mordell Elliptic Curves,2023,,10.1145/3573105.3575682
10.1007/s10817-022-09644-0,H,A Formalization of Dedekind Domains and Class Groups of Global Fields,2022,Journal of Automated Reasoning,10.1007/s10817-022-09644-0
10.1109/models50736.2021.00028,H,A Lean Approach to Building Valid Model-Based Safety Arguments,2021,,10.1109/models50736.2021.00028
10.1007/978-3-030-51054-1_8,H,Validating Mathematical Structures,2020,Lecture notes in computer science,10.1007/978-3-030-51054-1_8
10.1007/s00778-025-00922-y,H,DBSP: automatic incremental view maintenance for rich query languages,2025,The VLDB Journal,10.1007/s00778-025-00922-y
10.1109/icse55347.2025.00002,H,Towards Neural Synthesis for SMT-Assisted Proof-Oriented Programming,2025,,10.1109/icse55347.2025.00002
10.1145/3658644.3670322,H,zkPi: Proving Lean Theorems in Zero-Knowledge,2024,,10.1145/3658644.3670322
10.3233/com-220416,H,L2-Betti numbers and computability of reals,2023,Computability,10.3233/com-220416
10.1007/s10817-021-09611-1,H,A Bi-Directional Extensible Interface Between Lean and Mathematica,2022,Journal of Automated Reasoning,10.1007/s10817-021-09611-1
10.1007/978-3-031-16681-5_5,H,Formalising the Kruskal-Katona Theorem in Lean,2022,Lecture notes in computer science,10.1007/978-3-031-16681-5_5
10.1007/978-3-031-16681-5_1,H,A Formalization of the Change of Variables Formula for Integrals in mathlib,2022,Lecture notes in computer science,10.1007/978-3-031-16681-5_1
10.1007/978-3-031-17244-1_16,H,Theorem Proving for Maude Specifications Using Lean,2022,Lecture notes in computer science,10.1007/978-3-031-17244-1_16
10.1007/s10817-021-09593-0,H,Formalization of Ring Theory in PVS,2021,Journal of Automated Reasoning,10.1007/s10817-021-09593-0
10.1007/978-3-030-53518-6_4,H,Leveraging the Information Contained in Theory Presentations,2020,Lecture notes in computer science,10.1007/978-3-030-53518-6_4
10.1145/3776719,H,Foundational Multi-Modal Program Verifiers,2026,Proceedings of the ACM on Programming Languages,10.1145/3776719
10.1007/978-3-032-07021-0_4,H,Growing Mathlib: maintenance of a large scale mathematical library,2025,Lecture notes in computer science,10.1007/978-3-032-07021-0_4
10.1145/3607844,H,"Modularity, Code Specialization, and Zero-Cost Abstractions for Program Verification",2023,Proceedings of the ACM on Programming Languages,10.1145/3607844
10.1145/3573105.3575669,H,A Formalized Reduction of Keller’s Conjecture,2023,,10.1145/3573105.3575669
10.1145/3573105.3575675,H,A Formalization of Doob’s Martingale Convergence Theorems in mathlib,2023,,10.1145/3573105.3575675
10.1145/3497775.3503672,H,Formalising lie algebras,2022,,10.1145/3497775.3503672
10.1007/978-3-030-99461-7_4,H,Program Logic for Higher-Order Probabilistic Programs in Isabelle/HOL,2022,Lecture notes in computer science,10.1007/978-3-030-99461-7_4
10.1145/3807780,H,Vy ZX: Formal Verification of a Graphical Quantum Language,2026,ACM Transactions on Programming Languages and Systems,10.1145/3807780
10.1145/3776651,H,"Probabilistic Concurrent Reasoning in Outcome Logic: Independence, Conditioning, and Invariants",2026,Proceedings of the ACM on Programming Languages,10.1145/3776651
