key,score,families,title,year,authors,venue,doi,abstract
10.1353/ajm.2001.0035,6,D,"Multilinear weighted convolution of L 2 functions, and applications to nonlinear dispersive equations",2001,Terence Tao,American Journal of Mathematics,10.1353/ajm.2001.0035,"The X s,b spaces, as used by Beals, Bourgain, Kenig-Ponce-Vega, Klainerman-Machedon and others, are fundamental tools to study the low-regularity behavior of nonlinear dispersive equations. It is of particular interest to obtain bilinear or multilinear estimates involving these spaces. By Plancherel's theorem and duality, these estimates reduce to estimating a weighted convolution integral in terms of the L 2 norms of the component functions. In this paper we systematically study weighted convolution estimates on L 2 . As a consequence we obtain sharp bilinear estimates for the KdV, wave, and Schrödinger X s,b spaces."
10.1090/s0894-0347-03-00421-1,6,D,Sharp global well-posedness for KdV and modified KdV on ℝ and 𝕋,2003,J. Colliander; M. Keel; Gigliola Staffilani; Hideo Takaoka; Terence Tao,Journal of the American Mathematical Society,10.1090/s0894-0347-03-00421-1,"The initial value problems for the Korteweg-de Vries (KdV) and modified KdV (mKdV) equations under periodic and decaying boundary conditions are considered. These initial value problems are shown to be globally well-posed in all L 2 L^2 -based Sobolev spaces H s H^s where local well-posedness is presently known, apart from the H 1 4 ( R ) H^{\frac {1}{4}} (\mathbb {R} ) endpoint for mKdV and the H − 3 4 H^{-\frac {3}{4}} endpoint for KdV. The result for KdV relies on a new method for constructing almost conserved quantities using multilinear harmonic analysis and the available local-in-time theory. Miura’s transformation is used to show that global well-posedness of modified KdV is implied by global well-posedness of the standard KdV equation."
10.5802/aif.1125,6,D,Two problems of Calderón-Zygmund theory on product-spaces,1988,Jean-Lin Journé,Annales de l’institut Fourier,10.5802/aif.1125,"R. Fefferman has shown that, on a product-space with two factors, an operator T bounded on L 2 maps L ∞ into BMO of the product if the mean oscillation on a rectangle R of the image of a bounded function supported out of a multiple R’ of R, is dominated by C | R | s | R | - s , for some s > 0 . We show that this result does not extend in general to the case where E has three or more factors but remains true in this case if in addition T is a convolution operator, provided s > s 0 ( E ) . We also show that the Calderon-Coifman bicommutators, obtained from the Calderon commutators by multilinear tensor product, are bounded on L 2 with norms growing polynomially."
10.2307/2155203,6,D,"Sharp Inequalities, the Functional Determinant, and the Complementary Series",1995,Thomas Branson,Transactions of the American Mathematical Society,10.2307/2155203,"Results in the spectral theory of differential operators, and recent results on conformally covariant differential operators and on sharp inequalities, are combined in a study of functional determinants of natural differential operators. The setting is that of compact Riemannian manifolds. We concentrate especially on the conformally flat case, and obtain formulas in dimensions $2$, $4$, and $6$ for the functional determinants of operators which are well behaved under conformal change of metric. The two-dimensional formulas are due to Polyakov, and the four-dimensional formulas to Branson and Ørsted; the method is sufficiently streamlined here that we are able to present the sixdimensional case for the first time. In particular, we solve the extremal problems for the functional determinants of the conformal Laplacian and of the square of the Dirac operator on ${S^2}$, and in the standard conformal classes on ${S^4}$ and ${S^6}$. The ${S^2}$ results are due to Onofri, and the ${S^4}$ results to Branson, Chang, and Yang; the ${S^6}$ results are presented for the first time here. Recent results of Graham, Jenne, Mason, and Sparling on conformally covariant differential operators, and "
10.4171/rmi/665,6,D,A multilinear generalisation of the Hilbert transform and fractional integration,2012,Stefán Ingi Valdimarsson,Revista Matemática Iberoamericana,10.4171/rmi/665,"We study a multilinear analogue of the Hilbert transform. As can be expected, the finiteness of the form depends on cancellation properties in the kernel and care must be taken in the definition of the form. We show how to define the form in terms of distributions and prove L^p bounds for that form. In the second part, we study an analogous form on the level of fractional integration. This has been studied in one form by Drury. We note the L^p bounds for it and find the optimal constant for this bound in the case with the most symmetries. We also determine all functions which are optimisers for this inequality. Finally, we consider analogues of the fractional integration form in directions similar to those of Beckner’s approach for multilinear Hardy– Littlewood–Sobolev inequalities"
10.1088/1367-2630/ab31ef,6,A,Machine learning by unitary tensor network of hierarchical tree structure,2019,Ding Liu; Shi-Ju Ran; Peter Wittek; Cheng Peng; Raul Blázquez García; Gang Su,New Journal of Physics,10.1088/1367-2630/ab31ef,"Abstract The resemblance between the methods used in quantum-many body physics and in machine learning has drawn considerable attention. In particular, tensor networks (TNs) and deep learning architectures bear striking similarities to the extent that TNs can be used for machine learning. Previous results used one-dimensional TNs in image recognition, showing limited scalability and flexibilities. In this work, we train two-dimensional hierarchical TNs to solve image recognition problems, using a training algorithm derived from the multi-scale entanglement renormalization ansatz. This approach introduces mathematical connections among quantum many-body physics, quantum information theory, and machine learning. While keeping the TN unitary in the training phase, TN states are defined, which encode classes of images into quantum many-body states. We study the quantum features of the TN states, including quantum entanglement and fidelity. We find these quantities could be properties that characterize the image classes, as well as the machine learning tasks."
10.1103/revmodphys.82.277,6,M,Colloquium : Area laws for the entanglement entropy,2010,Jens Eisert; M. Cramer; Martin B. Plenio,Reviews of Modern Physics,10.1103/revmodphys.82.277,"Physical interactions in quantum many-body systems are typically local: Individual constituents interact mainly with their few nearest neighbors. This locality of interactions is inherited by a decay of correlation functions, but also reflected by scaling laws of a quite profound quantity: the entanglement entropy of ground states. This entropy of the reduced state of a subregion often merely grows like the boundary area of the subregion, and not like its volume, in sharp contrast with an expected extensive behavior. Such ``area laws'' for the entanglement entropy and related quantities have received considerable attention in recent years. They emerge in several seemingly unrelated fields, in the context of black hole physics, quantum information science, and quantum many-body physics where they have important implications on the numerical simulation of lattice models. In this Colloquium the current status of area laws in these fields is reviewed. Center stage is taken by rigorous results on lattice models in one and higher spatial dimensions. The differences and similarities between bosonic and fermionic models are stressed, area laws are related to the velocity of information pro"
10.1007/s00211-016-0819-9,6,A,On the interconnection between the higher-order singular values of real tensors,2016,Wolfgang Hackbusch; André Uschmajew,Numerische Mathematik,10.1007/s00211-016-0819-9,"A higher-order tensor allows several possible matricizations (reshapes into matrices). The simultaneous decay of singular values of such matricizations has crucial implications on the low-rank approximability of the tensor via higher-order singular value decomposition. It is therefore an interesting question which simultaneous properties the singular values of different tensor matricizations actually can have, but it has not received the deserved attention so far. In this paper, preliminary investigations in this direction are conducted. While it is clear that the singular values in different matricizations cannot be prescribed completely independent from each other, numerical experiments suggest that sufficiently small, but otherwise arbitrary perturbations preserve feasibility. An alternating projection heuristic is proposed for constructing tensors with prescribed singular values (assuming their feasibility). Regarding the related problem of characterising sets of tensors having the same singular values in specified matricizations, it is noted that orthogonal equivalence under multilinear matrix multiplication is a sufficient condition for two tensors to have the same singular v"
10.1109/ipdps.2016.67,5,A;B,Parallel Tensor Compression for Large-Scale Scientific Data,2016,W. W. Austin; Grey Ballard; Tamara G. Kolda,,10.1109/ipdps.2016.67,"As parallel computing trends towards the exascale, scientific data produced by high-fidelity simulations are growing increasingly massive. For instance, a simulation on a three-dimensional spatial grid with 512 points per dimension that tracks 64 variables per grid point for 128 time steps yields 8 TB of data, assuming double precision. By viewing the data as a dense five-way tensor, we can compute a Tucker decomposition to find inherent low-dimensional multilinear structure, achieving compression ratios of up to 5000 on real-world data sets with negligible loss in accuracy. So that we can operate on such massive data, we present the first-ever distributed-memory parallel implementation for the Tucker decomposition, whose key computations correspond to parallel linear algebra operations, albeit with nonstandard data layouts. Our approach specifies a data distribution for tensors that avoids any tensor data redistribution, either locally or in parallel. We provide accompanying analysis of the computation and communication costs of the algorithms. To demonstrate the compression and accuracy of the method, we apply our approach to real-world data sets from combustion science simulatio"
10.1007/jhep11%282019%29069,5,A;D,Beyond toy models: distilling tensor networks in full AdS/CFT,2023,Ning Bao,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),10.1007/jhep11%282019%29069,"We present a general procedure for constructing tensor networks that accurately reproduce holographic states in conformal field theories (CFTs). Given a state in a large-N CFT with a static, semiclassical gravitational dual, we build a tensor network by an iterative series of approximations that eliminate redundant degrees of freedom and minimize the bond dimensions of the resulting network. We argue that the bond dimensions of the tensor network will match the areas of the corresponding bulk surfaces. For “tree” tensor networks (i.e., those that are constructed by discretizing spacetime with nonintersecting Ryu-Takayanagi surfaces), our arguments can be made rigorous using a version of one-shot entanglement distillation in the CFT. Using the known quantum error correcting properties of AdS/CFT, we show that bulk legs can be added to the tensor networks to create holographic quantum error correcting codes. These codes behave similarly to previous holographic tensor network toy models, but describe actual bulk excitations in continuum AdS/CFT. By assuming some natural generalizations of the “holographic entanglement of purification” conjecture, we are able to construct tensor networ"
10.1007/jhep11(2019)069,5,A;D,Beyond toy models: distilling tensor networks in full AdS/CFT,2019,Ning Bao; Geoffrey Penington; Jonathan Sorce; Aron C. Wall,Journal of High Energy Physics,10.1007/jhep11(2019)069,"A bstract We present a general procedure for constructing tensor networks that accurately reproduce holographic states in conformal field theories (CFTs). Given a state in a large- N CFT with a static, semiclassical gravitational dual, we build a tensor network by an iterative series of approximations that eliminate redundant degrees of freedom and minimize the bond dimensions of the resulting network. We argue that the bond dimensions of the tensor network will match the areas of the corresponding bulk surfaces. For “tree” tensor networks (i.e., those that are constructed by discretizing spacetime with non­ intersecting Ryu-Takayanagi surfaces), our arguments can be made rigorous using a version of one-shot entanglement distillation in the CFT. Using the known quantum error correcting properties of AdS/CFT, we show that bulk legs can be added to the tensor networks to create holographic quantum error correcting codes. These codes behave similarly to previous holographic tensor network toy models, but describe actual bulk excitations in continuum AdS/CFT. By assuming some natural generalizations of the “holographic entanglement of purification” conjecture, we are able to construct "
10.1016/j.crma.2009.11.018,5,C;I,A generalization of the Friedrichs angle and the method of alternating projections,2009,Cătălin Badea; Sophie Grivaux; Vladimir Müller,Comptes Rendus Mathématique,10.1016/j.crma.2009.11.018,We present a generalization to an arbitrary number of subspaces of the cosine of the Friedrichs angle between two subspaces of a Hilbert space. This parameter is used to analyze the rate of convergence in the von Neumann–Halperin method of alternating projections.
10.1016/j.jmaa.2013.09.024,5,C;I,The numerical range and the spectrum of a product of two orthogonal projections,2013,Hubert Klaja,Journal of Mathematical Analysis and Applications,10.1016/j.jmaa.2013.09.024,"Let \(H\) be a separable complex Hilbert space. For a closed subspace \(M\) of \(H\), let \(P_M\) denote the orthogonal projection onto \(M\). The author describes \(\overline{W(P_{M_2}P_{M_1})}\), the closure of the numerical range of the product of two orthogonal projections, as a closed convex hull of the union of elliptical discs with foci at \(0\) and \(\lambda \in \sigma(P_{M_2}P_{M_1})\), and minor axis length \(\sqrt{\lambda(1-\lambda)}\). Under the additional assumption that the positive operator \(P_{M_1}P_{M_2}P_{M_1}\) is diagonalizable, the numerical range of \(P_{M_2}P_{M_1}\) (without the closure) is given as the convex hull of the union of the same ellipses as before, but this time parameterized by the point spectrum of \(P_{M_2}P_{M_1}\). The relationship between the numerical radius of a product of two orthogonal projections and its spectral radius is studied as well. The author also proves that \(W(P_{M_2}P_{M_1})\) is included in a sector with vertex at \(1\) and whose angular opening can be expressed by the cosine of the Friedrichs angle between the subspaces \(M_1\) and \(M_2\). Some other interesting results are presented. For instance, an inverse problem is "
10.48550/arxiv.1309.4709,5,C;I,The rate of linear convergence of the Douglas-Rachford algorithm for subspaces is the cosine of the Friedrichs angle,2013,Heinz H. Bauschke; Yunier Bello-Cruz; T. T. A. Nghia; Hung M. Phan; Xianfu Wang,arXiv (Cornell University),10.48550/arxiv.1309.4709,"The Douglas-Rachford splitting algorithm is a classical optimization method that has found many applications. When specialized to two normal cone operators, it yields an algorithm for finding a point in the intersection of two convex sets. This method for solving feasibility problems has attracted a lot of attention due to its good performance even in nonconvex settings. In this paper, we consider the Douglas-Rachford algorithm for finding a point in the intersection of two subspaces. We prove that the method converges strongly to the projection of the starting point onto the intersection. Moreover, if the sum of the two subspaces is closed, then the convergence is linear with the rate being the cosine of the Friedrichs angle between the subspaces. Our results improve upon existing results in three ways: First, we identify the location of the limit and thus reveal the method as a best approximation algorithm; second, we quantify the rate of convergence, and third, we carry out our analysis in general (possibly infinite-dimensional) Hilbert space. We also provide various examples as well as a comparison with the classical method of alternating projections."
