citation_key,key,doi,arxiv,openalex,title,year,authors,venue,families,origin,level_reached,threat_final,threat_L1,threat_L2,access,theorem_location,claims,verdict,cite_in_paper,bib_class,evidence_file,adjudication_note
zhang2020stability,adjudicated:zhang2020stability,,2001.01191,,On stability of tensor networks and canonical forms,2020,"Zhang, Y.; Solomonik, E.",,,adjudicated_only,L3,2,,,FULL_TEXT,,R1a;R11,"First-order (O(eps^2) remainder), network-dependent site-perturbation bounds; no finite-eta bound, no sharp constant, no tree-independence.",yes,closest_prior_art,theorem_comparisons/L3_zhang2020_tn_stability.md,
tomamichel2016quantum,10.1007/978-3-319-21891-5,10.1007/978-3-319-21891-5,,https://openalex.org/W3101663526,Quantum Information Processing with Finite Resources,2016,Marco Tomamichel,SpringerBriefs in mathematical physics,E,snowball,L3,2,1,,FULL_TEXT,,R6,Eq. (3.39) vector generalized fidelity; Prop. 3.16 triangle inequality.,yes,technique,theorem_comparisons/L3_tomamichel2010_generalized_fidelity.md,
ceruti2023rank,10.1137/22m1473790,10.1137/22M1473790,2201.10291,https://openalex.org/W4321481275,Rank-adaptive time integration of tree tensor networks,2023,Gianluca Ceruti; Christian Lubich; Dominik Sulz,SIAM Journal on Numerical Analysis,A,harvest,L3,2,2,,FULL_TEXT,,R1a;R3;R11,"Thm A.1: telescoping, tree-shape-independent, linear (d-1) bound for rank truncation; not sharp, no eta-dependence. Must be cited and distinguished.",yes,closest_prior_art,theorem_comparisons/L3_ceruti2023_ttn_rank_truncation.md,
ryu2022scaled,adjudicated:ryu2022scaled,10.1007/s10107-021-01639-w,1902.09788,,Scaled relative graphs: nonexpansive operators via 2D Euclidean geometry,2022,,,,adjudicated_only,L3,2,,,FULL_TEXT,,R6;R7,"Thm 7 'angles add, lengths multiply'; Facts 16-17 spherical triangle inequality and cardioid envelope for two projection-type factors; no lift, no trees, no eta constraint.",yes,technique,theorem_comparisons/L3_ryu2022_scaled_relative_graph.md,
bennett1997strengths,adjudicated:bennett1997strengths,10.1137/S0097539796300933,,,Strengths and weaknesses of quantum computing,1997,,,,adjudicated_only,L3,2,,,FULL_TEXT,,R6,Hybrid argument; telescoping scheme of Theorem D.,yes,technique,theorem_comparisons/L3_bennett1997_hybrid_argument_angles.md,
hackbusch2019tensor,10.1007/978-3-030-35554-8,10.1007/978-3-030-35554-8,,https://openalex.org/W4288938614,Tensor Spaces and Numerical Tensor Calculus,2019,Wolfgang Hackbusch,Springer series in computational mathematics,A,snowball,L2,2,3,2,ABSTRACT_ONLY,"Ch. 11 (hierarchical HOSVD truncation; 2nd-edition analogue of 1st-edition Thm 11.58, numbering not verified)",R9,Monograph; standard reference for hierarchical formats.,yes,foundational,level2_A.csv,
oseledets2011tensor,10.1137/090752286,10.1137/090752286,,https://openalex.org/W1993482030,Tensor-train decomposition,2011,Ivan Oseledets,SIAM Journal on Scientific Computing,A;B,snowball,L2,2,3,2,ABSTRACT_ONLY,Thm 2.2 (TT-SVD error sqrt(sum eps_k^2)); Cor 2.4 (sqrt(d-1) quasi-optimality),R9,TT format and rounding (sqrt(d-1) quasi-optimality).,yes,application_context,level2_A.csv,
xu2002method,10.1090/s0894-0347-02-00398-3,10.1090/S0894-0347-02-00398-3,,https://openalex.org/W1530115438,The method of alternating projections and the method of subspace corrections in Hilbert space,2002,Jinchao Xu; Ludmil Zikatanov,Journal of the American Mathematical Society,I,harvest+snowball,L2,2,3,2,ABSTRACT_ONLY,"Abstract (via OpenAlex): new identity for the norm of a product of nonexpansive operators (XZ identity), claimed sharpest estimate for MAP and subspace-correction rates; ams.org full text returned 403 to fetch tools, statement location not verified",R6,Sharp identity for the norm of a product of projections; different quantity; expected citation.,yes,foundational,level2_B1.csv,
bauschke2014rate,10.1016/j.jat.2014.06.002,10.1016/j.jat.2014.06.002,1309.4709,https://openalex.org/W2963899645,The rate of linear convergence of the Douglas-Rachford algorithm for subspaces is the cosine of the Friedrichs angle,2014,Heinz H. Bauschke; Yunier Bello-Cruz; T. T. A. Nghia; Hung M. Phan; Xianfu Wang,Journal of Approximation Theory,C;I,harvest+snowball,L2,2,3,2,FULL_TEXT,"Theorem 4.1 (||T^n-P_FixT||=c_F^n); Theorem 4.3 (shadow iterates); Sec. 5 Eqs. (39)-(40) T=cos(theta)R_theta for two lines; Sec. 7 comparison with MAP (read via arXiv:1309.4709v2, same content as JAT 185 (2014) 63-79)",R5;R7,For two lines at angle theta the DR operator is cos(theta) times rotation by theta: same planar factor cos(theta) e^{i theta}; different result.,yes,technique,level2_B1.csv,
hackbusch2021truncation,adjudicated:hackbusch2021truncation,10.1007/s40324-018-00184-5,,,Truncation of tensors in the hierarchical format,2021,,,,adjudicated_only,L2,2,,,,,R9,"Truncation error control in hierarchical format (non-sharp, representation truncation).",yes,closest_prior_art,level2_A.csv,
,10.1137/21m1463306,10.1137/21m1463306,,https://openalex.org/W4323656858,A Deterministic Kaczmarz Algorithm for Solving Linear Systems,2023,Changpeng Shao,SIAM Journal on Matrix Analysis and Applications,I,snowball,L1,2,2,,,,R1a,Kaczmarz-type products of projections,no,,,
,10.1007/s00041-009-9094-9,10.1007/s00041-009-9094-9,,https://openalex.org/W2088025933,A New Scheme for the Tensor Representation,2009,Wolfgang Hackbusch; Simone Kühn,Journal of Fourier Analysis and Applications,A,snowball,L1,2,2,,,,R9,tree/HT/TT format theory; no sharp accumulation result in title,no,,,
,10.1137/110836067,10.1137/110836067,,https://openalex.org/W2055913665,A New Truncation Strategy for the Higher-Order Singular Value Decomposition,2012,Nick Vannieuwenhoven; Raf Vandebril; Karl Meerbergen,SIAM Journal on Scientific Computing,A;F;M,harvest+snowball,L2,2,3,2,FULL_TEXT,Thm 5.1 (exact orthogonal Tucker truncation error); Thm 6.4 (ST-HOSVD error); Thm 6.5 (bound by d times best),R9,"ST-HOSVD gives exact Pythagorean error expressions for sequential orthogonal projections of one tensor and a non-sharp quasi-optimality factor; linear projections, no multilinear defects.",no,,screening/level2_A.csv,
,10.1007/s00041-009-9077-x,10.1007/s00041-009-9077-x,,https://openalex.org/W2083894543,A Note on the Behavior of the Randomized Kaczmarz Algorithm of Strohmer and Vershynin,2009,Yair Censor; Gábor T. Herman; Ming Jiang,Journal of Fourier Analysis and Applications,I,snowball,L1,2,2,,,,R1a,randomized Kaczmarz behavior,no,,,
,10.1137/24m1714502,10.1137/24m1714502,,https://openalex.org/W7118000766,A Parallel Basis Update and Galerkin Integrator for Tree Tensor Networks,2026,Gianluca Ceruti; Jonas Kusch; Christian Lubich; Dominik Sulz,SIAM Journal on Scientific Computing,A,snowball,L2,2,3,2,FULL_TEXT,"arXiv:2412.00858 Thm 3.1; Thm 4.3 (restates Ceruti-Lubich-Sulz Thm A.1, c = norm(C)(d-1)+1); Thm 4.5",R1a;R9,"Parallel BUG for Tucker/TTN with a robust error bound depending only on Lipschitz constant and bound of F; its rank-truncation part merely cites the already-known Ceruti-Lubich-Sulz Thm A.1, nothing sharp or new relative to R.",no,,screening/level2_A.csv,
,10.1137/23m1565103,10.1137/23m1565103,,https://openalex.org/W4396585880,A Parallel Rank-Adaptive Integrator for Dynamical Low-Rank Approximation,2024,Gianluca Ceruti; Jonas Kusch; Christian Lubich,SIAM Journal on Scientific Computing,A,snowball,L1,2,2,,,,R9;R10,TN integrator/contraction with projection or truncation error,no,,,
,10.3389/fams.2022.806549,10.3389/fams.2022.806549,,https://openalex.org/W4293075156,"A Practical Guide to the Numerical Implementation of Tensor Networks I: Contractions, Decompositions, and Gauge Freedom",2022,Glen Evenbly,Frontiers in Applied Mathematics and Statistics,B,snowball,L1,2,2,,,,R9,tensor network contractions and decompositions guide,no,,,
,10.1137/22m1519493,10.1137/22m1519493,,https://openalex.org/W4384828636,A Predictor-Corrector Strategy for Adaptivity in Dynamical Low-Rank Approximations,2023,Cory D. Hauck; Stefan Schnake,SIAM Journal on Matrix Analysis and Applications,A,snowball,L1,2,2,,,,R9,adaptive low-rank error control,no,,,
,10.1007/s00041-008-9030-4,10.1007/s00041-008-9030-4,,https://openalex.org/W2048305372,A Randomized Kaczmarz Algorithm with Exponential Convergence,2008,Thomas Strohmer; Roman Vershynin,Journal of Fourier Analysis and Applications,I,snowball,L1,2,2,,,,R6,projection-based iteration with exponential rate; randomized,no,,,
,10.1007/11830924_45,10.1007/11830924_45,,https://openalex.org/W1547069553,A Randomized Solver for Linear Systems with Exponential Convergence,2006,Thomas Strohmer; Roman Vershynin,Lecture notes in computer science,I,snowball,L1,2,2,,,,R1a,randomized Kaczmarz exponential convergence,no,,,
,10.1007/978-1-4612-5700-4,10.1007/978-1-4612-5700-4,,https://openalex.org/W66060913,A Short Introduction to Perturbation Theory for Linear Operators,1982,Tosio Kato,,I,snowball,L1,2,2,,,,R6,perturbation theory of linear operators (gaps/angles),no,,,
,10.3929/ethz-a-7356080,10.3929/ethz-a-7356080,,https://openalex.org/W2102440906,A framework for non-asymptotic quantum information theory,2012,Marco Tomamichel,Repository for Publications and Research Data (ETH Zurich),E,snowball,L1,2,2,,,,R6,"smooth entropies, purified distance",no,,,
,10.1016/j.crma.2009.11.018,10.1016/j.crma.2009.11.018,,https://openalex.org/W2037072100,A generalization of the Friedrichs angle and the method of alternating projections,2009,Cătălin Badea; Sophie Grivaux; Vladimir Müller,Comptes Rendus Mathématique,C;I,harvest+snowball,L1,2,2,,,,R6,Generalized Friedrichs angle for several subspaces to analyze alternating projection rates; angle technique without comparable sharp theorem,no,,,
,10.1002/gamm.201310004,10.1002/gamm.201310004,,https://openalex.org/W1967077133,A literature survey of low‐rank tensor approximation techniques,2013,Lars Grasedyck; Daniel Kreßner; Christine Tobler,GAMM-Mitteilungen,A,snowball,L1,2,2,,,,R9,low-rank tensor survey incl. truncation,no,,,
,10.1090/s0002-9939-04-07565-3,10.1090/s0002-9939-04-07565-3,,https://openalex.org/W1561132091,A multilinear generalisation of the Cauchy-Schwarz inequality,2004,Anthony Carbery,Proceedings of the American Mathematical Society,D,harvest,L1,2,2,,,,R1b,optimal-constant multilinear inequality; different object,no,,,
,10.1002/nla.1818,10.1002/nla.1818,,https://openalex.org/W1504748373,A projection method to solve linear systems in tensor format,2012,Jonas Ballani; Lars Grasedyck,Numerical Linear Algebra with Applications,A,snowball,L1,2,2,,,,R9,Projected residual iteration with truncation in hierarchical Tucker format; shares HT truncation without accumulation constant,no,,,
,10.1007/s10543-013-0454-0,10.1007/s10543-013-0454-0,,https://openalex.org/W2096434207,A projector-splitting integrator for dynamical low-rank approximation,2013,Christian Lubich; Ivan Oseledets,BIT Numerical Mathematics,A,snowball,L1,2,2,,,,R9,projector-splitting low-rank integrator,no,,,
,10.1007/s10543-024-01032-x,10.1007/s10543-024-01032-x,,https://openalex.org/W4400606850,A robust second-order low-rank BUG integrator based on the midpoint rule,2024,Gianluca Ceruti; Lukas Einkemmer; Jonas Kusch; Christian Lubich,BIT Numerical Mathematics,A,snowball,L1,2,2,,,,R9,robust low-rank integrator error,no,,,
,10.15352/bjma/1240336213,10.15352/bjma/1240336213,,https://openalex.org/W2062379775,A survey of some recent inequalities for the norm and numerical radius of operators in Hilbert spaces,2007,Sever S Dragomir,Banach Journal of Mathematical Analysis,G,harvest,L1,2,2,,,,,norm/numerical radius inequalities survey,no,,,
,10.4064/-38-1-339-360,10.4064/-38-1-339-360,,https://openalex.org/W1165517209,A survey of the Kreiss matrix theorem for power bounded families of matrices and its extensions,1997,John C. Strikwerda; Bruce A. Wade,Banach Center Publications,D,harvest,L1,2,2,,,,R1b,power-bounded matrix constants,no,,,
,admmforconvexquadraticprogramslinearconvergenceandinfeasibilitydetection,,,https://openalex.org/W2186605561,ADMM for Convex Quadratic Programs: Linear Convergence and Infeasibility Detection,2015,Arvind U. Raghunathan; Stefano Di Cairano,arXiv (Cornell University),I,harvest,L1,2,2,,,,,ADMM rate for QPs expressed via Friedrichs angle cosine; shares angle-projection tool only,no,,,
,10.48550/arxiv.1411.7288,10.48550/arxiv.1411.7288,,https://openalex.org/W4293462706,ADMM for Convex Quadratic Programs: Q-Linear Convergence and Infeasibility Detection,2014,Arvind U. Raghunathan; Stefano Di Cairano,arXiv (Cornell University),I,harvest,L1,2,2,,,,,ADMM rate for QPs expressed via Friedrichs angle cosine; shares angle-projection tool only,no,,,
,10.1090/s0002-9947-03-03136-2,10.1090/s0002-9947-03-03136-2,,https://openalex.org/W2008925030,Accelerating the convergence of the method of alternating projections,2003,Heinz H. Bauschke; Frank Deutsch; Hein Hundal; Sung-Ho Park,Transactions of the American Mathematical Society,C;I,harvest+snowball,L1,2,2,,,,R1a;R6,alternating/cyclic projections; no sharp rate in title,no,,,
,10.1038/35014537,10.1038/35014537,,https://openalex.org/W1530671852,Acceleration of quantum decay processes by frequent observations,2000,Abraham G. Kofman; Gershon Kurizki,Nature,J,snowball,L1,2,2,,,,R5,anti-Zeno frequent observation,no,,,
,10.1137/21m1415911,10.1137/21m1415911,,https://openalex.org/W3157892620,Active Learning of Tree Tensor Networks using Optimal Least Squares,2023,Cécile Haberstich; Anthony Nouy; Guillaume Perrin,SIAM/ASA Journal on Uncertainty Quantification,A,harvest,L1,2,2,,,,R9,Tree tensor network learning via projections onto nested tensor subspaces with expectation error bound; shares tree projections but statistical and not a worst-case accumulation constant,no,,,
,10.1007/978-3-319-18461-6_51,10.1007/978-3-319-18461-6_51,,https://openalex.org/W2220926539,Activity Identification and Local Linear Convergence of Douglas–Rachford/ADMM under Partial Smoothness,2015,Jingwei Liang; Jalal Fadili; Gabriel Peyré; Russell Luke,Lecture notes in computer science,I,harvest,L1,2,2,,,,R6,local linear convergence of DR/ADMM; angle-type rates,no,,,
,10.1007/s10208-013-9187-3,10.1007/s10208-013-9187-3,,https://openalex.org/W2112160616,Adaptive Near-Optimal Rank Tensor Approximation for High-Dimensional Operator Equations,2014,Markus Bachmayr; Wolfgang Dahmen,Foundations of Computational Mathematics,A,harvest,L2,2,3,2,FULL_TEXT,arXiv:1304.7796 Thm 5; Remark 2 (kappa_P = sqrt(m) or sqrt(2m-3)); Lemma 2; Thm 6,R9,"Adaptive recompression/coarsening in Tucker/HT using HSVD quasi-optimality constants sqrt(2m-3) (Grasedyck, already known) plus a perturbation lemma; not sharp, no multilinear accumulation.",no,,screening/level2_A.csv,
,10.1137/140953289,10.1137/140953289,,https://openalex.org/W1996869553,Alternating Minimal Energy Methods for Linear Systems in Higher Dimensions,2014,Sergey Dolgov; Dmitry Savostyanov,SIAM Journal on Scientific Computing,A;B;M,harvest+snowball,L1,2,2,,,,R9,TT alternating solvers,no,,,
,10.1109/tsp.2014.2339801,10.1109/tsp.2014.2339801,,https://openalex.org/W2045286779,Alternating Projections and Douglas-Rachford for Sparse Affine Feasibility,2014,Robert Hesse; D. Lüke; Patrick Neumann,IEEE Transactions on Signal Processing,C;I,harvest,L1,2,2,,,,R1a;R6,alternating/cyclic projections; no sharp rate in title,no,,,
,10.1007/s00365-013-9213-3,10.1007/s00365-013-9213-3,,https://openalex.org/W2074065373,Alternating Projections on Nontangential Manifolds,2013,Фредрик Андерссон; Marcus Carlsson,Constructive Approximation,I,snowball,L1,2,2,,,,R1a;R6,alternating/cyclic projections; no sharp rate in title,no,,,
,10.1007/bf02310791,10.1007/bf02310791,,https://openalex.org/W2000215628,Analysis of Individual Differences in Multidimensional Scaling Via an N-way Generalization of “Eckart-Young” Decomposition,1970,J. Douglas Carroll; Jih-Jie Chang,Psychometrika,A,snowball,L1,2,2,,,,R9,N-way Eckart-Young tensor decomposition,no,,,
,10.22331/q-2024-12-27-1580,10.22331/q-2024-12-27-1580,,https://openalex.org/W4405847480,Approximate Contraction of Arbitrary Tensor Networks with a Flexible and Efficient Density Matrix Algorithm,2024,Linjian Ma; Matthew Fishman; E. Miles Stoudenmire; Edgar Solomonik,Quantum,B,snowball,L1,2,2,,,,R9;R10,TN integrator/contraction with projection or truncation error,no,,,
,10.1016/j.jco.2013.10.001,10.1016/j.jco.2013.10.001,,https://openalex.org/W2160251536,Approximation rates for the hierarchical tensor format in periodic Sobolev spaces,2013,Reinhold Schneider; André Uschmajew,Journal of Complexity,A,harvest,L1,2,2,,,,R9,HT approximation rates,no,,,
,10.1103/physrevresearch.5.013031,10.1103/physrevresearch.5.013031,,https://openalex.org/W4317806091,Automatic structural optimization of tree tensor networks,2023,Toshiya Hikihara; Hiroshi Ueda; Kouichi Okunishi; Kenji Harada; Tomotoshi Nishino,Physical Review Research,A,harvest,L1,2,2,,,,R3,Optimizing tree tensor network structure to improve accuracy; tree-structure dependence of approximation contrasts with R3 but no theorem,no,,,
,10.48550/arxiv.2608.16994,10.48550/arxiv.2608.16994,,https://openalex.org/W7203755620,Basis-update and Galerkin time integration in canonical matrix-product-state form,2026,Maximilian Fröhlich; Richard M. Milbradt; Martin Eigel; Aaron Sander; Robert Wille; Christian B. Mendl,arXiv (Cornell University),A,harvest,L2,2,3,2,FULL_TEXT,App. B Theorem 4 (transferred robust first-order bound ||Y_n-A(t_n)||<=C0 e0+C1 eta+C2 h); Proposition 1 (inclusion hypothesis); Proposition 2 (contractivity of overlap transport) (arXiv HTML),none (adjacent to R1a;R9),"BUG time integration in canonical MPS form inherits a first-order tree-tensor-network error bound linear in a tangent-space defect eta with non-explicit, non-sharp constants depending on Lipschitz data and final time, so it shares only the defect-based projection-error flavour and implies no sharp-constant Theorem R claim.",no,,screening/level2_B1.csv,
,10.1007/jhep11%282019%29069,10.1007/jhep11%282019%29069,,https://openalex.org/W3101043594,Beyond toy models: distilling tensor networks in full AdS/CFT,2023,Ning Bao,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),A;D,harvest,L1,2,2,,,,,Tree tensor networks built by iterative approximation in AdS/CFT with purification ideas; shares object loosely,no,,,
,10.1007/jhep11(2019)069,10.1007/jhep11(2019)069,,https://openalex.org/W2903411165,Beyond toy models: distilling tensor networks in full AdS/CFT,2019,Ning Bao; Geoffrey Penington; Jonathan Sorce; Aron C. Wall,Journal of High Energy Physics,A;D,harvest,L1,2,2,,,,,Tree tensor networks built by iterative approximation in AdS/CFT with purification ideas; shares object loosely,no,,,
,10.1016/j.laa.2011.08.010,10.1016/j.laa.2011.08.010,,https://openalex.org/W1967538125,Black box approximation of tensors in hierarchical Tucker format,2011,Jonas Ballani; Lars Grasedyck; Melanie Kluge,Linear Algebra and its Applications,A,harvest+snowball,L1,2,2,,,,R9,tree/HT/TT format theory; no sharp accumulation result in title,no,,,
,10.1007/s00020-002-1188-6,10.1007/s00020-002-1188-6,,,Bounds for analytical functions of matrices,2004,"Crouzeix, Michel",Integral Equations and Operator Theory,L,harvest,L1,2,2,,,,,bounds for analytic functions of matrices,no,,,
,10.1137/090748330,10.1137/090748330,,https://openalex.org/W1995406764,"Breaking the Curse of Dimensionality, Or How to Use SVD in Many Dimensions",2009,Ivan Oseledets; E. E. Tyrtyshnikov,SIAM Journal on Scientific Computing,A,snowball,L2,2,3,2,ABSTRACT_ONLY,SVD-based Tree-Tucker/TT construction error bound (root-sum-of-squares of local truncation errors; exact location not verified),R9,"Standard SVD-based Tree-Tucker/TT construction with a root-sum-of-squares truncation bound for a single tensor; linear nested projections, non-sharp quasi-optimality, no multilinear composition.",no,,screening/level2_A.csv,
,10.1145/1644001.1644003,10.1145/1644001.1644003,,https://openalex.org/W1999470254,Certification of bounds on expressions involving rounded operators,2010,Marc Daumas; Guillaume Melquiond,ACM Transactions on Mathematical Software,H,harvest,L1,2,2,,,,R12,certified error bounds for rounded expressions,no,,,
,10.48550/arxiv.0710.2387,10.48550/arxiv.0710.2387,,https://openalex.org/W2953322968,Characterizing arbitrarily slow convergence in the method of alternating projections,2007,Heinz H. Bauschke; Frank Deutsch; Hein Hundal,arXiv (Cornell University),I,harvest,L1,2,2,,,,R1a;R6,alternating/cyclic projections; no sharp rate in title,no,,,
,10.1111/j.1475-3995.2008.00682.x,10.1111/j.1475-3995.2008.00682.x,,https://openalex.org/W2594309699,Characterizing arbitrarily slow convergence in the method of alternating projections,2009,Heinz H. Bauschke; Frank Deutsch; Hein Hundal,International Transactions in Operational Research,I,snowball,L1,2,2,,,,R1a;R6,alternating/cyclic projections; no sharp rate in title,no,,,
,10.1007/s11075-017-0399-5,10.1007/s11075-017-0399-5,,https://openalex.org/W2607657538,Circumcentering the Douglas–Rachford method,2017,Roger Behling; Yunier Bello-Cruz; Luiz-Rafael Santos,Numerical Algorithms,I,snowball,L1,2,2,,,,R6,circumcentered Douglas-Rachford (projections),no,,,
,compactmatrixformoftheddimensionaltensordecomposition,,,https://openalex.org/W3173412020,Compact matrix form of the d-dimensional tensor decomposition,2009,Ivan Oseledets,IEICE Proceedings Series,A,snowball,L1,2,2,,,,R9,TT decomposition format,no,,,
,10.1016/j.laa.2011.12.019,10.1016/j.laa.2011.12.019,,https://openalex.org/W2092332806,Computations in quantum tensor networks,2012,Thomas Huckle; Konrad Waldherr; Thomas Schulte‐Herbrüggen,Linear Algebra and its Applications,B,snowball,L1,2,2,,,,R9,quantum tensor network computations,no,,,
,10.1103/revmodphys.64.339,10.1103/revmodphys.64.339,,https://openalex.org/W1973260862,Consistent interpretations of quantum mechanics,1992,Roland Omnès,Reviews of Modern Physics,J,snowball,L1,2,2,,,,R1a,consistent histories (chains of projectors),no,,,
,continuityofquantummutualinformation,,,https://openalex.org/W115353878,Continuity of quantum mutual information,2003,Robert Alicki; M. Fannes,arXiv (Cornell University),E,snowball,L1,2,2,,,,R6,continuity bound for quantum information quantity,no,,,
,10.1137/23m1621320,10.1137/23m1621320,,https://openalex.org/W4406666663,Convergence Analyses of Davis–Yin Splitting via Scaled Relative Graphs,2025,Jong Min Lee; Soheun Yi; Ernest K. Ryu,SIAM Journal on Optimization,D,snowball,L1,2,2,,,,R6,sharp rates operator splitting via relative graphs,no,,,
,10.48550/arxiv.1612.07838,10.48550/arxiv.1612.07838,,https://openalex.org/W2567138771,"Convergence Rates for Greedy Kaczmarz Algorithms, and Faster Randomized Kaczmarz Rules Using the Orthogonality Graph",2016,Julie Nutini; Behrooz Sepehry; Issam Laradji; Mark Schmidt; Hoyt Koepke; Alim Virani,arXiv (Cornell University),I,snowball,L1,2,2,,,,R1a,greedy Kaczmarz rates; projections,no,,,
,10.1023/a:1022631928592,10.1023/a:1022631928592,,https://openalex.org/W1935121520,Convergence of Bregman Projection Methods for Solving Consistent Convex Feasibility Problems in Reflexive Banach Spaces,1997,Yakov Alber; Dan Butnariu,Journal of Optimization Theory and Applications,I,snowball,L1,2,2,,,,R6,"projection methods convergence, no sharp constant",no,,,
