citation_key,key,doi,arxiv,openalex,title,year,authors,venue,families,origin,level_reached,threat_final,threat_L1,threat_L2,access,theorem_location,claims,verdict,cite_in_paper,bib_class,evidence_file,adjudication_note
farouki2002exact,adjudicated:farouki2002exact,10.1023/A:1014737602641,,,Exact Minkowski products of N complex disks,2002,"Farouki, R. T.; Pottmann, H.",,,adjudicated_only,L3,2,,,FULL_TEXT,,H1;H3,Prop. 4.1: product of N disks with different radii (heuristic boundary); Sec. 5 equal-point powers give the all-caps-pi/2 special case of H3 (round-1 R7(a)). No capped arcs.,yes,technique,theorem_comparisons/L3_HET_huang2020_two_disk_heterogeneous.md,
dohotaru2009exact,adjudicated:dohotaru2009exact,10.26421/QIC9.5-6-12,,,Exact quantum lower bound for Grover's problem,2009,"Dohotaru, C.; Hoyer, P.",,,adjudicated_only,L3,2,,,FULL_TEXT,,H1,"Lemma 4: angle hybrid argument adding heterogeneous per-step angles arcsin||Pi_y Psi_i||; technique analogue of heterogeneous angle subadditivity (unit vectors, unitary steps).",yes,technique,theorem_comparisons/L3_HET_quantum_budgets_fidelity_products.md,
verstraete2006matrix,adjudicated:verstraete2006matrix,10.1103/PhysRevB.73.094423,,,Matrix product states represent ground states faithfully,2006,"Verstraete, F.; Cirac, J. I.",,,adjudicated_only,L3,2,,,FULL_TEXT,,H1;H2,"Lemma 1: ||psi - psi_D||^2 <= 2 sum_alpha eps_alpha(D), heterogeneous per-bond discarded weights, additive, non-sharp.",yes,foundational,theorem_comparisons/L3_HET_quantum_budgets_fidelity_products.md,
giselsson2021compositions,10.1186/s13663-021-00709-0,10.1186/s13663-021-00709-0,1912.13165,https://openalex.org/W2998099872,On compositions of special cases of Lipschitz continuous operators,2021,"Giselsson, P.; Moursi, W. M.",Fixed Point Theory and Algorithms for Sciences and Engineering,O4,harvest+snowball,L1,2,2,,ABSTRACT_ONLY,,H4;H1,Compositions of heterogeneous special Lipschitz classes with tightening examples (abstract); anchor; full text not read.,no,technique,,
oikhberg1999products,adjudicated:oikhberg1999products,10.1090/S0002-9939-99-05255-7,,,Products of orthogonal projections,1999,"Oikhberg, T.",,,adjudicated_only,L3,2,,,FULL_TEXT,,H4,Lemma 2(a) (round-1 L3): planar chain of line projections with arbitrary successive angles acts as prod cos(theta_j) e^{i theta_j}; independent-angle planar witness known as a construction; extremality not stated.,yes,technique,theorem_comparisons/L3_HET_huang2020_two_disk_heterogeneous.md,round-1 threat 1 (R-claims); 2 for the H4 construction
ceruti2023rank,10.1137/22m1473790,10.1137/22M1473790,2201.10291,https://openalex.org/W4321481275,Rank-adaptive time integration of tree tensor networks,2023,"Ceruti, G.; Lubich, C.; Sulz, D.",SIAM Journal on Numerical Analysis,O1,snowball,L3,2,2,2,FULL_TEXT,"arXiv:2201.10291v2 Appendix A: Algorithm 7, (A.2), Theorem A.1 (c=||C||(d-1)+1), Remark after Thm A.1 (root tolerance theta/||C|| gives d*theta), proof (A.5)",H1;H2,"Thm A.1: uniform vertex tolerance (root may differ), telescoping bound depending only on number of vertices; heterogeneous version not stated; non-sharp.",yes,closest_prior_art,theorem_comparisons/L3_HET_ceruti2023_uniform_tolerance_telescoping.md,
ryu2022scaled,10.1007/s10107-021-01639-w,10.1007/s10107-021-01639-w,1902.09788,https://openalex.org/W2916081703,Scaled relative graphs: nonexpansive operators via 2D Euclidean geometry,2022,"Ryu, E. K.; Hannah, R.; Yin, W.",Mathematical Programming,O4,snowball,L2,2,2,2,FULL_TEXT,"Round-1 reading: Theorem 7 (SRG of composition vs Minkowski product of SRGs), Facts 16-17",H1;H4,"Thm 7: SRG of composition = Minkowski product of heterogeneous SRGs (angles add, lengths multiply); technique adjacent; no capped arcs, no tree constant.",yes,technique,theorem_comparisons/L3_HET_huang2020_two_disk_heterogeneous.md,
bennett1997strengths,adjudicated:bennett1997strengths,10.1137/S0097539796300933,,,Strengths and weaknesses of quantum computing,1997,"Bennett, C. H.; Bernstein, E.; Brassard, G.; Vazirani, U.",,,adjudicated_only,L3,2,,,FULL_TEXT,,H1;H2,Thm 3.3: telescoping of heterogeneous per-step errors (query magnitudes) with Cauchy-Schwarz; additive budget.,yes,technique,theorem_comparisons/L3_HET_quantum_budgets_fidelity_products.md,
hackbusch2012tensor,10.1007/978-3-642-28027-6,10.1007/978-3-642-28027-6,,https://openalex.org/W50417968,Tensor Spaces and Numerical Tensor Calculus,2012,"Hackbusch, W.",Springer series in computational mathematics,O1,snowball,L2,2,2,2,SECONDARY,Hackbusch monograph Thm 11.58 as quoted in Hackbusch MiS preprint 29/2018 eq. (4.13),H1;H2,"Thm 11.58 (as quoted in MiS preprint 29/2018 eq. 4.13): HT HOSVD truncation error <= sqrt(sum of node tails) <= sqrt(2d-3) best; heterogeneous, non-sharp.",yes,foundational,theorem_comparisons/L3_HET_grasedyck2010_oseledets2011_nodewise_budgets.md,
oseledets2011tensor,10.1137/090752286,10.1137/090752286,,https://openalex.org/W1993482030,Tensor-train decomposition,2011,"Oseledets, I. V.",SIAM Journal on Scientific Computing,O1,snowball,L2,2,2,2,SECONDARY,TT-SVD error bound ||A-B|| <= sqrt(sum_k eps_k^2) and quasi-optimality sqrt(d-1) (commonly cited as Thm 2.2 / Cor. 2.4; numbering NOT verified; statement confirmed via Hackbusch MiS preprint 29/2018 eq. (4.13) and remark),H1;H2,TT-SVD: error <= sqrt(sum eps_k^2) with heterogeneous per-unfolding errors; per-core tolerance eps/sqrt(d-1). Theorem numbering not verified.,yes,closest_prior_art,theorem_comparisons/L3_HET_grasedyck2010_oseledets2011_nodewise_budgets.md,
xu2002method,10.1090/s0894-0347-02-00398-3,10.1090/S0894-0347-02-00398-3,,https://openalex.org/W1530115438,The method of alternating projections and the method of subspace corrections in Hilbert space,2002,"Xu, J.; Zikatanov, L.",Journal of the American Mathematical Society,O4,harvest,L1,2,2,,ABSTRACT_ONLY,,H1;H4,Exact identity for norm of product of heterogeneous nonexpansive factors (I-P_j); different quantity (round-1 cited).,yes,foundational,,
huang2020tight,10.1016/j.jmaa.2020.124211,10.1016/j.jmaa.2020.124211,1912.01593,https://openalex.org/W3024233472,Tight coefficients of averaged operators via scaled relative graph,2020,"Huang, X.; Ryu, E. K.; Yin, W.",Journal of Mathematical Analysis and Applications,O4;O5,harvest+snowball,L3,2,3,2,FULL_TEXT,"arXiv:1912.01593 v2/v3 (round-1 reading): Theorem 1 (region of G(N_theta1 N_theta2), heterogeneous theta1,theta2, Cartesian oval), Corollary 1 (tight averagedness constant)",H4;H1,"Thm 1: exact product of two different disks (Cartesian oval); Cor. 1: tight heterogeneous two-factor averagedness coefficient. Heterogeneity is disk radius, not angle cap; two factors; different functional.",yes,closest_prior_art,theorem_comparisons/L3_HET_huang2020_two_disk_heterogeneous.md,L1 3 lowered to 2 at L3 adjudication
zhou2020what,10.1103/physrevx.10.041038,10.1103/PhysRevX.10.041038,2002.07730,https://openalex.org/W3006255022,What limits the simulation of quantum computers?,2020,"Zhou, Y.; Stoudenmire, E. M.; Waintal, X.",Physical Review X,O3;O6,harvest+snowball,L3,2,2,2,FULL_TEXT,"arXiv:2002.07730: Sec. IV.A, Eqs. (16)-(18): F(n) approx prod_i f_i (multiplicative heterogeneous per-gate fidelities), F=(f_inf)^n",H1;H2,"Eq. (17): F(n) approx prod f_i, heterogeneous per-gate truncation fidelities, heuristic; no worst-case bound.",yes,closest_prior_art,theorem_comparisons/L3_HET_quantum_budgets_fidelity_products.md,
,10.1137/21m1415911,10.1137/21m1415911,,https://openalex.org/W3157892620,Active Learning of Tree Tensor Networks using Optimal Least Squares,2023,Cécile Haberstich; Anthony Nouy; Guillaume Perrin,SIAM/ASA Journal on Uncertainty Quantification,O1,harvest,L1,2,2,,,,H1;H2,[abs] Tree-based PCA with rank adaptation to a prescribed error; error bound in expectation built from node-wise contributions; non-sharp [seen_in_round1],no,,,
,10.1023/a:1018910412112,10.1023/a:1018910412112,,https://openalex.org/W244957858,Algorithms for Minkowski products and implicitly‐defined complex sets,2000,Rida T. Farouki; Hwan Pyo Moon; Bahram Ravani,Advances in Computational Mathematics,O5,snowball,L1,2,2,,,,H1;H4,"[abs] Minkowski products of complex sets, boundary via logarithmic Gauss map; no box-constrained arcs or |1-z| objective",no,,,
,10.1007/s11155-006-2966-7,10.1007/s11155-006-2966-7,,https://openalex.org/W2078805650,Complex Interval Arithmetic Using Polar Form,2005,Yves Candau; Tarek Raïssi; Nacim Ramdani; Laurent Ibos,Reliable Computing,O5,snowball,L1,2,2,,,,H1;H4,[abs] Polar complex intervals: exact products where argument ranges add and moduli multiply; heterogeneous angle boxes but no cos(theta)e^{i theta} coupling,no,,,
,10.1002/rnc.4590040305,10.1002/rnc.4590040305,,https://openalex.org/W2081683784,Construction of value set for robustness analysis via circular arithmetic,1994,B.T. Polyak; P. S. Scherbakov; S. B. Shmulyian,International Journal of Robust and Nonlinear Control,O5,snowball,L1,2,2,,,,H1;H4,[abs] Value set of product of uncertain factors with disk uncertainty (heterogeneous radii); round-1 L3 abstract only,no,,,
,10.1103/physrevlett.91.147902,10.1103/physrevlett.91.147902,,https://openalex.org/W2036604884,Efficient Classical Simulation of Slightly Entangled Quantum Computations,2003,Guifré Vidal,Physical Review Letters,O1;O3,snowball,L1,2,2,,,,H1;H2,"[abs] Per-step truncation errors accumulate additively in TEBD-type simulation (heterogeneous, first-order) [seen_in_round1]",no,,,
,10.1103/physrevlett.93.040502,10.1103/physrevlett.93.040502,,https://openalex.org/W2004203093,Efficient Simulation of One-Dimensional Quantum Many-Body Systems,2004,Guifré Vidal,Physical Review Letters,O6,snowball,L1,2,2,,,,H1;H2,[abs] TEBD truncation errors add over steps (heterogeneous additive budget),no,,,
,10.1007/s10208-016-9314-z,10.1007/s10208-016-9314-z,,https://openalex.org/W1543207505,Iterative Methods Based on Soft Thresholding of Hierarchical Tensors,2016,Markus Bachmayr; Reinhold Schneider,Foundations of Computational Mathematics,O1,snowball,L1,2,2,,,,H1;H2,[abs] Node-wise soft thresholding in HT with global error estimates in terms of node thresholds; non-sharp,no,,,
,10.1023/a:1010318011860,10.1023/a:1010318011860,,https://openalex.org/W2108951449,Minkowski Geometric Algebra of Complex Sets,2001,Rida T. Farouki; Hwan Pyo Moon; Bahram Ravani,Geometriae Dedicata,O5,snowball,L1,2,2,,,,H1;H4,[abs] MGA framework (round-1 L3: two-disk ovals); heterogeneous products of complex sets,no,,,
,10.7153/oam-10-53,10.7153/oam-10-53,,https://openalex.org/W2963388124,Minkowski product of convex sets and product numerical range,2016,Chi-Kwong Li; Diane Christine Pelejo; Yiu‐Tung Poon; Kuo-Zhong Wang,Operators and Matrices,O5,snowball,L1,2,2,,,,H1,"[abs] Minkowski products of convex complex sets and product numerical range; heterogeneous factors, no error functional",no,,,
,10.48550/arxiv.1808.01707,10.48550/arxiv.1808.01707,,https://openalex.org/W2886700932,New Viewpoint and Algorithms for Water-Filling Solutions in Wireless Communications,2018,Chengwen Xing; Yindi Jing; Shuai Wang; Shaodan Ma; H. Vincent Poor,arXiv (Cornell University),O5,harvest,L1,2,2,,,,H3,[abs] Unified water-filling variants incl. bounded (capped) levels; H3 technique only,no,,,
,10.1109/tsp.2020.2973488,10.1109/tsp.2020.2973488,,https://openalex.org/W3006316852,New Viewpoint and Algorithms for Water-Filling Solutions in Wireless Communications,2020,Chengwen Xing; Yindi Jing; Shuai Wang; Shaodan Ma; H. Vincent Poor,IEEE Transactions on Signal Processing,O5,snowball,L1,2,2,,,,H3,[abs] Unified water-filling variants incl. bounded (capped) levels; H3 technique only,no,,,
,10.1287/ijoc.2021.1104,10.1287/ijoc.2021.1104,,https://openalex.org/W3080370515,On a Reduction for a Class of Resource Allocation Problems,2021,Martijn H. H. Schoot Uiterkamp; Marco E. T. Gerards; Johann L. Hurink,INFORMS journal on computing,O5,harvest,L1,2,2,,,,H3,[abs] Separable convex resource allocation with bound constraints (breakpoint solutions); H3 technique only,no,,,
,10.48550/arxiv.1912.13165,10.48550/arxiv.1912.13165,,https://openalex.org/W4287978787,On compositions of special cases of Lipschitz continuous operators,2019,Pontus Giselsson; Walaa M. Moursi,arXiv (Cornell University),O4,harvest,L1,2,2,,,,H4;H1,"[abs] Compositions of different special Lipschitz classes with tight examples; heterogeneous composition constants, different functional",no,,,
,10.1137/19m1304854,10.1137/19m1304854,,https://openalex.org/W2902628409,Operator Splitting Performance Estimation: Tight Contraction Factors and Optimal Parameter Selection,2020,Ernest K. Ryu; Adrien Taylor; Carolina Bergeling; Pontus Giselsson,SIAM Journal on Optimization,O4,snowball,L1,2,2,,,,H4,"[abs] Tight contraction factors of compositions via performance estimation; sharpness methodology, different functional",no,,,
,10.22331/q-2023-03-30-964,10.22331/q-2023-03-30-964,,https://openalex.org/W4361272941,Simulating quantum circuits using tree tensor networks,2023,Philipp Seitz; Ismael Medina; Esther Cruz; Qunsheng Huang; Christian B. Mendl,Quantum,O3,snowball,L1,2,2,,,,H1,[abs] Truncated TTN circuit simulation with per-truncation fidelity estimates [seen_in_round1],no,,,
,10.48550/arxiv.1912.01593,10.48550/arxiv.1912.01593,,https://openalex.org/W2994365220,Tight Coefficients of Averaged Operators via Scaled Relative Graph,2019,Xinmeng Huang; Ernest K. Ryu; Wotao Yin,arXiv (Cornell University),O4;O5,harvest+snowball,L2,2,3,2,FULL_TEXT,Duplicate (arXiv) of 10.1016/j.jmaa.2020.124211,H4;H1,Duplicate of Huang-Ryu-Yin 2020.,no,,screening/het_level2.csv,
ayral2023density,10.1103/prxquantum.4.020304,10.1103/PRXQuantum.4.020304,,https://openalex.org/W4362737055,Density-matrix renormalization group algorithm for simulating quantum circuits with a finite fidelity,2023,"Ayral, T.; Louvet, T.; Zhou, Y.; Lambert, C.; Stoudenmire, E. M.; Waintal, X.",PRX Quantum,O3,harvest+snowball,L2,1,2,,ABSTRACT_ONLY,,H1,Finite-fidelity circuit DMRG; per-step fidelity accounting; background.,no,background,theorem_comparisons/L3_HET_quantum_budgets_fidelity_products.md,L1 2 lowered to 1 (abstract: no bound)
lewalle2024optimal,adjudicated:lewalle2024optimal,10.1103/PRXQuantum.5.020366,2311.01631,,Optimal Zeno dragging for quantum control: a shortcut to Zeno with action-based scheduling optimization,2024,"Lewalle, P.; Zhang, Y.; Whaley, K. B.",,,adjudicated_only,L1,1,,,ABSTRACT_ONLY,,H3,"Nonuniform Zeno-dragging schedules via optimal control; background. POST_HOC: found by web search during L2 access work, outside the frozen harvest.",no,background,,
zhang2025optimal,adjudicated:zhang2025optimal,,2507.16128,,Optimal schedule of multi-channel quantum Zeno dragging with application to solving the k-SAT problem,2025,"Zhang, Y.; Sarlette, A.; Lewalle, P.; Karmakar, T.; Scharnhorst, T.; Whaley, K. B.",,,adjudicated_only,L1,1,,,ABSTRACT_ONLY,,H3,Optimal nonuniform dragging schedule (control theory); background. POST_HOC web-search find.,no,background,,
palomar2005practical,adjudicated:palomar2005practical,10.1109/TSP.2004.840816,,,Practical algorithms for a family of waterfilling solutions,2005,"Palomar, D. P.; Fonollosa, J. R.",,,adjudicated_only,L3,1,,,FULL_TEXT,,H3,"Exact algorithms for multi-level water-filling (Prop. 1, Cor. 1); total-power constraints; H3 technique background only.",no,technique,theorem_comparisons/L3_HET_waterfilling_capped_levels_H3.md,
he2013waterfilling,10.1109/twc.2013.061713.130278,10.1109/TWC.2013.061713.130278,,https://openalex.org/W2030132186,Water-filling: a geometric approach and its application to solve generalized radio resource allocation problems,2013,"He, P.; Zhao, L.; Zhou, S.; Niu, Z.",IEEE Transactions on Wireless Communications,O5,snowball,L3,1,2,2,ABSTRACT_ONLY,Abstract: GWF with individual peak power constraints (GWFPP) and group bounded power constraints,H3,"Water-filling with individual peak-power caps: min(cap, level) allocations; ingredient of H3 at fixed total angle only; cite only if H3 is proved.",no,technique,theorem_comparisons/L3_HET_waterfilling_capped_levels_H3.md,L1/L2 2 lowered to 1 at L3 (technique ingredient only) | L2 CSV threat 2 vs adjudicated 1
,10.1007/s00211-013-0544-6,10.1007/s00211-013-0544-6,,https://openalex.org/W1999591588,$$L^{\infty }$$ estimation of tensor truncations,2013,Wolfgang Hackbusch,Numerische Mathematik,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.1137/120887795,10.1137/120887795,,https://openalex.org/W1968154520,A Block Coordinate Descent Method for Regularized Multiconvex Optimization with Applications to Nonnegative Tensor Factorization and Completion,2013,Yangyang Xu; Wotao Yin,SIAM Journal on Imaging Sciences,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1287/ijoo.2021.0065,10.1287/ijoo.2021.0065,,https://openalex.org/W4293255259,A Class of Convex Quadratic Nonseparable Resource Allocation Problems with Generalized Bound Constraints,2022,Martijn H. H. Schoot Uiterkamp; Marco E. T. Gerards; Johann L. Hurink,INFORMS Journal on Optimization,O5,harvest,L1,1,1,,,,H3,"[abs] Resource allocation with generalized bounds; quadratic, background",no,,,
,10.3390/quantum7010002,10.3390/quantum7010002,,https://openalex.org/W4405979679,A Comprehensive Review of Quantum Circuit Optimization: Current Trends and Future Directions,2025,Krishnageetha Karuppasamy; Varun Puram; Stevens Johnson; Johnson P. Thomas,Quantum Reports,O6,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1007/s11228-022-00631-6,10.1007/s11228-022-00631-6,,https://openalex.org/W3191603018,A Direct Proof of Convergence of Davis–Yin Splitting Algorithm Allowing Larger Stepsizes,2022,Francisco J. Aragón Artacho; David Torregrosa-Belén,Set-Valued and Variational Analysis,O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1214/ss/1009213727,10.1214/ss/1009213727,,https://openalex.org/W1979378106,A General Projection Framework for Constrained Smoothing,2001,Enno Mammen; J. S. Marron; Berwin A. Turlach; M. P. Wand,Statistical Science,O4,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.1137/120872802,10.1137/120872802,,https://openalex.org/W2030254567,A Generalized Forward-Backward Splitting,2013,Hugo Raguet; Jalal Fadili; Gabriel Peyré,SIAM Journal on Imaging Sciences,O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.48550/arxiv.2608.07526,10.48550/arxiv.2608.07526,,https://openalex.org/W7202201979,A Mean-Informed Low-Rank Monolithic Stochastic Galerkin Solver for the Unsteady Navier-Stokes Equations,2026,Ahmet Kaan Aydın; Bedřich Sousedík,arXiv (Cornell University),O2,harvest,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1137/s0895479896305696,10.1137/s0895479896305696,,https://openalex.org/W2013912476,A Multilinear Singular Value Decomposition,2000,Lieven De Lathauwer; Bart De Moor; Joos Vandewalle,SIAM Journal on Matrix Analysis and Applications,O1,snowball,L1,1,1,,,,H1,[abs] HOSVD per-mode tails sum bound; background [seen_in_round1],no,,,
,10.1007/s00041-009-9094-9,10.1007/s00041-009-9094-9,,https://openalex.org/W2088025933,A New Scheme for the Tensor Representation,2009,Wolfgang Hackbusch; Simone Kühn,Journal of Fourier Analysis and Applications,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.1137/090754297,10.1137/090754297,,https://openalex.org/W2047515743,A Parallel Splitting Method for Coupled Monotone Inclusions,2010,Hédy Attouch; Luis M. Briceño-Arias; Patrick L. Combettes,SIAM Journal on Control and Optimization,O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1109/tetci.2021.3098831,10.1109/tetci.2021.3098831,,https://openalex.org/W3190203171,A Primal-Dual Forward-Backward Splitting Algorithm for Distributed Convex Optimization,2021,Huaqing Li; Enbing Su; Chengbo Wang; Jiawei Liu; Zuqing Zheng; Zheng Wang,IEEE Transactions on Emerging Topics in Computational Intelligence,O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1007/s10957-012-0245-9,10.1007/s10957-012-0245-9,,https://openalex.org/W1998991750,"A Primal–Dual Splitting Method for Convex Optimization Involving Lipschitzian, Proximable and Linear Composite Terms",2012,Laurent Condat,Journal of Optimization Theory and Applications,O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1007/978-3-319-69802-1_9,10.1007/978-3-319-69802-1_9,,https://openalex.org/W2766870359,A Randomized Tensor Train Singular Value Decomposition,2017,Benjamin Huber; Reinhold Schneider; Sebastian Wolf,Applied and numerical harmonic analysis,O1,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
,10.1109/access.2019.2949814,10.1109/access.2019.2949814,,https://openalex.org/W2982471955,A Survey on Tensor Techniques and Applications in Machine Learning,2019,Yuwang Ji; Qiang Wang; Xuan Li; Jie Liu,IEEE Access,O1;O2,harvest+snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated [seen_in_round1]",no,,,
,10.1007/s11228-017-0421-z,10.1007/s11228-017-0421-z,,https://openalex.org/W2963654173,A Three-Operator Splitting Scheme and its Optimization Applications,2017,Damek Davis; Wotao Yin,Set-Valued and Variational Analysis,O4,snowball,L1,1,1,,,,,"[title] same broad field; no heterogeneous/nodewise error bound, sharp constant or placement statement indicated",no,,,
